id	name	Description
0	绿茶	最普通的饮料，给一滴酒都不能沾的弱小妖怪准备的。
1	果味High Ball	居酒屋常见的，使用威士忌和果汁，苏打勾兑的简单调酒，降低了酒精度之后成为了谁都可以享受的饮料。
2	果味SOUR	居酒屋常见的，使用烧酒和果汁，苏打勾兑的简单调酒，比起HighBall更加有日式风格。
3	淇	在加入了大量的苏打后，这种起泡清酒酸甜的口感，以及较低的酒精度，使其很受女性的欢迎；可以说是清酒的香槟版本。
4	超ZUN啤酒	某位和幻想乡很有渊源的大人物作为副业的产品，虽然是出于兴趣而研制的啤酒，但意外地十分有人气。
5	日月星	纯米酒，有着妖精的祝福。度数不高，口感柔顺，价格平易近人，是居酒屋受欢迎的选择。
6	梅酒	人间之里的人类自酿的梅子酒，因为喝起来很甜，所以经常有不了解的生物被它的后劲儿击倒。
7	天狗踊	传说连天狗喝了也会开心地跳舞的美味清酒，在妖怪之山开一次店就可以验证了吧。不同于其他无色的清酒，带有淡淡的琥珀色。
8	猩红恶魔	由伏特加、番茄汁、柠檬片、芹菜根混合调制，甜、酸、苦、辣四味俱全。因血红的颜色让人联想到某洋馆的吸血鬼，故得此名。
9	神之麦	使用妖怪之山上被秋天的神明们所庇佑的大麦所酿造的大麦烧酒。
10	水獭祭	鬼杰组的战利品之一，因为水獭灵把敌组的战利品摆在地上的样子仿佛祭典，于是随便取的名字。实际上好像是相当高级的纯米大吟酿。
11	晓	针对幻想乡居民口味改良的威士忌，在保留威士忌独有的气味的同时也有着顺滑的口感。
12	雀酒	传说中由麻雀酿的酒。将米粒藏入截断的竹中，当竹中有水时，日经月累便成佳酿。据说喝了此酒会舞无休止，是带着“诅咒”的美味呢。
13	红魔馆红茶	使用柠檬，佛手柑，和女仆长精心挑选的红茶品种烘培出带有独特香味的红茶饮料，为了扩张红魔馆的威严，非常普通地以红魔馆命名。
14	阿芙加朵	将冰淇淋融化在咖啡中的做法，对于怕苦又需要咖啡提神的人来说是再好不过的饮料。\n“我只是需要提神，并不是怕苦。”\n<align="right">——帕秋莉
15	红雾	洋馆的女仆特制的红葡萄酒，酒体丰满，因为好像不是正常的时间下酿造出来的，总有一种雾气般的朦胧感。
16	尼格罗尼	微苦的橙味为主，香气扑鼻，入口柔顺。最近非常流行。\n“听说现世很流行，大小姐派我去学，结果受不了苦味让我加大橙子和味美思的剂量，最后完全变成橙汁糖浆了…”\n<align="right">——不愿透露姓名的女仆长
17	教父	浓烈的北方威士忌和杏仁利口酒混合，非常古典的调酒。口感也相当硬汉，普通的妖怪应付不来。\n“大小姐听说凶猛的妖怪喜欢喝这种，派我去学，喝完都快哭出来了还要强作威严地说好喝。”\n<align="right">——不愿透露姓名的女仆长
18	风祝	轻松愉快的餐后酒，薄荷和奶油为主的口感。比起酒精饮料更像甜品。\n“好像是守矢的巫女从外面带过来的配方，堂而皇之地冠了自己的名字！说起来那家伙在外界能喝酒吗？啊，这玩意儿也完全不像酒就是了，怪不得她会喜欢，啧。”\n<align="right">——不愿透露姓名的巫女
19	冬酿	来自某个古国的习俗，在冬至日酿造的酒，色泽金黄，清甜甘冽，加上桂花的香气，无论冰着喝还是热着喝都非常可口。
20	十四夜	比起十五夜的月亮是满月，也许更想留下十四夜时期待的心情。以这样的感觉酿造的高级清酒，也许只有它才配得上迷途竹林所见到的月亮吧。
21	火鼠裘	如果不使用火鼠裘来承装也许就会烧起来的烈酒，几乎无人能承受其辣度的超级辣口烧酒。
22	玉露茶	几乎是日本茶中最高级的茶叶，需要用较低的水温来冲泡，甘醇飘香，口感独特。
23	月面火箭	使用月之都先进技术制作的高级气泡水，迸发的口感有如火箭一般，只需要加一片柠檬就是完美的饮品。
24	牛奶	温润纯白的饮品，无论小孩还是大人都适合饮用，好处多到说不完。
25	红柚果汁	据说是来自外界的人气饮料，用红色柚子这种水果榨汁，尤其是盛夏饮用，健康祛暑，让人回甘无穷。
26	波子汽水	瓶口有弹珠的设计，只要向下按压将弹珠打入汽水内，引起二氧化碳的剧烈反应。此时将瓶中沸腾又冰冷的气泡一饮而尽的话，你会在胃中感受到整个夏天。
27	冰山毛玉冻柠	仿佛是融化在可口的冰沙中的毛玉，佐以冻柠口味，在炎热的夏季，不知拯救了多少人命。
28	"大冰棍儿!"	简单又富有重量感的大冰块，有梦幻的甜蜜和薄荷的调味。夏天解暑、让所有人满血复活的神奇冰品。
