EnumId	Name	Description
LockDailyRecipe	菜单锁定	菜单$a被锁定了，$b秒后解除
Stun	眩晕	眩晕了!，$a秒后解除
CookTimeOnTargetTag	料理刷新改变	含有$a的食谱料理时间变为$b倍了，剩余$c秒
FreeCook	量子厨艺	接下来的$a秒内,料理将不消耗材料
LockGuestTable	锁定客座	座位$a被锁定了，$b秒后解除
NormalGuestSpawnMultiplier	客人刷新改变	客人的刷新速度变为$a了，目前为$b倍，剩余$c秒
InstantEvaluation	饕餮盛宴	客人将会立即吃完料理，剩余$a秒
PatientFreeze	耐心冻结	客人的耐心不会减少了，剩余$a秒
ThrowDeliver	投掷上菜	上菜距离变为无限了，剩余$a秒
SpawnNorm	众客云集	将在$a秒内吸引$b个客人
Fever	热火朝天	客人的耐心不会减少、\n立即吃完料理、\n上菜距离变为无限、\n并且制作料理不再需要技能检验;\n剩余$a秒
Skill_Rumia_Curtain	宵暗帷幕	视线被遮住了!，$a秒后解除
Skill_Reimu_Shield	二重结界	抵挡接下来的$a次负面效果
Skill_Kasen_Art	打赏	客人对店大加好评，将在$a秒内持续打赏
Skill_Kasen_Punishment	禁欲修行	客人变得清心寡欲，在$a秒内对好酒好菜没有世俗的欲望
LockCooker	完美冻结	$a号厨具:$c被冻住了无法使用，冰在$b秒后融化
QuickCook	千锤百炼	下$a次料理在停止的时间中瞬间完成
Skill_Chen_Punishment	奇门遁甲	普通客人出现频率降低为$a！持续至营业结束
ExtraFeeRate	小费增加！	小费增加$a%！剩余$b秒
OrderCycleRate	无限续杯	续单率变为$a，目前为$b倍，剩余$c秒
AddPasssionPerSec	芳华绚烂	每隔$a秒增加$b点气氛，稀有客人完成订单后获取的好感度提升，剩余$c秒
FoodKiller	水银之毒	制作完成的料理有$a%的概率变为$b，剩余$c秒
PhilosopherStone	文化之风	全场顾客对含有$a的料理评价等级至少为$b，剩余$c秒
Skill_Tewi_Punishment	狡兔骗术	无法获得Combo，剩余$a秒
CookTimeOnTargetCooker	厨具改造	使用$a类型厨具制作的料理时间变为$b倍了，剩余$c秒
Skill_Mokou_Reward	蓬莱之火	妹红释放的烈焰使所有厨具的料理时间降低$a！剩余$b秒
Skill_Mokou_Punishment	灭罪寺院伤	全场顾客对含有$a的料理评价等级最高为$b，剩余$c秒
Skill_Youmu_Reward	魂魄秘流	以高超的剑术技巧瞬间完成料理台料理，剩余$a秒
Skill_Youmu_Punishment	天人之五衰	每隔$a秒减少$b点气氛，客人的耐心减少速度变为原来的$c倍，剩余$d秒
Skill_Wriggle_Reward	萤光现象	客人被店内的萤火虫吸引而来，刷新速度变为$a倍，剩余$c秒
Tip_Exceptional	打赏	客人对店大加好评，每隔$a秒进行一次打赏
ExtraFeeForever	小费增加！	小费增加$a%！
ExtraMood	心旷神怡	每次完食后，若评价至少为普通，则客人的心情额外增加$a
FreeCookPercentage	因幡之运	制作食物时，有$a的概率不消耗食材
BestEvalPercentage	天人之赐	客人评价时，若评价至少为普通，则有$a的概率将评价等级提高至$b
EatTimeMultiplier	细嚼慢咽	客人用餐速度变为原来的$a倍，剩余$b秒
ExtraOrder	健康饮食	全场顾客增加随机$a~$b次点餐次数，且增加的点餐次数不消耗预算，剩余$c秒
BaseCostSet	尽兴狂欢	全场顾客被立空汐的能力封锁，必须至少消费到花费额度大于最大预算的$a、无法消费最便宜的料理或吃饱以后才能离开，剩余$b秒
Skill_Ushio_Punishment	地狱刑罚	制作完成的含有$a的料理有$b%的概率变为$c，剩余$d秒
Skill_Yuu_Reward	因果之眼	显示全场顾客的剩余预算与点单次数，剩余$a秒
Skill_Yuu_Punishment	颠倒错乱	无论上的料理如何合衬客人的心意，得到的评价都是随机的一种，剩余$a秒
Skill_Yuyuko_Reward	真·饕餮盛宴	客人将会立即吃完料理，持续至营业结束
Skill_Yuyuko_Punishment	加量不加价	全场顾客对不含有$a的料理评价等级只会为$b，持续至营业结束
Boss_Yuyuko	生者必食之理	幽幽子释放了全部的食欲之灵能量，全场受到以下影响，持续至战斗结束：\n幽幽子会持续释放出食欲之灵分身；\n“耐心冻结”与“热火朝天”Buff中的客人耐心不减少效果失效；\n食欲之灵完食后，若评价为完美则食欲之灵消失并使幽幽子饱食度上升；\n食欲之灵耐心耗尽或完食后评价等级不足不满，幽幽子会吞噬掉一个场上的厨具。
Broken_Cookware_Forever	厨具爆破	$a号厨具:$b损坏了
Broken_Cookware	厨具爆破	$a号厨具:$c损坏了，$b秒后修复
