ID	Name	Description
Main_0_Izakaya	夜雀食堂的经营者	空
Main_0_UUZ	夜雀食堂的毁灭者	空	
Main_1_IndebtedKyoukou	债务若只如初见	空
Main_1_Contract	八云家的欠条·其一	空
Main_2_Sishu	银杏树下的寺子屋	空
Main_2_SweetPotatoCharm	奇迹的红薯符	空
Main_2_Contract	八云家的欠条·其二	空
Main_3_GuanYu	赤色关公	空
Main_3_BelowMoonLight	月光下的谈话	空
Main_3_Singer	倾泻而出的压力之歌	空
Main_3_ConcertForReimu	最初的 l i v e	空
Main_3_Contract	八云家的欠条·其三	空
Main_4_Meirin	签名照·红美铃	空
Main_4_Reimlia	有形的命运之轮	空
Main_4_Sakuya	女仆长的地下酒窖	空
Main_4_Contract	八云家的欠条·其四	空
Main_5_Busizu	不死的宿敌	空
Main_5_KaguyaLose	惩罚游戏·辉夜	空
Main_5_MokouLose	惩罚游戏·妹红	空
Main_5_Contract	八云家的欠条·其五	空
Main_5_NightMare	噩梦的开始	空
Main_5_Hungry	欲壑难填	空
Main_5_CryYuyuko	食欲的终点	空
Main_6_LastConcert	最初的梦想、最后的舞台	空
Main_6_VIPSeat	宾朋满座	空
Main_6_END	欢迎来到夜雀食堂！	空
Main_6_BeastForestGuest	兽道应援团	空
Main_6_HumanVillageGuest	人间之里应援团	空
Main_6_HakureiShrineGuest	神社应援团	空
Main_6_SDMGuest	红魔馆应援团	空
Main_6_BambooForestGuest	永远亭应援团	空
