PhraseName	Name
IZAKAYA_THEME	雀酒屋绝赞营业中！
COMMON_SELECT	选择
COMMON_EXP_VALUE	经验值
COMMON_MOVE_SPEED	移动速度
COMMON_STORAGE_MEAT	肉类
COMMON_STORAGE_SEAFOOD	海鲜
COMMON_STORAGE_VEGGIE	蔬菜
COMMON_STORAGE_OTHER	其他
COMMON_STORAGE_FILLTER	筛选
NOTE_RECIPE_TITLE	食谱
NOTE_PROFILE_TITLE	档案
NOTE_MISSION_TITLE	任务
NOTE_NEWS_TITLE	剪报
NOTE_ALBUM_TITLE	图鉴
NOTE_ALBUM_GUEST_FREQUENCY	常出没注意：
NOTE_ALBUM_GUEST_KIZUNA	羁绊
NOTE_ALBUM_GUEST_FUND_RANGE	可能持有
NOTE_ALBUM_GUEST_NORMAL	普通顾客
NOTE_ALBUM_GUEST_SPECIAL	稀有顾客
NOTE_RECIPE_INGREDIENTS	需要食材
NOTE_RECIPE_COOKTIME	烹饪时间：
NOTE_PROFILE_TITLE1	老板娘！
NOTE_PROFILE_TITLE2	米斯蒂娅·萝蕾拉
NOTE_PROFILE_TITLE3	真夜中的小碎骨
NOTE_PROFILE_TITLE4	不可食用鸟
NOTE_PROFILE_TITLE5	负债歌姬…
NOTE_PROFILE_NEXT_LEVEL_NEED_EXP	目标经验
NOTE_PROFILE_BASE_PASSION	基础气氛
NOTE_PROFILE_BASE_TIP_RATE	基础小费率
NOTE_PROFILE_DAILY_RECIPE_MAX	今日菜单上限
NOTE_PROFILE_DAILY_BEV_MAX	今日酒水上限
NOTE_PROFILE_DAY_COOK_COUNT	每日料理数量
NOTE_PROFILE_COOK_SPEED	料理所需时间
NOTE_PROFILE_QTE_BUFF_RATE	「夜雀之歌」增益触发率
NOTE_PROFILE_QTE_BUFF_DURATION	「夜雀之歌」增益时长
NOTE_PROFILE_EXTRA_COLLECT_RATE	素材额外采集率
NOTE_PROFILE_MERCHANT_DISCOUNT	商人折扣
NOTE_PROFILE_TRAY_MAX_NUM	托盘数量
NOTE_PROFILE_EXTRA_GUEST_PATIENT	客人耐心上限
NOTE_PROFILE_EXTRA_GUEST_SPAWNRATE	客人刷新速率
NOTE_PROFILE_EXTRA_GUEST_BASEMOOD	客人基础心情
NOTE_PROFILE_EXTRA_POSITIVE_BUFFTIME	奖励符卡增益时长
NOTE_PROFILE_IZAKAYA_LOCATION	雀酒屋分馆一览
NOTE_MISSION_CAN_FINISH	可交付
NOTE_MISSION_FINISHED	已完成
NOTE_MISSION_BY_THE_REQUESTER	受$a的委托
NOTE_MISSION_TIME	于$a内达成目标
NOTE_MISSION_TIME_FINISHED	于$a达成目标
NOTE_MISSION_TIME_DAY	$a天
NOTE_MISSION_TIME_TODAY	今天
NOTE_MISSION_RECEIVER	交付给$a
NOTE_MISSION_TIME_RECEIVER	于$a内达成目标并且交付给$b
NOTE_MISSION_TIME_RECEIVER_FINISHED	于$a达成目标并且交付给$b
NOTE_MISSION_REWARD	奖励
COMMON_GUEST	顾客
COMMON_COOKER	厨具
COMMON_BEVERAGE	酒水
COMMON_FOOD	料理
COMMON_INGREDIENT	食材
COMMON_OBJECT	物品
COMMON_FUND	金钱
COMMON_EMPTY	空空如也
DIARY_TITLE	日记
CONFIG_TITLE	设置
CONFIG_MUSICVOL	音乐音量
CONFIG_SFXVOL	音效音量
CONFIG_INPUTSWITCHING	输入切换
CONFIG_INPUTSWITCHING_CONFIRM	键确认
CONFIG_INPUTSWITCHING_CANCEL	键取消
CONFIG_SPELL	符卡宣言动画
CONFIG_DISPLAYMODE	显示模式
CONFIG_DISPLAYMODE_FULLSCREENWINDOW	无边框全屏
CONFIG_DISPLAYMODE_WINDOWED	窗口化
CONFIG_DISPLAYMODE_EXCLUSIVEFULLSCREEN	全屏
CONFIG_RESOLUTION	渲染分辨率
CONFIG_VSYNC	垂直同步
CONFIG_REFRESHRATE	目标刷新率
CONFIG_REFRESHRATE_UNLIMITED	无上限
CONFIG_REFRESHRATE_SCREEN	屏幕
CONFIG_LANGUAGE	显示语言
CONFIG_LANGUAGE_CONFIRM_MAINMENU	确定要修改语言吗？
DAY_TRAVELMESSAGE	即将前往 『$a』 
DAY_TRAVELTIMECOST_MIN	耗时$a分钟
DAY_TRAVELTIMECOST_HOUR	耗时$a小时
DAY_TRAVELTIMECOST_MINHOUR	耗时$a小时$b分钟
MYSTIA_NAME_SHORT	米斯蒂娅
MISSION_FULFILLED	可完成
MISSION_FINISHED	已完成
DAY	$a天
SEC	$a秒
WORK_STORAGE_FOOD	保温箱
WORK_STORAGE_BEVERAGE	酒水架
SPECIAL_GUEST_FALLBACK_FOOD_REQUEST	我想要$a的料理
SPECIAL_GUEST_FALLBACK_BEVERAGE_REQUEST	请给我$a的饮料
PREVIOUS_PAGE	上一页
NEXT_PAGE	下一页
MONTH_DAY	$month月$day日
MONDAY	星期一
TUESDAY	星期二
WEDNESDAY	星期三
THURSDAY	星期四
FRIDAY	星期五
SATURADY	星期六
SUNDAY	星期日
CONFIRM_DELETE_SAVEFILE	确定要删除这个存档吗？\n被删除的进度将无法还原！
CONFIRM_LOAD_SAVEFILE	确定要读取这个存档吗？
CONFIRM_LOAD_SAVEFILE_INGAME	确定要读取这个存档吗？\n当前的进度将不会被保存！
CONFIRM_SAVE	确定要保存在这里吗？
CONFIRM_SAVE_OVERRIDE	确定要覆盖这个存档吗？\n被覆盖的进度将无法还原！
CONFIRM_SAVE_GIVEUP	确定要放弃保存吗？
SAVE_LOAD	读取
SAVE_DELETE	删除
SAVE_CANNOTREAD	无法读取这个存档：\n$a
SAVE_CANNOTREAD_MSG	这通常可能是由于STEAM同步未完成，或不正确修改存档导致的，以下是错误信息：\n$a\n你可以通过游戏目录中的SaveBackupData快捷方式进入存档备份文件夹，尝试寻找并且复制存档文件到SaveData快捷方式中的文件夹里来恢复存档。
SAVE_FREE_MODE	已通关！
KIZUNA_MISSION	相关任务
KIZUNA_SHOP	购物
KIZUNA_FREECHAT	闲聊
KIZUNA_GIFT	闲聊
KIZUNA_INVITE	邀请
KIZUNA_REQUEST_INGREDIENT	关于食材
KIZUNA_REQUEST_BEVERAGE	关于酒水
KIZUNA_REQUEST_COMMISSION	委托采集
KIZUNA_REQUEST_END	没什么事了
KIZUNA_SPECIAL_YOUMU_A	重修「第一次试炼」
KIZUNA_SPECIAL_YOUMU_B	重修「第二次试炼」
KIZUNA_SPECIAL_YUYUKO	重修「最终试炼」
DONATE_100_YEN	捐100円
DONATE_500_YEN	捐500円
DONATE_1000_YEN	捐1000円
REFUSE_DONATE	不小心点到的……
PARTNER_COOK	厨师
PARTNER_WAITRESS	传菜
PARTNER_BARMAID	酒水
PARTNER_NONE	空岗
PARTNERSTATUS_IDLE	休息中…
PARTNERSTATUS_STORING	存放中…
PARTNERSTATUS_COOKING	料理中…
PARTNERSTATUS_EXTRACTING	提取中…
PARTNERSTATUS_SERVING	上菜中…
YUYUKO_PHASE1_TARGET	清除食欲能量！
YUYUKO_PHASE2_TARGET	驱散符卡能量！
YUYUKO_PHASE3_TARGET	喂饱幽幽子吧！
KIZUNA_DECORATION_TIP	去和更多的朋友交流吧
RECIEVE_IZAKAYA	获得新的店面:「$a」!
RECIEVE_PARTNER	「$a」成为了伙伴！
RECIEVE_RECIPE	获得了新的食谱：「$a」！
RECIEVE_FUND_ADD	获得金钱
RECIEVE_FUND_LOST	失去金钱
RECIEVE_MISSION_START	「$a」任务开始
RECIEVE_MISSION_FINISH	「$a」任务完成
RECIEVE_MAP_UNLOCK	「$a」地图已解锁
ALBUM_INFO_UPDATE_SPAWN_SPECIFIC	「$a」开始出现在「$b」了
ALBUM_INFO_UPDATE_SPAWN_EVERYWHERE	「$a」开始出现在各地了
ALBUM_INFO_UPDATE_FOODTAG	「$a」的喜好食物属性「$b」已记录到笔记中
ALBUM_INFO_UPDATE_HATEFOODTAG	「$a」的厌恶食物属性「$b」已记录到笔记中
ALBUM_INFO_UPDATE_BEVTAG	「$a」的喜好酒水属性「$b」已记录到笔记中
ALBUM_INFO_UPDATE_IZAKAYA	「$a」的出现地点「$b」已记录到笔记中
ALBUM_INFO_WRITE_MORE	更多关于「$a」的描述已被记录到笔记当中
ALBUM_INFO_UPGRATE_KIZUNA	「$a」的羁绊等级已提升至Lv$b
BASEMENT_CLOSET	衣橱
BASEMENT_SHOWCASE	展示柜
EVAL_EXBAD	极度不满
EVAL_BAD	不满
EVAL_NORMAL	普通
EVAL_GOOD	满意
EVAL_EXGOOD	完美
ANY_TAG	任意Tag
ALL_TRACKED_COLLECTABLE_REFRESHED	所有的采集点均已刷新！
ALBUM_INFO_ClOSE	有些稀客信息被虚构的情报隐藏了…
LEVEL_UP	等级提升到了$a级！
LEVEL_UP_PROPERTIES_TIP	属性：$a提升至「$b」
CHALLENGE_SPELL_CARD_COLLECTION	收集符卡
PARTNER_REVENUE_CUT	支付当天营收的:$a%
PARTNER_MOVE_SPEED	移动速度:$a
PARTNER_WORK_SPEED	工作速度:$a
PARTNER_SPEED_FAST	快
PARTNER_SPEED_MEDIUM	中等
PARTNER_SPEED_SLOW	慢
PARTNER_MOVE_SAKUYA	瞬间移动
PARTNER_INFO_REISEN	<brief>顾客小费增加$a%</brief>
PARTNER_INFO_YOUMU	<brief><color=#B30000>料理台</color>的料理瞬间完成</brief>
REWINDMODE_ENABLED	时间回溯：稀有顾客的金钱上限已解除
REWINDMODE_DISABLED	时间回溯结束：稀有顾客的金钱上限重新生效
NOTE_ALBUM_GUEST_PARTNER	伙伴
NOTE_ALBUM_GUEST_PARTICULAR	特殊顾客
NOTE_ALBUM_GUEST_SPELLCARD	符卡
SPELL_CARD_NONE_NOTICE	暂未收集到相关信息……
SPELL_CARD_GETNUM	已收集：$a
DECORATION_GET	获得了$a，可以在家里的地下室里设置和查看了
DECORATION_USING_AT_NIGHT	夜间摆放
DECORATION_USING_AT_DAY	白天摆放
