ID	Content
0	你到森林来，是要经过村子的吧？
1	对啊。怎么啦？
2	村子那边的方向似乎很热闹，是发生什么事了吗？
3	这不像您啊。感兴趣的话去看看不就好了？
4	我不太想去村子那边……哎！你就直接告诉我嘛。
5	唔，好像是那个什么《这也全都是妖怪干的吗？》终于要出完结本了。
6	书店为了纪念这套据说是幻想乡有史以来人气最高的作品，邀请了能乐舞者来演出呢。
7	诶诶！这不是相当热闹嘛！我也要去瞧瞧！
8	那您得赶紧哦！据说整个幻想乡的人都去了，要是再晚点可能挤都挤不进去。
9	……所有人都去了吗？
10	据说是这样的。虽然应该不可能所有人都去了，不过确实是围得水泄不通的。
11	这样啊。那还是算了吧。
12	诶？为什么？您不是很喜欢凑热闹吗？
13	谁说我喜欢凑热闹啦~
14	谁都知道啊。
15	……
16	为什么不去呀？是有不愿意见到的人吗？
17	哪有啊。魔法使十个有九个都喜欢闭门不出，我这已经算是很好啦。
18	……
19	干、干嘛那样看着我？
20	我之前偶然经过雾雨道具店，那个店长好像生病了。
21	病——咳咳咳！病了！！？
22	我就知道！——放心吧，只是普通的感冒而已。
23	……关我什么事啊，干嘛跟我说这个！？
24	之前提到这家店的时候被您转移了话题，结果我也把这个事忘了……
25	要不是前两天偶然听到店员的议论，我都不知道原来您还有父亲住在村子里呢。我就说嘛，雾雨这个姓是很少见的——
26	好啦。那又怎样嘛，我总不能是石头里蹦出来的。
27	明明有亲人住在村落，为什么您还要住在人烟罕至的森林里？说起来，我第一次听说您的事迹的时候，您才多大啊？十岁吗？还是——
28	对了！您之前说，霖之助和那个“家”也有什么关系吗？
29	我说你……平时什么都不记得，怎么这些事就记得这么清楚啊！总之那个家已经和我没有任何关系了，我也不可能再回去了。
30	因为我很在意呀。雾雨魔法店……雾雨道具店……香霖堂也是道具店……算了，我直接去问霖之助先生好了。
31	你别去问他——好啦好啦。我告诉你啦。
32	香霖在我出生之前，就一直在雾雨道具店打工。差不多在我记事的时候，他因为对道具的理念不同，离开了那儿独自经营。我也差不多是这样的原因离开的。
33	原来是这样。不过霖之助先生的离开我还能理解，您是那家店的独生女吧？就因为这样的原因……
34	雾雨家是不使用魔法道具的，也很排斥魔法相关的一切。但我喜欢魔法。我想成为魔法使。
35	喜欢到不惜抛弃亲人吗？
36	总是听到其他魔法使说，魔法是孤独的。大概这是成为魔法使的必经之路吧？虽然我一点也不觉得孤独哦~
37	平时看您总是嬉皮笑脸的样子，没想到您有这么深刻的觉悟，笔记本也是写得满满当当的——
38	都说啦，那是记录了魔法使一生的最重要的魔导书——
39	真是狡猾啊。明明努力到了这种程度，还老是装作一副轻松的样子。我也不能输给你呢！一定要极尽努力办出幻想乡中最发光发热的演唱会！
40	这都哪跟哪啊……
41	我也是很有觉悟的哦！为了证明我的决心，请您收下这张演唱会门票，一定要让您见识到我们发光发热的舞台！
42	真有气势啊！我看看……居然是无期限的vip坐席票！我是不是也得有所表示才行啊——
43	就送你一套魔法使的服饰作为庆贺礼吧。一定要把演唱会办起来哦！让我看看你的“魔法”怎么让舞台发光发热吧！
44	是！我也要成为和您一样的“加把劲骑士”！
45	喂喂！你可千万别到处说，感觉好丢人啊……
