ID	Content
0	椛小姐，真难得看到您在练习剑术呢。
1	啊，是老板娘啊——
2	虽然战斗的机会不多，但也不能荒废训练，否则就真的派不上用场了。
3	椛小姐虽然偶尔会抱怨工作，但还是很忠实地执行任务呢。
4	那当然。只有在做好本职工作的前提下才有资格去抱怨啊。
5	否则的话，该被抱怨的对象就变成自己了。
6	您果然很正直呢。说起来，为什么白狼天狗全都是剑士呢？
7	大概和那个传说有关吧。
8	传说？
9	传说有位战败的武将，其幼子被寄养在寺里。此子后来得知自己的身世，决心为父报仇，便每日入山修行。
10	人类好像有很多这样的故事呢。
11	不同的是，此子在山中修行时遇到了天狗——
12	哇，那岂不是要被吃掉了！
13	不仅没有被吃掉，相传天狗甚至还传习了他剑术哦。
14	！？
15	为什么？
16	这我就不知道了。毕竟传说诞生于人类的想象，是真是假也未可知。
17	不过，过去的妖怪的形象就是在这样的口口相传中塑造起来的。
18	也就是说，白狼天狗使用剑术这一形象也是人类塑造出来的？
19	有这种可能吧？
20	一想到自己的形象会随着人类的幻想而变化，感觉还蛮不安的……
21	所以妖怪们才格外看重信息战的胜利啊。
22	诶？有这种事吗？
23	在你不知道的情况下，妖怪的势力竞争也是很激烈的哦~
24	唔，大人物们要操心的事情真多啊。不过不知道也有不知道的好，就不用操心这样那样的事了。
25	哈哈，说得没错。这种事就交给大人物们去操心好了。咱们还是该喝酒喝酒，该吃肉吃肉——
26	咕——
27	……
28	刚刚练了半天剑术，本来想去吃饭的，结果和您聊了半天，确实是有些饿了……
29	不过，我也没想到一说到“肉”肚子就这么不争气……真是失礼了……
30	哈哈，您早说嘛。都怪我打扰了您，不嫌弃的话，就让我去为您准备吧！
31	当然不嫌弃！那就有劳您了。
32	老板娘的手艺还是一如既往地好呀。
33	椛小姐似乎特别喜欢吃肉呢。
34	毕竟是犬科嘛……
35	我明白的，我们妖兽都会保留一些还是动物时的习性呢——
36	对了！最近我正在考虑增加新的菜式，这里有这么多的天狗，要不我就试试做一道“全肉盛宴”吧！
37	光是听到这个名字就让人垂涎三尺了。一定会大受欢迎的！
38	我这就去做！做成以后，还请您务必来品尝哦——
