ID	Content
0	成美小姐虽然是地藏，但是却一点硬邦邦的感觉都没有呢。
1	接受了魔力的我早不再是单纯的地藏像啦，从存在上来说已经是魔法使了。
2	真是有着各种各样的魔法使啊。
3	森林基本可以说是魔法使的大本营了。
4	可是，这里虽然聚集了那么多魔法使，大家还是各做各的，很少看到有魔法使结伴。
5	魔法使都是被魔法迷住的人，就算变成了以魔法为身体原动力的妖怪，依然以魔法的研究为生业，每天都在思考新的魔法，根本就没有心思去社交。
6	是这样吗？可是魔理沙小姐……
7	那个魔法人类是个例外。不过别看她在外面那个样子，她回到家也一样没日没夜地埋头研究魔法，是个超级努力派哦。
8	诶——还真看不出来——
9	说到底，人类想修行成魔法使，是不可能轻松就能实现的。
10	那倒也是。一般魔法使和魔女似乎也都以老人居多。
11	没错。要成为魔法使这个种族要花费相当长的时间，直到那个时刻为止他们都和人类一样持续地成长。
12	不过幻想乡的魔法研究不断进步，现在也出现了一些年轻的魔法使。
13	就算成为了魔法使，研究魔法的脚步也不能停下吗？
14	不是不能停下，是不愿意停下。刚刚不是说了吗？魔法使都是被魔法迷住的人。
15	唔……
16	那您呢？感觉您身上并没有这样的热忱……
17	毕竟我不像其他魔法使那样，需要经过刻苦修行才能学会魔法嘛。
18	在我变成魔法石像的那一刻，我就本能地明白该怎么使用操作生命的魔法了。
19	难怪您一点上进心也没有……
20	妖怪需要上进心是想干什么？
21	如果没有任何目标，那您每天都在想什么呢？
22	每天都在想什么……
23	大概是在想明天会有什么贡品吧~
24	成美小姐虽然总是没什么干劲的样子，却意外地对吃食感兴趣呢。
25	还不是因为人们总凭固有印象来准备贡品，无论多少年都重复吃那几样，我才期待能看到些不同的食物。
26	谁让您是家里蹲啊，不想只吃贡品的话，就走出森林嘛。
27	那现在不是有你了嘛。包括我在内，魔法使都不太擅长生活。自从你到森林开店，真是造福了整个森林呢。
28	诶！？难道我成了促使您继续当家里蹲的罪人吗？
29	要负起责任哦！
30	您也太会耍赖了啦——
31	有什么关系呢，你不是喜欢做饭嘛？你愿意做，我愿意吃，是皆大欢喜的结局哦。
32	我才不会上当呢——
33	那你想试试新菜谱吗？我曾经吃过一个别样的贡品，味道香甜可口，就连盛具都被我吃掉了呢。
34	连盛具也吃了，您是有多饥不择食啊……
35	我再怎么饥不择食也不可能真的把盛具吃掉啦。那个贡品的特别之处，就在于它的盛具也是食材做的哦！想不到吧？
36	唔，能作为盛器的食材其实并不多。如果我没猜错的话，应该是——
37	紫菜
38	紫菜包饭很美味呢，作为外衣很合适，作为盛器还是有些太勉强了。
39	竹子
40	竹子作为盛器或许会有清香的味道，但不可能嚼得动吧？
41	蘑菇
42	别再提蘑菇啦，看都已经看腻了。
43	南瓜
44	不愧是食堂的老板娘啊，居然被你猜出来了……
45	用食材来作盛器可以最大程度融合食材的的味道，吃起来感觉也很新鲜，确实是挺有趣的。
46	怎么样？给我做点好吃的，我就告诉你那道料理用到的食材。虽然时隔很多年，但我一点也没忘记呢。
47	能让人这么念念不忘的料理，确实是有些好奇——
48	好吧！这次就满足您的要求，给您奉上美味的贡品吧！
49	等着你哦~
50	成美小姐，贡品带来了哦——
51	多谢款待啦~
52	现在可以告诉我那道料理的情报了吧？
53	没问题。一边吃一边说吧——
54	您慢慢吃吧，我等您吃完就是了。
55	哈哈，那我开动啦，有什么吃完再说吧——
56	……
