ID	Content
0	荷取小姐，您在做什么呀？
1	唔……我在试着做火箭。
2	红魔馆好像乘着火箭上过月球呢。您也想上月球吗？
3	要是能上去看看那当然好……关键是我看过红魔馆的那个火箭，直到现在我也不认为它能够飞起来。
4	可是它确实飞起来了呀。还飞到月亮上去了。
5	这不符合科学……
6	科学？会不会是使用了什么魔法？
7	用魔法来代替火箭飞上月球所需要的燃料，这消耗未免也太巨大了。
8	这也不行那也不行……难道是红魔馆那边说谎了，其实火箭根本就飞不起来？
9	以那个大小姐的性格，这件事应该是真的。
10	说的也是……
11	唔……想不通啊……
12	不如直接去问问吧？
13	当然是第一时间就去打探信息了。
14	难道她们不告诉您吗？
15	也不是。那个火箭是那个图书馆的魔法使做的，她很爽快地就把当时制作火箭的材料都写给我了。
16	即使这样还是搞不清楚吗？
17	光凭那些东西可不足以让火箭飞起来。
18	唔……真难懂啊。您该不会是从当年一直试验到现在吧？
19	那当然。如果因为想不通就放弃思考的话，河童的技术永远都不会进步。
20	科研之路真是艰辛呐。
21	这不算什么——行啦，你就别来打岔了。让我再好好琢磨一下魔女给的这份材料单——
22	好吧，那我就不打扰您了——诶？
23	这些材料单里怎么还夹着灵梦小姐的符咒？
24	嗯？不小心掺进去的吧。
25	哦对！灵梦小姐当时也去了月亮来着~
26	出行的时候先贴几个保佑平安的符咒，真是人类的作风啊。
27	灵梦小姐的符咒可灵验了，据说她还可以召唤神明呢！
28	哈哈，想要旅行安全的话，该不会是要召唤青蛙之神什么的吧——
29	……我知道了！
30	突、突然间怎么了？
31	火箭在宇宙中航行——是航海之神啊！
32	？？？
33	你看，这个火箭的设计图是三段筒身的！航海之神也是三段筒。难怪吸血鬼会带上灵梦她们一起去，原来是这样——
34	到底是什么意思啊……
35	一直困扰我的，火箭究竟是怎么在宇宙中推进的谜底，终于揭开了！
36	……
37	答案就是——由身为巫女的灵梦将航海之神召唤到火箭上，为这个空壳火箭赋予了灵魂。航海之神的神力，就是这个火箭的推进力。
38	哦……
39	真是让人扫兴的反应啊。不过多亏了你，我才解开了多年的疑惑。作为答谢，我就给你一些会让你感兴趣的东西吧——
40	这是……食谱？哇！谢谢——！！
41	厨艺之于你，就好比物理之于我。加油吧，小麻雀~
