ID	Content
0	早苗小姐，您好~
1	啊。我现在没时间和你聊天，我在忙着刷题呢——
2	什么是刷题？
3	做妖怪真幸福啊——
4	刷题就是一种在短时间内快速接触大量题目，用尽量短的时间弄懂题目和答案的意思然后解答的方法。
5	哦……
6	就算你装作一副听懂了的样子，我也知道你根本就不懂。被题海包围的女高中生的痛苦，妖怪怎么会明白呢~
7	不想做就不做好了嘛。
8	谁能想到，神奈子大人为了不让我荒废学业，竟然将我余生要学的所有课本和练习册全都带了过来！她为我操心到这种地步，我也没办法拒绝啊……
9	好吧。不过要注意劳逸结合哦，晚上可以到我的店里来补充一下营养！
10	好啊！刷完题肚子可饿了呢~
11	早苗小姐，您好~
12	啊。我现在没时间和你聊天，我在忙着刷题呢——
13	什么是刷题？
14	做妖怪真幸福啊——
15	刷题就是一种在短时间内快速接触大量题目，用尽量短的时间弄懂题目和答案的意思然后解答的方法。
16	哦……
17	就算你装作一副听懂了的样子，我也知道你根本就不懂。被题海包围的女高中生的痛苦，妖怪怎么会明白呢~
18	不想做就不做好了嘛。
19	谁能想到，神奈子大人为了不让我荒废学业，竟然将我余生要学的所有课本和练习册全都带了过来！她为我操心到这种地步，我也没办法拒绝啊……
20	好吧。不过要注意劳逸结合哦，晚上可以到我的店里来补充一下营养！
21	唉，看今晚能不能刷完这套题吧……
