ID	Content
0	早苗小姐，您又下山啦~
1	啊，你好呀。你来得真频繁啊。
2	因为山里有着其他地方都没有的资源嘛。您又准备去村子收集信仰吗？真勤快！
3	唔，我是打算去博丽神社来着……
4	……偶尔放松一下也是应该的！
5	我不是去玩啦……只是有点不放心灵梦。
6	诶？
7	唔，灵梦那种家伙，一直放任不管的话很让人担心吧？
8	嗯？灵梦小姐看起来不像是这么脆弱的人啊……不，她和脆弱绝对说不到一块儿吧！？
9	别看她平时强得像从异次元来的，之前竟然还因为吃了过期食物差点死掉呢——
10	不，说是过期食物可能也不太恰当，那东西已经烂得不能再烂了。真亏她能吃得下去啊。
11	诶诶——！？那她后来怎么样了？
12	幸好魔理沙及时赶到，不然博丽的巫女大概就要换代了。
13	没想到灵梦小姐私底下是这种样子，自理能力这么差，她是怎么活到现在的啊……
14	大概就是靠着有人时不时到神社看望她的缘故吧……
15	不愧是灵梦小姐……有什么需要我帮忙的吗？
16	不用啦。灵梦是个很容易满足的家伙，有我出马就够了。
17	那就辛苦您了。早苗小姐真是擅长照顾别人啊。
18	是吗？大概是因为我一直侍奉神奈子大人和诹访子大人，已经习惯了。
19	早苗小姐总是照顾别人，就让我来照顾一下早苗小姐吧~
20	诶？
21	不过我也没有什么擅长的……对了！早苗小姐有什么想吃的东西吗？
22	唔……
23	有是有，不过那道料理妖怪能做得出来吗……
24	不要小看妖怪啊！
25	我不是这个意思。应该是说，那道料理幻想乡能做得出来吗……
26	难道是外界的料理？
27	与其说是外界的料理，不如说是外界的食材。
28	到、到底是什么……
29	就是人人都喜欢的神奇海胆！
30	海胆？
31	没错，它还有个别名叫“云丹”，是与揆子和乌鱼子并称的“三大珍味”哦。
32	唔……都没听说过……
33	唉，在幻想乡确实很难寻到这种食材……
34	……
35	既然我已经夸下海口要照顾您一下，怎么能在第一关就退缩呢！
36	难道你有办法得到外界的食材？
37	……我虽然没有办法，但是河童不是有外界海产养殖基地吗？或许她们有办法入手。
38	啊！如果可以找河童商人进货的话，那就真是太便利了！
39	事不宜迟，那我就赶紧去看看吧！
40	河童居然连海胆也能养殖，真是不能小觑啊……
41	这样不也挺好的嘛，以后您就可以尽情享用这道家乡的美味了~
42	说的也是！我快要因为期待遏制不住兴奋了！如果真的能再次吃到这个东西的话……
43	我这就去准备，等做好以后，欢迎您到店里来品尝！
