ID	Context
0	我闻到了——！！！
1	什、什么？！
2	是陨铁独有的石炭味！你找到陨铁了吗？
3	是的！我找到它了！这不马上就给你带来了嘛！
4	快、快拿出来给我看看！
5	好的——
6	果然是陨铁！
7	把它交给我！我会用对你来说非常有价值的东西跟你交换的！
8	对我来说更有价值的？
9	对！我可是最棒的商人！最清楚自己的客人需要的东西啦！
10	你带来的陨铁除了能够打造修复用的零件以外，剩下的边角料，应该还能制作出一个非常特别的煮锅！
11	煮、煮锅吗！？
12	没错！使用河童最新的技术……结合这块天下无双的材料的话，一定能够打造出传说级的厨具！
13	我的手已经开始兴奋地颤抖了！我想马上开始工作！不会消耗多少时间的，你等我一会儿！
14	好、好的！我期待着！
15	完成啦！真是太棒了！替换用的零件完美无瑕的运转了起来！你可真是带来了一块了不起的陨铁啊！
16	那可太好了！我帮上忙了！
17	接下来就是这个——刚刚利用调试等待的空隙，所打造的这个传说般的全新煮锅！因为它来自于遥远的星星，我命名它为“星尘鼎沸”！
18	哇——是个强劲又浪漫的名字！
19	不但可以大大的减少一切煮锅需要的料理时间，还会产生各种梦幻的特殊效果哦。
20	不过只有你本人使用才会有效果哦，需要注意这一点。
21	拿在手里的一瞬间，那种强烈的存在感，和想要煮东西的意识，好像就通过手传过来了！
22	好的！我心怀感激地收下它了！！！
