ID	Content
0	她们在那里！
1	什么欲望之果，我真的不知道——！
2	我要是知道幽幽子身上发生了那种事，我肯定会去凑热——去帮忙啊！！
3	你也真不够意思的，发生这么大的事都不告诉我呐——
4	我还在想你那时候怎么老是不见人呢！原来是躲起来干坏事了啊——
5	冤枉啊——我干什么坏事了啊——
6	……
7	灵梦小姐……
8	老板娘？你怎么也来了？哎，你得评评理，灵梦非说我种什么欲望之果——
9	诶？你上次是不是也说了什么欲望之果来着？
10	那到底是什么东西啊——
11	灵梦小姐，会不会是弄错了？魔理沙小姐看起来真的不知道……
12	没有错！那确实就是欲望之果！
13	果然……可是……
14	你好好说说，这东西你到底是怎么弄出来的？
15	那个魔界之花吗？好嘛，这培育之法可是我的独门秘籍，河童出高价跟我买我都不卖呢……
16	……
17	别急啊——见是你，我才说的哦！可不能外传呐。
18	知道啦！给我把来龙去脉讲清楚！
19	前阵子，地上不是冒出来很多黑水嘛……
20	这玩意儿来路不明，我就随便收集了一些来做实验。
21	为什么要做实验？
22	不是和你说过嘛，魔法就是无数次实验下的结晶哦。不试试新的合成，又怎么研究出新的魔法呢~
23	结果不管是蘑菇还是别的什么东西，和黑水融合都被吞噬了。而那黑水看起来还是原来的黑水，也没有变成什么新的物质，那我就想着实验应该是失败了嘛——
24	然、然后呢——
25	然后？然后我就随手把失败品倒了呗——喏，就是倒在那颗树下。
26	哈！？你是说你把那个融合了乱七八糟的蘑菇的黑水又倒回了地上——！？
27	那黑水本来就是从地上冒出来的啊，我想着倒回地上……应该也没什么大不了的嘛。
28	魔——理——沙——！！！
29	然、然后呢……
30	哎呀，别急嘛。事实证明确实没什么啊。只是没过多久，那棵树上开出了没见过的红色小花而已。
31	那个花就是……魔界之花？
32	一开始我也不知道那是魔界之花。虽然能感觉到那些花里蕴含了什么魔力……不过魔法森林里的植物几乎都蕴含魔力，所以我也没有在意。
33	又过了一段时间，那个花的花瓣开始萎缩，不久就结出了红色的果实。
34	还真是糊里糊涂地被你培育出来了啊……那和河童的交易又是怎么一回事？
35	荷取当时正好在附近，也跑过来瞧了个新鲜。她说这果实蕴含的魔力有点特殊，似乎有让人亢奋的作用，就拿了点回去研究。
36	第二天，她就付钱把果实全买了，还让我继续培育，有多少她就收多少……
37	……这是多久以前的事？我记得森林有一段时间特别闹腾，那时候就已经种上了吧？
38	啊是，荷取不是说有多少她都会买嘛。我就按照原来的配方又调出了那个黑水，大肆地撒在森林里。
39	一段时间后，森林各处的树上都结出了红色的花、再结出了红色的果子……
40	不过这时间说长不长说短不短，我不知不觉习惯了这些红色的树，一下子把和河童的交易给忘了……
41	……
42	……
43	那几天，森林里的妖精似乎都特别兴奋，跟不怕死似的，光明正大且无时无刻都在恶作剧。
44	魔法森林因为有瘴气，对一般妖怪来说也不是什么适合居住的地方，但是住了很多魔法使。
45	魔法使大多性格孤僻——像我这么开朗的魔法使可不多见。那些魔法使被骚扰得不厌其烦，有的出手教训这些妖精，有的干脆就闭门不出了——
46	爱丽丝原本也闭门不出，后来似乎察觉到森林的异样，就出来逛了一圈，正好看到河童来催我交货，一口咬定这是魔界之花，把我当成了异变的犯人——
47	原来从那时就已经开始了……既然都闹成这样了，怎么还会继续培育啊！？
48	虽然爱丽丝说这是什么魔界之花，但是她自己也不太清楚这果实有什么用。而且河童把果实全都摘走了，也碍不着森林什么事了嘛。
49	而且我也想过了，虽然让人兴奋不是什么大不了的事，但未免又被妖精们误食生事，我之后就只在我家门前那颗树培育魔界之花，并且还设了魔法封禁，怎么看都是万无一失啦——
50	万无一失——才怪呢！真是瞎折腾！难怪我一直没有找到幽幽子说的欲望之果，原来都被你摘去卖掉了！
51	总之我知道的就这么多了。那个欲望之果又是怎么一回事？
52	当时森林的异样持续了一段时间，这事我是知道的。我来查看的时候就发现妖精们的状态和万宝槌魔力暴走的时候有点像，掺杂了诅咒的气息。
53	诅咒！？果然妖精们和幽幽子小姐的症状是一样的吗？
54	诅咒对你来说没什么大不了的吧？
55	没错，净化诅咒确实是巫女的强项。所以我当时很轻松就把森林里闹事的家伙都净化了一通，森林马上就恢复了原样，只偶尔还有几只妖精有异……
56	不过妖精嘛，也掀不起什么风浪，再加上妖精们就算自己作死消耗完生命力也会重生，我就没有很在意了……
57	灵梦小姐，您和魔理沙小姐能成为好友是有原因的。
58	原来是被你净化了啊。我还以为异变是自然而然消失的呢……然后呢？就这么一点小事，至于这么风风火火地来找我秋后算账嘛？
59	误食欲望之果的如果只是妖精，那确实没什么大不了的……谁想到幽幽子那家伙居然也误食了！
60	对对，刚刚你们就在说幽幽子了。这跟幽幽子又有啥关系啊？
61	欲望之果的效力并不是使人兴奋，而是会无底洞地放大食用者的欲望！只是因为妖精们性格单纯，整天只想着恶作剧，所以除了烦人，看起来并没有什么危害。
62	但幽幽子那家伙不一样，她有着无穷无尽的……食欲！
63	管她的欲望是什么，把诅咒净化了不就可以了吗？
64	最麻烦的是，她有着独一无二的体质……
65	怎、怎么说？
66	紫说，她的存在本身即诅咒。如果我把她净化了，她的存在就会消失——
67	这家伙好歹是冥界之主，要是随便消失了，幽灵就没人管理了。
68	那，如果放着幽幽子不管会怎样？
69	幽幽子是亡灵，她没有需要承载负荷的身体，所以她会无穷无尽地吃下去，直至将整个幻想乡吞噬殆尽——
70	……
71	所以，你知道我们废了多大的劲——最后还是米斯蒂娅做出了能够让她心满意足的料理，才化解了她的诅咒！
72	这……所以说我不知道啊……
73	那你现在知道了！不能再培育这种魔界之花了！还有，河童要这么多欲望之果干什么吗？
74	好像说是要卖到地狱去。
75	地狱？……唔，既然不在幻想乡流通，那就不关我的事了。总之你别再种了！
76	……知道啦。
77	这次谢谢你把这件事告诉我，才能阻止这家伙继续做蠢事。
78	毕竟那样的事，我也不想再经历一次啦……
79	呼，这下应该就彻底结束了……啊——
80	怎、怎么了！
81	我的茶叶还在走廊放着呢！没有被妖精拿走吧？我得赶紧回去看看——
82	……
83	老板娘，你也太不够意思了，这么大的事居然不告诉我，我可是你店里的大熟客诶。
84	我其实也是前不久才知道的……
85	唉，可惜啦。没有了这个生财之道，以后再到你的店里吃饭可能就付不起小费了哦——
86	没、没关系啦……
87	开玩笑的。偷偷告诉你，我之前卖欲望之果积攒下来的收入还多着呢，区区小费我还是付得起的，你可千万不要给我偷工减料哦！
88	不会的啦！
89	时候也不早呐，热闹也散了，你快去做开店准备吧~
90	我又不是来凑热闹的……知道啦，我这就回去了！
