ID	Context
0	……
1	没想到那场危机的起源居然是这样发生的……果然，坏事的背后都是魔理沙。
2	啊哈哈，看起来确实是这样——难道魔理沙小姐也是什么特殊体质吗哈哈哈——
3	哈哈哈哈——
4	不过，这样一来，这件事就算是水落石出了？
5	这不是当然的吗？
6	啊哈，也是呢。希望这件事能到此为止……
7	你还在担心些什么吗？
8	不知道为什么，总觉得心里还是放不下。
9	……感觉你自从这次事件以后，对危机的判断敏感了不少。
10	是吗？
11	就像这次魔界之花的事，要不是你留了心，也不会顺藤摸瓜扯出欲望之果的事情了。
12	嘿嘿，被你说得我怪不意思的——
13	不，我是认真的——
14	我之前无意中听到住持和那个道家的对话，好像提到什么妖怪贤者为了救冥界之主，干涉了因果律……
15	诶？是说紫小姐和幽幽子小姐吗？
16	应该是吧？她们还说——哎，说的基本都是我听不懂的话，我就断断续续记下来一些——什么世界线收束？什么多次触碰因果律的结果将会回馈到轮回者身上？
17	……到底在说什么啊？
18	唔，还记得你那个银杏叶吗？你说有没有可能……其实这场异变你经历了许多次，只有这次才顺利将它度过了？所以你才总觉得有种被“命运”牵弄的感觉？
19	嗯……好像明白了，又好像不太明白……
20	唔，大概就是什么既视感还是第六感什么的吧？总之，既然你觉得还有些不安，那就谨慎一些。做好准备总是没坏处的！
21	好、好的……
22	别怕，不管发生什么事，我都会陪在你身边的！
23	嗯！谢谢你，响子！
24	说什么呢——好啦，时候不早啦。我们先回去吧！
25	好！那明天见——
26	明天见——
27	经历了很多次……
28	怎么了？
29	之前慧音老师也说过类似的话……
30	她说幻想乡能延续现在的这份平和，是因为我一次次失败又一次次轮回救下幽幽子小姐的结果……
31	诶诶！？这种事真的能做到吗？
32	好像是结合了慧音老师和紫小姐的能力实现的，具体原理我也不懂啦。
33	吞噬历史的能力和操纵界限的能力吗……
34	这么说来，米斯琪不就是幻想乡的救世主了？
35	救、救世主什么的——这称呼太奇怪了！鸡皮疙瘩都起来了——
36	哈哈~米斯琪还不太习惯自己的新身份呢。多听几次就习惯了哦。
37	别取笑我啦！
38	哈哈哈——说真的啦，既然确实发生过这种事，不就更能印证我刚刚的想法吗？
39	唔……
40	总之，如果你觉得还有些不安，那就谨慎一些。做好准备总是没坏处的！
