ID	Content
0	老板娘！你来得正好——！
1	我正准备去找你，看来是天意啊——
2	怎、怎么了？
3	老板娘，听我说——这次，只有你能救我了！！！
4	这句话感觉好像在哪里听过……
5	我已经充分地了解了之前有关欲望之果的事件了！
6	既然你能消除那个有着饕餮胃一般的亡灵的欲望，那么这次也一定可以消除这个客户——这个真正的饕餮的欲望！！！
7	真、真正的饕餮……
8	没错。她是血池地狱里的饕餮，是贪婪的大胃王！
9	她性格残暴，欲望更是无求无尽，能吞噬世间的一切——
10	哇！！！别、别找我啊！我不行的——
11	别急嘛。我这两天打探了不少关于这个饕餮的情报，发现了一个极大的突破点！
12	……
13	她能通过吞入腹中这一行为去理解被她吞入的事物，将其转化为自己的力量。
14	与此同时，她吞下的事物似乎也会对她的性格造成影响。
15	那又怎样……
16	你不是传说中最有人情味的妖怪厨师嘛，只要你能一直给她做出能够治愈心灵的料理，说不定就能让她变得温和——
17	唔……
18	你不是老嚷嚷机器做出来的料理是没有灵魂的吗？那就凭你的本事做出有灵魂的料理吧！
19	就算你这样说……
20	拜托了！这件事我真的很无辜诶！说起来——
21	要不是你去找巫女来，我至少能先把这单给完成，也不至于言而无信得罪这个可怕的神兽了——
22	怎么还怪上我了啊……
23	哎，现在只有你能帮我了。这件事虽然是我理亏，但是我也是受害者啊。
24	……
25	好、好吧，我试试……
26	太好了！我就知道你一定会答应！
27	……
28	那你赶紧回去准备一下吧！等你准备好了就来找我，我会带你去找她……
29	先、先说好，要是发生什么事，你得优先保护我啊……
30	当然。老板娘这么讲义气，我肯定不会丢下你的！
31	那……好吧！那我就先回去准备准备了……
32	去吧去吧，可别让我等太久啊——
