ID	Content
0	居然还有勇气回到这里，看来不能小瞧你啊！
1	我、我……
2	到底有什么事？
3	……
4	呼……别怕……我能行的……
5	赶紧说吧！
6	自、自从上次在血池地狱做过饭，回到地上以后，每次做饭的时候都会想起这股恶心的味道——
7	恶心的味道？在哪里？
8	就、就是血池里散发出来的味道……
9	你知道血池里的东西是什么吗？
10	不知道……
11	血池地狱里有着无尽的充满了恐惧、憎恶、怨恨的有机物，既能当作燃料，又充满了营养，是最美味的诅咒啊——！
12	我……
13	哼。既然你这么不喜欢这个地方的味道，为什么还要回来？
14	正是因为不喜欢这个味道，所以才要回来……
15	说清楚。
16	这个味道给我的印象实在太深，结果成了我做料理时的干扰因素……
17	如果无法从根源上克服，以后我可能还会继续受到环境带来的影响，这不是一名优秀的厨娘应该出的状况！
18	哦~挺有骨气的，所以你准备怎么做？在血池里洗个澡会好些吗？
19	……那倒不至于。我是想再次挑战在血池地狱这种极限环境下做料理。如果我连血池地狱这么恶劣的环境都可以忍受，以后就再也不会被干扰了！
20	哦豁——
21	我、我是这样想的。当然，如果妨碍到您的话那就当我没说，我就先回去了——
22	虽然我不认为这里的环境有什么恶劣，但是你说再次挑战……也就是要再次宴请我？
23	是、是的，如果您赏脸的话……
24	那还等什么！现在就开始！赶紧的——
25	诶！？这么突然吗？好、好的——！
