ID	Content
0	米斯琪，庙里最近有个课题，要我们围绕民生来进行论辩——
1	呜哇，我听说人类的寺庙好像是有辩经的传统，妖怪寺庙还要辩这种民生什么的吗……
2	辩经对寺里的妖怪们来说太难了……虽然我已经基本把经文都背熟了。
3	响子真厉害——！
4	嘿嘿，因为我每天早上打扫的时候都听着寺里传来的诵经的声音嘛。
5	对了，山彦是会复读别人的话的妖怪呢。
6	哎，现在会到山里大喊的人已经没有多少了，我就是因此心灰意冷所以才拜入佛门——
7	言归正传，我在想，或许我可以从幻想乡各种族的贫富差异去选择论题……
8	？？？
9	现在的你已经很熟悉客人们的预算上限了吧？
10	比如不事劳作的妖精和拥有强大社会体系的天狗、河童等种族就有着显而易见的贫富差距。
11	这也是理所当然的，妖精们除了吃喝玩乐啥都不干。就连兜里那点钱，说不定也是恶作剧的时候顺走的。
12	是啊。河童这种极客就完全不同。
13	据说除了玄武之泽的大本营以外，河童的基地隐藏在幻想乡的每一个角落，妖精充其量找棵树找朵花就行了。
14	河童弄那么多基地干什么？
15	谁知道。说不定是有什么不见得光的生意呢。
16	那天狗呢？就凭那些报纸，总感觉赚不到多少钱……
17	天狗的事业可不只有报纸。你不知道吧，山上有一个非常深的坑道——
18	诶？
19	我回家的路原本是要经过那边的，结果天狗们一直把坑口把守得牢牢实实的，也不知道里面有什么宝贝，弄得我每次回家都要绕路。
20	金矿？银矿？宝石矿？
21	那我就不知道了……
22	总而言之，从这些事例来看，客人的用餐预算能很大程度地表现出他们的生活水平。
23	以种族来划分的话，说不定还可以分析种族的生存方式……
24	好深奥啊……响子自从进了佛门，见识真是越来越广了……
25	嘿嘿，还好啦~
26	不过，如果用客人们来举例的话，我突然想到有个人，她的用餐预算和她的收入应该是不成正比的……
27	……对！是有这么一个人来着…………
28	魔理沙小姐平时基本就是到处捡捡、捣鼓蘑菇，但她吃得比河童天狗们都还要奢侈诶。
29	这到底是为什么……
30	难道魔理沙小姐其实是个富家大小姐？
31	不应该吧，我听说她是和家里决裂了才一个人到森林去的。再说，以前也没看出来她这么有钱啊。
32	是最近才富裕起来的？
33	……对了，我想起了，她说过她的“雾雨魔法店”之前接了个大单来着。
34	是吗？“雾雨魔法店”？
35	似乎是一个类似万事屋一样的店。
36	这样啊……哎呀！都这个时候了，我不跟你闲聊啦。明天还要早起呢，先回去咯！
37	好的，明天见~
