ID	Content
0	这不是最近话题性很高的妖怪食堂老板娘嘛，怎么跑到山这边来了？
1	不知不觉就走到这里了……
2	真是个呆头鸟啊，我劝你最好不要再往前走了。这前面可不是你这种小妖怪可以去的地方。
3	我知道的，山上是天狗的地盘嘛，借我一百个胆子我也不敢上山。
4	不错不错，果然妖怪比人类识相多了。
5	该不会有人类敢上山吧……
6	对我们妖怪来说，对力量臣服是一种天性。
7	而人类虽然弱小，却容易被一种名为“好奇心”的情绪煽动做出将自身安危抛之脑后的事情。
8	是吗？
9	比如看到“禁止入内”的告示牌反而会更想进去一探究竟。人类就是这样的种族嘛。
10	您对人类真了解啊。
11	河童的生意少不了要和人类打交道，不了解客户的心理是无法长久经营下去的哦。
12	唔，这就是高级商人的心得吗……
13	在生意之道上，你还是个雏鸟呢。不过你的厨艺在妖怪之间还挺有名气的……我说，你要不要把分店开到这边来？
14	在、在妖怪之山开店！？这也太异想天开了……
15	所以才说你是雏鸟啊。趁着夜雀食堂现在的口碑和话题性，一鼓作气把分店开满幻想乡，不就彻底把名号打响了吗？
16	您说得简单，我哪有资本开那么多分店啊……
17	不会吧？你好歹也经营了一段时间了，就连开个分店的钱也拿不出来吗？
18	我……
19	太逊了，真是太逊了——
20	呜呜。
21	难得有个被称道的妖怪食堂……算了算了，这么点小钱，我就赞助你一把吧。
22	诶——！？您为什么——？
23	做饭这种家务对我们河童来说没什么意义。你要是能把食堂开到妖怪之山，能省了我们不少功夫。
24	河童原来是这么懒的吗……
25	这可不是因为懒。我们河童的劳动力是要用在刀尖上的，把时间消耗在做饭这种事情实在太浪费。你明白吗？和我们自己做饭所付出的时间的金钱相比，这点钱根本不值一提。
26	河童的经济社会还真是扭曲啊。
27	对雏鸟来说，要理解这一点看来还太早了。不管怎么说，这对你来说应该没有任何坏处吧？
28	您当我是傻的吗？这儿往下一点是河童的大本营，往上一点就是天狗的地盘，就算你们河童不来找我麻烦，天狗也不可能让我在她们眼皮底下开店啦。
29	你放心吧，天狗可比你会做生意。我刚刚的考虑对天狗来说是一样的，她们不可能会拒绝你在这里开食堂。
30	为什么？
31	和呆头鸟说话真累啊，不彻底说个清楚就不行吗？我的时间可是很宝贵的……
32	我们来打个赌吧！看到前面那个白狼天狗吗？
33	她们是专门跑腿的。你告诉她你要在这儿开店，她自然会去禀报大天狗，到时候你就知道我说的没错了。
34	我不会有事吧……
35	就算大天狗不同意，你最不济也只是被驱逐出山而已。
36	唔……
37	可如果大天狗同意的话，你不仅能得到我赞助的开店费用，还能同时得到河童和天狗的庇护。再加上，盘踞在这附近的不管是河童还是天狗，兜里的钱比起其他妖怪只多不少——
38	那、那我就试试吧！
