ID	TITLE	DESCIRIPTION
DLC1_Main_YoukaiMountain_006_Mission	河童工程师的能量餐	河童队长正在招募能够给高级工程师提供能量餐的厨师，有意者请前往妖怪之山洽谈。
DLC1_Main_Toutetsu_004_Mission	消除饕餮的欲望！？	你不是传说中最有人情味的妖怪厨师嘛，只要你能一直给她做出能够治愈心灵的料理，说不定就能让她变得温和——拜托了！现在只有你能救我了！
DLC1_Main_Toutetsu_005_Mission	已删除任务	已删除任务
DLC1_Kizuna_Momizi_LV1_Upgrade_Mission	请犬走椛品尝一下「炸虾天妇罗」吧！	从犬走椛那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC1_Kizuna_Momizi_LV2_Upgrade_Mission_001	宿醉对身体不好哦~	一下勤就喝到宿醉的椛小姐真是让人不放心，去弄点蜂蜜来缓解一下她的宿醉症状吧！
DLC1_Kizuna_Momizi_LV2_Upgrade_Mission_002	请犬走椛品尝一下「黄金酥鱼饼」吧！	从犬走椛那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC1_Kizuna_Momizi_LV3_Upgrade_Mission_001	小人物操心自己的五脏庙就好了！	拉着椛小姐说了半天话，肚子都饿了！势力竞争什么的是大人物要考虑的，咱们快乐地喝酒吃肉就好了！
DLC1_Kizuna_Momizi_LV3_Upgrade_Mission_002	请犬走椛品尝一下「全肉盛宴」吧！	从犬走椛那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC1_Kizuna_Nitori_LV1_Upgrade_Mission_001	神秘的《河童相传胡瓜遣》	更好地保存黄瓜并且食谱化的方法到底是什么？去摘几根黄瓜来让荷取小姐示范一下吧！
DLC1_Kizuna_Nitori_LV1_Upgrade_Mission_002	请河城荷取品尝一下「腌黄瓜」吧！	从河城荷取那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC1_Kizuna_Nitori_LV2_Upgrade_Mission	请河城荷取品尝一下「奶油焗蟹」吧！	从河城荷取那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
