ID	Content
0	老板娘，你来得正好——
1	怎么啦？
2	???::您、您好——
3	???::请问您就是经营夜雀食堂的老板娘米斯蒂娅小姐吗？
4	叫我米斯蒂娅就好！您是……？
5	我叫键山雏。是收揽人类的苦厄，并将其交诸众神的厄神。
6	您是神明啊？
7	虽然称号里有个神，但我和您一样，都是妖怪。
8	唔，您看起来不像神明也不像妖怪，倒像是个人偶……
9	像雏人偶是吧？很可爱？
10	荷取——！
11	确实是妖怪里少见的华丽可爱呢。
12	……
13	你太容易害羞啦，稍微被打趣一下就窘迫得说不出话，怎么跨出那一步呢？
14	嗯……你说得对……
15	啥？
16	这孩子啊，因为一直被人类和妖怪排斥，所以不太擅长和别人相处。
17	诶？同时被人类和妖怪排斥吗？
18	说到雏人偶，就是拔除不祥，带走疾病和灾祸的存在。和雏的存在意义是一样的。
19	那应该很受欢迎才对吧？
20	雏带走了人们的厄运，还为了让厄运不回到人们身上，一直贮藏着这些厄运。
21	所以在外行人看来，她就像是被厄运包围一样。谁都不敢靠近她，只要靠近她就会变得不幸——
22	……
23	这样确实有点……如果会变得不幸，不敢靠近也是人之常理。不想这样的话，那就不要收集厄运嘛。
24	只有我将厄运的流动禁锢于我身边，人们才能生活得太平安逸。
25	唔……
26	真是拿她没办法啊。所以我一直在考虑制作一种能够贮藏厄运，并抑制厄运扩散的道具，这样厄运就不会一直缠绕着她了。
27	要是有这样的道具就太好了！真的做得出来吗？
28	那当然。也不看看我是谁——她手上戴着的这个手绳，就是能够贮藏并抑制厄运的法宝哦！
29	哇——
30	别碰！！！
31	呜哇！吓、吓我一跳！看一下而已嘛，真小气。
32	您误会了。荷取不是小气。她只是怕你沾染上厄运。
33	不是能够抑制厄运吗？
34	没错。多亏了荷取，现在即使靠近我也不会变得不幸了。但是——
35	现在的我还不太能够驾驭这个道具，所以手绳偶尔还是会散出一点点厄能量……
36	这样啊……没事！只要持续修行，一定能完美抑制厄运的！
37	说得对！这就是我们找你的原因——
38	诶？
39	雏要进行抑制厄的修行，就需要投身到人类当中。现在的她已经不再被厄运包围了，所以想拜托你让她到你的店里进行修行——
40	来我的店！？
41	可是……万一厄运泄露的话……
42	就算那样，也只是一点点厄能量的泄露而已，不会带来什么糟糕的厄运啦。
43	唔……
44	我知道这个事让您很为难，我也不想勉强您，但是荷取好不容易给我做了这个……
45	她虽然说得轻描淡写，但是我知道，她为了制作这个手镯，已经努力了好多年。我不想辜负她对我的付出……
46	说、说什么傻话呢。我只是不想看到你一天到晚老跑到河里捞人类扔掉的雏人偶而已。
47	……
48	如果您愿意让我到店里修行，雇佣金什么的我都不需要，一定会拼尽全力把厄抑制住的……
49	……你们感情真好啊。
50	看到你们这么真挚的情谊，我也没法狠心说出拒绝的话呀。
51	您的意思是——
52	我就说她一定会同意的！太好了！这下你终于有机会得到人们的理解了！
53	谢谢你，荷取。也谢谢您，米斯蒂娅——
54	不客气。努力地把厄抑制住吧！我期待你的表现哦！
55	是——！
