ID	Content
0	我都说了，我能照顾好自己，你不用隔三差五就来给我送东西啦——
1	??::这地上能有什么好东西啊。
2	这些都无所谓，我又不是为了过好日子才跑到地上来的……
3	??::所以我才不明白啊！
4	??::你以人类之身跑出来，好不容易终于修炼成魔法使，我们都以为你要回来了，结果还是继续留在地上！
5	我有我想做的事，我的目标还没有实现——
6	??::我知道！正是因为我全都知道，我才心急啊。我是眼瞧着你受了多少苦的！
7	我能受什么苦啊……
8	??::你以为我不知道吗？
9	??::白天的时候要去村子里表演人偶剧赚钱，回来以后要研究魔法，直到夜深人静还在修补人偶——
10	这有什么嘛。你不是我，怎么知道我不是在享受呢？
11	??::享受什么啊？忙得连轴转还要答应帮那个奇怪的鸟妖怪捡食材——
12	（……是在说我吗？）
13	梦子，你一点都不明白！
14	我是不明白，反正我就是看不得我们魔界捧在手心的小公主在地上过得这样孤苦忙碌。
15	要是被神绮大人知道，她也一定会很心疼的。
16	不会的。神绮大人一定会理解我的。
17	好好——只有神绮大人理解你，明明大家都不赞成让你一个人离开，神绮大人却二话不说就答应了！
18	好啦！别说了！反正我是不会回去的。
19	你要是再唠叨，我就送客了哦！
20	你……你真是……
21	算了算了，不说你了！你以前不是最喜欢吃我做的点心吗，我给你带了好多——
22	是谁在那里！？
23	哇——
24	我、我不是有意偷听你们的话，只是实在找不到机会怎么插口……
25	这种情况下转身离开才是礼仪吧？
26	我……对不起……
27	算了，梦子。她是来找我玩的。你唠叨起来那个气势汹汹的样子，别说她了，就连我都怕。
28	你要是真的怕就好了。
29	过来吧，米斯蒂娅。梦子是刀子嘴豆腐心，别太在意她说的话。
30	哼。
31	……
32	那个，实在很抱歉……
33	没关系的。我来正式介绍一下吧——
34	这位就是我们之前提到过的，我在魔界的同伴，梦子。
35	等等——你们提到过我？
36	是、是的！爱丽丝小姐说您是她重要的家人！
37	嗯哼~
38	哎？我有这么说过吗？
39	喂——
40	嘿嘿……梦子小姐其实也很单纯呢。
41	你以为你是谁啊？
42	对、对不起——！
43	梦子是有些排外，不过她不是坏人。等熟悉起来，她会很可靠哦。她在神绮大人创造的魔物中是最高级的存在，也就是左右手呢。
44	感觉到了，气场确实很强大……
45	然后——梦子，这位是我在地上的朋友，夜雀食堂的老板娘，米斯蒂娅。
46	我知道。就是她用一张空头门票哄了你每天给她满森林地捡食材嘛。
47	……
48	哪有满森林跑啊。我是用魔法丝线操纵人偶去做的，对我来说很轻松啦。
49	我真的无法理解你们地上的事情，明明是妖怪，居然还开食堂……
50	梦子你啊，就是对地上了解得太少，所以才无法理解地上的事情，也无法理解我。
51	……
52	好啊！既然你这样说，那我也留在地上！我倒要看看，这地上是不是真的这么有趣——
53	……
54	爱丽丝小姐，她该不会是认真的吧……
55	我当然是认真的！
56	别这样，我要做的事必然是孤独的，我不想被打扰。即便是你也——
57	真是个冷漠的臭小鬼。我不会去打扰你！我、我——对了！我去打扰这个家伙总行吧？
58	诶！？我？
59	我也不会白赖着你。你不是开食堂嘛？我就去你的食堂当帮工好了。这可是你捡了便宜，知道吗？
60	诶诶！？
61	唔。只要不会妨碍到我的研究，我倒是无所谓。
62	爱丽丝小姐——！？
63	梦子虽然性子有些冲动，但不是乱来的人，尤其对待工作是非常认真的。
64	真的吗……
65	我是魔界之主的副手，给你当帮工你还有什么好嫌弃的？就这样决定了！幻想乡是吧？我也来啦——
66	希望不会出什么岔子吧……
