ID	NAME	DECRIPTION
2001	花魁浴衣	花魁比赛的战利品。地底以强为尊，所以花魁在地底指的是力量最强大之人。穿上它象征着得到最强者的认可，在旧都相当惹人注目。
2002	星尘披风套装	从外侧看平平无奇，但是内侧却有着点点星辰，非常神奇甚至中二感满满的披风！作为妖怪，被夜空包裹会有种奇妙的安心感。
2003	觉之眼	是觉妖怪读心眼的复制品，装饰在店里的话，可以看到每个客人的预算额度。
2004	仇返人形	虽然看起来可怕又不幸，但其实意外的能够保护拥有者，会替拥有者抵挡不幸。装饰在店里，可以抵挡一次中断Combo的失误。
2005	唱片「旧地狱」 ~ 其一	收录了旧地狱的营业之歌的唱片，一共三首，此为第一首。可以随时放在留声机里播放。
2006	唱片「旧地狱」 ~ 其二	收录了旧地狱的营业之歌的唱片，一共三首，此为第二首。可以随时放在留声机里播放。
2007	唱片「旧地狱」 ~ 其三	收录了旧地狱的营业之歌的唱片，一共三首，此为第三首。可以随时放在留声机里播放。
2008	唱片「地灵殿」 ~ 其一	收录了地灵殿的营业之歌的唱片，一共三首，此为第一首。可以随时放在留声机里播放。
2009	唱片「地灵殿」 ~ 其二	收录了地灵殿的营业之歌的唱片，一共三首，此为第二首。可以随时放在留声机里播放。
2010	唱片「地灵殿」 ~ 其三	收录了地灵殿的营业之歌的唱片，一共三首，此为第三首。可以随时放在留声机里播放。
2011	唱片「怪诞料理大赛」~ 其一	收录了怪诞料理大赛背景音乐的唱片，一共三首，此为第一首。可以随时放在留声机里播放。
2012	唱片「怪诞料理大赛」~ 其二	收录了怪诞料理大赛背景音乐的唱片，一共三首，此为第二首。可以随时放在留声机里播放。
2013	唱片「怪诞料理大赛」~ 其三	收录了怪诞料理大赛背景音乐的唱片，一共三首，此为第三首。可以随时放在留声机里播放。
2014	黑谷山女的推荐函	怪诞料理挑战赛的推荐函，编号06040807，推荐人一栏写着“黑谷山女”。
2015	水桥帕露西的推荐函	怪诞料理挑战赛的推荐函，编号02140410，推荐人一栏写着“水桥帕露西”。
2016	星熊勇仪的推荐函	怪诞料理挑战赛的推荐函，编号01080727，推荐人一栏写着“星熊勇仪”。
2017	古明地觉的推荐函	怪诞料理挑战赛的推荐函，编号03101010，推荐人一栏写着“古明地觉”。
2018	火焰猫燐的推荐函	怪诞料理挑战赛的推荐函，编号02220015，推荐人一栏写着“火焰猫燐”。
2019	灵乌路空的推荐函	怪诞料理挑战赛的推荐函，编号10260009，推荐人一栏写着“灵乌路空”。
