ID	Content
0	自从你在地底开店以来，觉大人的胃口好像越来越好了。
1	真的吗？那真是太好了。
2	嘿嘿。让你来这里开店真是个明确的选择。感觉多多少少能报答一点觉大人的恩情了！
3	说起来，你还没说过，你是怎么被觉小姐收养的呢。
4	这个啊——
5	觉大人是在死人堆里把咱捡回家的。
6	诶……诶诶！？
7	你知道为什么会有火车这种猫妖吗？
8	为什么？
9	因为摄食的种类不同，猫妖也是有各种各样的。
10	一般来说，吃过人的猫就会变成猫又。不过你认识的那只式神猫又可能不太一样，毕竟她的力量来自于她的主人嘛。
11	而火车，几乎无一例外，都是由那种吃了尸体的猫演变而成的。
12	……你刚刚说觉小姐是在死人堆里捡到你的，该不会你当时正在吃尸体吧？
13	看到那样的画面，真亏觉大人还能把咱捡回去呢~
14	为什么要吃尸体啊？又臭又硬的，就算是妖怪也不爱吃啊。
15	一只饿得发晕的小猫可没有资格挑三拣四。
16	怎么会沦落到这种地步啊……
17	咱在成为火车之前，是被人类视为不祥的黑猫。只要出现在人类的视线里，就会遭到严厉的驱逐。
18	“凶兆的黑猫”的传说吗……
19	所以咱想活下去，只能往没有人烟的地方去。可是这样的地方是没有食物的。就在咱快撑不下去的时候，咱流浪到了一个乱葬岗……
20	……
21	咱当时已经饿得两眼发昏，生死一线的时候，好像听到一个声音跟我说——
22	“不要放弃啊，小猫咪。我们已经没有机会了，但是你还可以努力活着。活着就会有希望——”
23	这是！？
24	那大概是我第一次听到灵的声音。我不知道哪里涌出了力量，捡到什么就疯狂地啃……靠这种方式活了下来。
25	没想到你以前过得那么艰难……
26	还好啦？毕竟没多久咱就遇到了觉大人。
27	之后的事情是怎么样的？
28	那时候的咱，虽然勉强有了活下去的力量，但是却没有活下去的希望。
29	初次见到觉大人，她只是远远地看了咱一眼就走了。乱葬岗上的凶兆的黑猫，多可怕啊——咱以为她肯定是被吓跑了。没想到过了一会儿，她又来了。
30	她一定是来让你跟她走的，对吗！？
31	不。她只是给咱做了一盘猫饭。
32	……
33	但那真是咱吃过的最好吃的东西。所以咱就赖上她了。嘿嘿。
34	噗呲！你还真不见外啊哈哈哈。
35	觉大人能读懂咱的内心。终于能够被理解了啊——
36	你一定无法想象，这对当时的咱来说是多大的救赎。觉大人带来的不仅是一盘猫饭，她带来了希望。
37	虽然比较坎坷，不过都过去了嘛。阿燐你现在很幸福哦！
38	是啊！过去的不幸也是必要的，这样的命运安排是为了让咱能够遇到觉大人。所以咱一点也不难过呐。
39	这样想也不错呢~
40	咱希望今后能够一直留在觉大人身边报答她的恩情。不过在这之前，也得报答一下你的恩情呢。
41	我？
42	觉大人的胃口越来越好，这都是你的功劳呀。怪诞料理赛的推荐函也是时候该给你了，以后也得多多照顾觉大人的胃哦！
43	太好了！谢谢你把推荐函留给我！作为交换——
44	喵？
45	我之后会在地上开一场盛大的演唱会，特意给你准备了vip票哦！欢迎你到时候来玩！
46	哎呀！咱给你邀请函，是因为你按照约定治好了觉大人的厌食症，怎么能再次交换呢……
47	没关系啦~
48	不成！咱不能占你便宜。既然是交换，那咱也得回馈你点什么才行呐。有什么是咱可以为你做的，请尽管说！
49	哈哈，既然这样，那我就不客气啦。你这么熟悉这片区域，如果能帮我收集食材的话，那就帮大忙了！
50	小事一桩！这样咱就可以心安理得地去你的演唱会啦！
51	嘿嘿！静候你的光临！
