ID	Content
0	帕露西小姐，您一直都在这座桥上吗？
1	毕竟我是桥姬啊。
2	啊！就是那个传说中因爱而生妒的妖怪吗？
3	这世上的桥姬可不少，别随便听了个传说就对号入座啦。
4	抱歉……
5	话说起来，关于桥姬的传说确实不少呢。
6	都是些无聊的传说。居然说我们因爱生妒……再不然就是什么痴等爱人……
7	哈哈，这些故事都很有人类的感觉呢。
8	作为妖怪的您，却有着人类的性格。嫉妒……是一种什么感觉？
9	从未体会过嫉妒的感情吗？真是让人嫉妒啊——
10	我还蛮想体验一下的~
11	大概就是内心胀满了又辣又酸的感觉吧。
12	……又辣又酸？
13	你不是开食堂嘛，自己拿点食材尝一尝就好了。
14	说起来，我的店里似乎没什么带酸味的食材……
15	哈！？不会吧？——
16	唔……
17	喏，看到那棵柠檬树吗？
18	无法照耀到阳光的地底，居然独独生长了一棵柠檬树——
19	因为那棵柠檬树，是我用妖力浇灌的。
20	为什么要这样做呀？
21	当然是为了让大家也尝到心酸的感觉！
22	……
23	柠檬的酸性很强，你的食堂需要增加调味的话，可以把它利用起来。
24	真的吗？柠檬作为调味既健康又能去腥，确实是个很棒的选择！
25	……
26	等等！不……还是不行！这么兴高采烈的你实在是让人嫉妒了！
27	……这样吧，我给您带点地上的水果作为交换好吗？
28	对于出尔反尔的我还能这么温柔，这份宽容也很让人嫉妒！但是……地上的水果确实也想尝尝……
29	就、就这样说定啦！我马上去准备！
30	怎么样！？很香甜吧？
31	能够品尝到各种水果的地上，真是让人嫉妒啊。不过——
32	这种东西就算生长在地底，也不会有人想吃。
33	诶！？为什么啊？
34	这种香甜的口感实在太懦弱了。在习惯追求刺激的地底是不会受欢迎的。
35	居然是这种原因……
36	如果你想让地底的妖怪爱上水果料理，就要进行一些地底专属的改造。
37	请教教我！
38	之前不是在说调味料的事情吗？索性试试用调味料来改善水果的甜味？
39	调味料吗？应该用什么比较好呢——
40	辣
41	辣确实能够带来刺激，不过这种刺激在地底已经烂大街了。
42	咸
43	甜
44	甜腻腻的水果还要再加甜？腻歪死了！
45	酸
46	我倒是很喜欢吃酸的……所以我只要吃柠檬不就可以了吗？
47	是眼泪的味道呢。有意思！
48	真的要在水果增加咸味吗？感觉好奇怪啊……
49	在美好之物留下眼泪的味道，听起来就很阴郁。说不定还能在“怪诞料理活动”里拿到名次——
50	我已经嫉妒不止了！
51	……那我姑且试试吧…………
