ID	Content
0	打扰了！觉小姐——
1	出去。
2	觉小姐……
3	我拒绝。
4	您就听我说几句嘛。我不是成心来打扰您工作的，我是——
5	受阿燐的嘱托，要帮助我恢复食欲，所以想对我喜欢的口味进行调查——
6	你心里想的，我全都听到了。
7	既然您都知道，为什么还让我走呀？
8	因为这实际上就是在打扰我工作。
9	光工作不吃饭，聪明妖怪也变傻！
10	用不着你来担心。何况我也没有不吃饭。
11	吃饭对您来说就像是工作的一环，怀着这样的心情去吃饭会消化不良的！
12	……无稽之谈。
13	才不是乌鸡之谈！是来自夜雀的经验之谈哦！
14	哈啊——我已经很累了，眼下还有几份文件要处理，实在是没有精力配合你胡闹。
15	是啊，您都哈欠连连了……要不先别做了，去休息一下吧？
16	我不去做，工作就会消失吗？我没有完成的工作会有别的宠物替我完成。逃避只不过是把自己的责任转嫁到宠物身上罢了。
17	您还真是个疼爱宠物的好主人啊。难怪阿燐会这么担心您。
18	我知道她担心我。所以对于她擅作主张邀请你到这里开店的事情，我也只好睁一只眼闭一只眼。
19	哈啊——但这不代表我愿意接受你们的折腾。
20	您又打哈欠了……真的没问题吗？
21	没问题……
22	……
23	……如果你真的想帮我，不如去帮我找些提神的东西吧。
24	您这是在燃烧自己的生命啊。
25	要是能一鼓作气把工作完成，我就能得到休息的时间了。或许还能腾出点时间配合你的工作。
26	……那好吧。我这就去给您准备！请您稍等我一下！
27	觉小姐，您还好吗？
28	谢谢你带来的提神饮料。好不容易打起了精神，我要一鼓作气把工作全部做完！
29	好、好的……
30	呼——
31	做完了吗？
32	嗯。姑且把今天的工作完成了。
33	辛苦了！
34	……你一直等在这里，就是为了问出我的口味偏好吗？
35	对呀。毕竟我答应了阿燐嘛。
36	……
37	……在旧地狱还没有这么忙碌以前，我喜欢一边欣赏地底的石樱，一边享用樱花布丁。
38	樱花布丁？
39	嗯……如果你非要给我做点什么才罢休的话，不如做樱花布丁吧。我也好久没尝过了。
40	不错呀！甜品还可以缓解疲劳呢。我就来做做看吧！
41	不过是觉小姐享用的布丁的话，要进行一点点“原创”才好呢。
