ID	Context
0	这边好热啊——
1	因为我刚刚把下面的天窗打开，一会儿关上就好了！
2	为什么要把天窗打开啊……这下面是灼热地狱吧？
3	这就是我的工作啊。我负责看守灼热地狱遗址，不让它失控。
4	看不出你还身居要职呢……所以为什么要把天窗打开？
5	为了调节火力嘛。发现火焰变旺了就打开中庭的天窗，火力不足了就将燐送来的尸体扔进去。
6	……真是简单粗暴的办法啊。
7	觉大人说了，适合我的办法越简单越好！
8	因为你是鸟脑袋吗？
9	没错没错！你也是鸟脑袋呢，真好！
10	……难道你是在夸奖我吗？
11	当然是夸奖呀。鸟脑袋不好吗？
12	就是因为鸟脑袋容量小，所以咱才常常被说是笨蛋啊。
13	可是觉大人说我很可爱啊。她可喜欢摸我的脑袋了。我也经常会给觉大人整理头发，她的头发软软的，摸起来很舒服！
14	你们关系真好啊。
15	因为觉大人对我们宠物都很好啊——
16	像我们地狱鸦，在地底还是地狱的时候，就已经住在这里了。后来这片土地被舍弃，成了一片废墟，是觉大人把这座宫殿让给我们住，我们才有安身之所。
17	觉小姐真温柔啊。能遇到这样的主人真幸运！
18	是的是的！觉大人是世界上最棒的主人了。她以前有空的时候，还会给我们做料理呢！觉大人做的料理是让人无法拒绝的！
19	诶——那是什么料理啊？
20	是鸡蛋饼哦！我的最爱！
21	鸡蛋饼也没啥特别的嘛……
22	觉大人做的可不是一般的鸡蛋饼！该怎么说呢——
23	那个里头有一种咸咸的味道，好像还有种奶香味来着！
24	奶香味？
25	那时候的觉大人身上也常常有这种味道。但是现在已经很久没从觉大人身上闻到了。到底是什么呢——想不起来了。
26	唔，我想应该是——
27	柠檬
28	不对不对，柠檬怎么会是咸的啊？
29	牛奶
30	不对不对，牛奶怎么会是咸的啊？
31	芝士
32	蜂蜜
33	不对不对，蜂蜜怎么会是咸的啊？
34	芝士？
35	觉小姐不是还有一间芝士房吗？听说她以前喜欢亲手制作芝士，最近这段时间比较忙，就把芝士房交给宠物来打理了。
36	你这么一说，好像确实是有这么回事……
37	同样是鸟脑袋，为什么你的鸟脑袋比我的好用啊？
38	……可能是因为我总在记菜谱，所以记性变好了吧？
39	原来如此！只要多多练习，就能记住东西……我能拜托你一件事吗？
40	什么呀？
41	你可以给我做一次这道料理吗？觉大人已经很久没做了，我怕我会忘记那个味道……
42	没问题啊！这点小愿望，就让我来满足你吧！
