ID	Content
0	我还是想不通，为什么那个“来自地上的使者”要特意给你带来这么强大的力量？她到底是谁啊？
1	我后来听阿燐说，那个使者好像是地上的山神。
2	山神？该不会是守矢神社那个……
3	这我就不太清楚了。
4	她之后没有再找过你吗？
5	到底有没有呢……我也不记得了。总之不久后，间歇泉管理中心就建成了，里面还有个核熔炉……
6	顺便一说，因为核熔炉的温度太高，只有体内寄宿着八咫乌的我能够接近，所以也是我在看守。
7	啊！该不会就是为了让你去看管核熔炉，才让你拥有能够控制核能的能力吧？
8	不是不是。那个山神说，我能给世间带来希望来着。我拿的可是勇者的剧本哦，才不是啥看炉子的呢。
9	……
10	说起来，我当时是怎么从救世者变成灭世者的呢……
11	灭、灭世者！？
12	我得到力量以后幻想了很多事情，其中一件事就是把地上也变成灼热地狱。这样不就可以把地上也一并统治了嘛！
13	……你都做了啥啊！？？
14	我还什么都没做呢！就被巫女揍了一顿，把我的一腔热血都给浇灭了。
15	你要是什么都没做，灵梦小姐干嘛特地跑到地底来揍你啊？一般来说，不是火烧眉毛她是不会动的。
16	是怎么回事来着……好像是因为我一使用能力，间歇泉就喷发。她们一路调查温泉，结果就调查到灼热地狱遗址来了。
17	啊！我有点印象了。地上刚刚涌出温泉的时候，好像还涌出了很多怨灵来着！
18	那段时间地上的妖怪都不太敢出门。作为妖怪要是被怨灵附体就糟了啊。我也当了好几天家里蹲。
19	对对！就是怨灵！她们说这是阿燐干的，这怎么可能嘛！
20	诶？跟阿燐有什么关系？
21	当然没关系啊！阿燐她光明磊落、表里如一，不是那种会耍阴谋的猫。
22	唔……
23	干嘛？难道你也怀疑是阿燐干的？
24	我只是觉得……灵梦小姐不会随便攀咬犯人。不过我相信，就算真的是阿燐做的，她也肯定有这样做的理由！
25	没有理由啊。从结果来看，就只有我被教训了而已。好不容易得到这么强大的力量，却被警惕了起来。别说支配地上，我现在就连往地上冒个头都有种被哪里的视线盯着的感觉呢！
26	唔……难道这就是阿燐的目的？
27	什么意思？
28	为了阻止好友做傻事什么的。
29	我又没有做傻事。
30	用神之火统治地上的想法就很离谱啊！
31	我原本是来邀请你之后到我的演唱会玩，没想到你还有这样的心眼……我都不敢邀请你到地上来了。
32	别啊别啊！我也想去演唱会！
33	你太危险啦！我可不想让我的演唱会遭遇核爆。
34	我会控制住力量的！自打那以后，我被觉大人批评了一顿，已经很久没有再使用那个能力了！你邀请我嘛~
35	唔……
36	让我去嘛！我还从来没有去演唱会玩过呢——
41	就算你这么说……
42	对了！我把那个怪诞料理挑战赛的推荐函给你吧！
43	真的吗！？
44	其实我早就想给你了，一直不记得放在哪里，还是昨天才无意中在披风里找到的……就把它和这个披风一起送给你吧！
45	太好了！谢谢你！
46	那地上的演唱会……
37	……那你得保证不能使用你的力量哦！
38	没问题！一定控制得好好的！
39	……好吧！我其实也希望你到时候可以和我一起分享我的快乐！虽然现在说还有点早——那就谢谢你的光临啦！
40	好耶！到时候见——
