ID	Content
0	山女小姐，您昨晚是不是去了地上？
1	啊，你看到了吗——
2	您不是说不会到地上去吗？
3	村子是不会去的，地上偶尔还是会去啦。在夜深人静的时候。
4	就算是夜深人静的时候，要是遇到人类还是很危险吧？万一那个人类把传染病带回到村子里……
5	虽然这么说，但我也不会随便让别人染上疾病啦。
6	诶！？不是碰到您的人都会染上疾病吗？
7	那只是站在人类的角度来说。因为我们拥有操纵疾病的能力，光是这个能力就让人类非常厌恶了，根本不会理会我们会怎么使用这个能力。
8	那不是很冤枉吗？为什么不向大家解释呢……
9	有什么区别呢？就算我们不会随便让别人染上疾病，但拥有这种能力的我们，即使什么都不做，也改变不了人类对我们的偏见。
10	像这样的妖怪地底还有很多。我们被厌恶的原因并不一定是做了什么，而是我们的存在本身就是让人厌恶的。
11	怎、怎么能这样——
12	没关系啦。之前不是说过嘛，我们如今的生活非常幸福，地上怎么看待我们也都无所谓了。
13	如果真是这样，那您为什么还会去地上呢……
14	因为有必须到地上才能找到的东西啦。
15	找东西？
22	你来地底也有一段时间了，应该有留意到大家都很喜欢玩“斗虫”的游戏吧？
23	嗯？好像是吧。这类游戏不仅地底，在地上也挺流行的。
24	在昆虫之中，能在格斗上称王的莫过于兜壳甲虫。它的力量无论地上还是地下，都无虫能出其右。
25	没想到您也是斗虫玩家呢。蜘蛛的话，在这方面应该很有技巧吧……不过，这跟您到地上去有什么关系呢？
26	兜壳甲虫是一种只会在深夜出现在树上的昆虫，地底很难寻到它们的踪迹，所以只能到地上去找了……
27	噗呲——没想到居然是因为这个原因——
28	山女小姐喜欢的东西还真是稀奇古怪啊。
29	兜壳甲虫实在是太有魅力了！就算知道自己在地上不受欢迎，我也按捺不住想要捕获兜壳甲虫的心情……幸好它们只在深夜出现，这样我就可以尽量避开人类了。
30	居然那么喜欢吗？
31	超喜欢哦！在地底——尤其是在我们这些喜欢斗虫游戏的玩家心里，它就是力量的象征。
32	力量的象征啊……地底对力量的追崇还真是狂热啊，就连力量涌现的料理在地底也特别受欢迎呢。
33	你还真是什么都能扯到做饭上呀。不过，什么是力量涌现的料理啊？
34	您没有尝过吗？下次见面的时候，我给您做几份尝尝吧！
35	趁这个机会，我想再开发一些新菜式，到时候还麻烦您给点意见哦~
36	没问题！我很期待呢。
37	原来这就是力量涌现的感觉啊，难怪会受地底妖怪的欢迎呢！
38	是吧？我想……地底既然崇尚力量，那我就做一个超级力量涌现的料理来满足大家吧！
39	超级力量涌现？
40	没错，这还是您给我带来的灵感哦~
41	那究竟是……
42	嘿嘿。现在先允许我卖个关子吧！绝对会让您感到出乎意料又理所当然哦！
43	听起来很有趣。那我就拭目以待了！
