ID	Content
0	勇仪小姐，您手中的酒器好特别啊。
1	你这小家伙眼光不错。这可是鬼之秘宝——星熊杯。
2	鬼之秘宝……
3	它能把注进里头的酒的品级上升，是地上不可多见的鬼的名品哟。
4	地底曾经有个和我非常合得来的酒友，她拥有取之不尽的酒器，与我的星熊杯可谓是天作之合。
5	只可惜……
6	唔，我在地上也见到过这种不可思议的酒器。
7	不可能。哪怕在鬼之中，这种酒器也不是谁都能拥有的。只有被称为鬼之四天王的我们几人才能持有，你怎么可能见过——
8	我真的见过！那是一个能足足容纳一升酒的枡，据说将倒入其中的酒喝掉可以治愈伤痛。
9	你、你说的是……
10	这个酒器的主人是一个责任心非常强的仙人哦。
11	仙人！？怎么会是仙人……
12	您住在地底，不认识她也很正常。不过，还有一位我想您应该是认识的！
13	还有！？……数百年不见，地上已经如此卧虎藏龙了吗……
14	嘿嘿。这位也是鬼啦。她拥有的是可以源源不断地产出酒的葫芦哦。
15	哦？你见过萃香了啊。
16	您果然认识呢！您刚刚说的酒友，就是萃香小姐吧？
17	正是。自她到地上之日起，我们已经许久不见了。
18	您可以去找她呀。她几乎都在博丽神社赖着呢。
19	呵呵。我就不必去了……
20	为什么？
21	前尘往事，不提也罢。
22	……
23	（是我的错觉吗？勇仪小姐心情似乎变得不太好……）
24	知晓我杯中是何等美酒之后，不想尝尝吗？
25	诶！？那、那就稍微尝尝吧……
26	“稍微”？在鬼的字典里，可没有这几个字。
27	我怎么能和鬼相提并论嘛！鬼的酒杯可是比我店里最大的碗还要大呢！
28	哈哈哈，毕竟是小麻雀的店呐——
29	就、就算是小麻雀，不也做出了像“巨人玉子烧”那样豪迈的料理嘛！
30	怎么？区区“巨人玉子烧”居然让你骄傲了这么久么？
31	我、我——
32	不多拿出点和鬼的气派相衬的料理，很快就会让众鬼生厌了哦。
33	小瞧我了是不是？我也做过很多传说中的料理哦！
34	是吗~
35	我可没有说谎！下次来拜访您的时候，我带过来给您尝尝！
36	那我就等着看你这个小麻雀究竟有多大本事了哈！
37	久等了！我这回可是铆足劲做了一桌料理哦！
38	还真是丰盛啊。
39	怎么样！小小的夜雀屋也有大大的惊喜哦！
40	居然说是惊喜呢~
41	难、难道这些都还不合您的心意吗……
42	这些自然都是难得一觅的美味。但要说惊喜的话——
43	很遗憾，这些料理确实没有让我感到眼前一亮呐。
44	怎么这样……是气概不足吗？……
45	鬼的气概……怎样才能把鬼的气概具现化、做到料理里呢……
46	哦？你这想法倒是让我有些惊喜。
47	鬼的气概……鬼的气概……
48	呵呵，已经沉浸在自己的世界里了啊。
49	就这么一边在心中想象着鬼，一边制作出气冲霄汉的料理或许也不错——
50	一边想象着鬼一边制作料理？……我、我好像有点头绪了！
51	是吗？
52	这次，我一定会做出能与鬼的气概相比拟的最最最气派的料理！
53	哈哈哈！那我就拭目以待了。
