ID	Content
0	……来客吗？真罕见。
1	您好，我是——
2	就算你不说我也知道……是来自地上的妖怪啊。难怪会闯进来，真是不知者不畏。
3	那个——
4	……在报纸上看到地底正在举办怪诞料理挑战赛的活动，所以跑到地底来凑热闹？这好奇心也太强了吧？
5	……哦，原来是一位厨娘。难怪……你在想，我是怎么知道的？
6	您、您怎么知道！？
7	忘记自我介绍了——
8	我是觉，这幢地灵殿的主人。
9	你的心中所想在我的第三只眼睛下，是绝对无所遁形的……米斯蒂娅小姐。
10	是能够读心的觉妖怪？我还以为那是传说中的妖怪呢……
11	妖怪不本来就是从传说诞生的生物吗？
12	说、说的也是……
13	……唔…………
14	……惊讶于我的力量，所以不敢开口说话吗？
15	……这您也知道…………
16	我的第三只眼，即使你不愿意，也会将你的心中所想告诉我。在我面前你什么事都隐瞒不了哟。
17	哦……
18	……
19	……
20	……我居然无法读出你此刻的想法。我的能力不可能出现纰漏。也就是说——
21	也就是说？
22	你此刻确实什么都没在想。能把大脑完全放空的人，要么是圣人，要么是笨蛋。
23	诶——那我——
24	……圣人和笨蛋，你居然会认为自己更靠近圣人？还真是个彻头彻尾的笨蛋啊。
25	我又没这么说……
26	比起嘴上说的话，内心的话语更加诚实呢。好了——
27	我已经充分了解到你是个无害的地上来客，没必要继续试探了。我还有很多工作，请你到别处逛去吧。
28	那我就不打扰您了……
29	????::觉大人——
30	……已经到吃饭时间了？工作堆积如山，还要抽时间来吃饭，真是让人提不起劲啊。
31	再怎么忙也要按时吃饭啦，这样——
32	不必说了。你心里想的我都明白。就算是勉强自己，我也会去吃的。
33	唉。早去早回吧——
34	觉大人……
35	觉小姐是不是有些厌食啊？
36	你是？
37	我叫米斯蒂娅，是一个厨娘哦！
38	厨娘？你是夜雀妖怪吧？……难不成你就是那个夜雀食堂的……
39	诶！您居然知道夜雀食堂吗？
40	因为工作的关系，咱经常到村子去，所以对地上的事情很了解。你的店无论在妖怪还是在人类之间都极受好评呢。
41	嘿嘿。大家真的都这样说嘛~
42	当然是真的咯。你怎么跑到地底来了？
43	我在新闻上看到地底正在举办怪诞料理挑战赛，因为很感兴趣，所以就来看看。
44	原来是被这个活动吸引了啊……虽然我们是主办方，但这个活动还是第一届举办，所以我们也还在摸着石头过河呢。
45	诶！？这个活动是你们举办的吗？
46	严格来说，是旧地狱和新地狱联手举办的。类似新旧地狱文化交流活动那样的东西。
47	文化交流？交流怪诞料理吗……
48	只是觉得这个噱头或许能吸引更多妖怪来参加而已。
49	比如我这样的……
50	你想参加怪诞料理挑战赛吗？
51	我可以吗？
66	虽然原则上是谁都可以参加，但要是参赛者人数太多我们也不好办呐……所以我们给地底住民派发了推荐函，无论是谁，只要集齐6张推荐函，就可以参加挑战赛。
67	原来如此。需要先得到6张推荐函……感觉不太容易呢……
68	这有啥难的，只要你和地底住民打好关系不就好了嘛。别忘了，咱也是地底住民哦——
69	你是说……你愿意给我推荐函吗！？
52	只要你愿意帮咱一个忙，这些都好说——
53	……你想让我做什么？
54	不要那么警惕地看着咱嘛。对你来说也是举手之劳而已——
55	这段时间，不知道为什么，地狱的亢奋程度达到了前所未有的境地。无论是妖怪还是怨灵，都仿佛有使不完的劲。
56	可是管理旧地狱的地灵殿之主、觉大人可没有三头六臂啊！她本来身体就虚弱，这样日以继夜地处理公事，已经快连饭也吃不下了。
57	这怎么行啊！？
58	就是说啊。在咱为这件事头疼不已的时候，你突然出现在咱面前——
59	简直就是命运的指引！
60	……
61	要是你能在地灵殿外开分店，不仅可以给殿里的宠物们准备食物，提高宠物们的工作效率；或许凭借你的厨艺，还能治好觉大人的厌食症！
62	唔，我倒是无所谓，但是真的做得到吗……
63	反正你只要做饭就可以了，其他都包在咱身上。但凡有机会治好觉大人的厌食症，再不靠谱也值得一试！
64	既然你都说到这个地步了……那我就尽力试试吧！
65	太好了！分店的相关事宜咱会尽快办妥，希望你不会辜负咱的期望！
