ID	Context
0	哇——
1	没想到阴冷的风穴尽头，居然是这么繁华热闹的地方——
2	不过！这满大街的鬼是怎么回事啊！？原来从幻想乡消失的鬼都到地底世界来了吗？好可怕！是不是现在回去比较好啊……
3	但是，鸦天狗的新闻说得没错。确实到处都挂着怪诞料理挑战赛的旗帜……怪诞料理究竟是什么……
4	要是能在这边开店的话，一定就能弄明白吧……
5	等等等等！我在想什么啊！？这里可是鬼的地盘诶！我、我还是回去比较好吧……
6	????::干什么回去？这想法不是很有趣吗？
7	啊！您、您是……旧地狱的鬼……
8	听说随着幽冥结界的减弱，地上与地下之前签订的互不侵犯条约也渐渐放松了——
9	连你这样的小妖怪都跑到地底来玩，看来传闻是真的啊。
10	我、我可以来玩吗？
11	旧都来者不拒。但你若是一直这幅畏畏缩缩的样子，当心惹众鬼不高兴呐。
12	呜哇——为什么啊！？鬼果然好可怕——
13	因为鬼都喜欢力气大、有勇气以及正直的人们，相反饶不过那些懦弱的、胆小的、狡猾的人们。
14	我明白了。只、只要我鼓起勇气，就可以留在这里。是这个意思吗？
15	当然，拥有与勇气相匹配的实力也很重要。在地底，只有强大的实力是前路的通行证。
16	实力……如果我想在这里开食堂的话，这个实力就是指我的厨艺吗？
17	跑到地底开食堂？你是怎么冒出这种异想天开的想法？
18	我在报纸上看到地底正在举办怪诞料理挑战赛，实在是很好奇，但是完全没有头绪，所以想留下来进一步了解……
19	原来是被这个活动吸引来的。呵呵，居然为了这种原因，你这个地上的小妖怪就敢跑到众鬼的栖息之地开食堂——
20	不是、我还没——
21	很好！我十分认可你的勇气！马上把食堂开起来吧！
22	……
23	怎么？你该不会是随便说说吧？欺骗鬼的下场可是很恐怖的哦。
24	不是啦！只是开店不是您想象中那么容易的事，得租场地、还有搭建等等——
25	是你把事情想得太难办了吧？你说的这些，去拜托土蜘蛛就好了。
26	诶！？
27	土蜘蛛擅长土木建筑，而且风穴那边有大片闲置的土地，去找她们碰碰运气吧。或许你的问题就都解决了。
28	那、那我马上去试试！谢谢您的建议！
29	哈哈哈。希望早日看到你的食堂落成——继续喝酒去咯——
30	真是个性格爽朗的鬼啊。这么看来，鬼似乎也没有那么可怕嘛！
