ID	Content
0	土蜘蛛们对地上的妖怪似乎不太热情啊，看来这条路是没希望了……
1	????::怎么了？你遇到什么困难了吗？
2	啊！您好！
3	如果是迷路的话，我可以带你离开哦。
4	不、不是的——
5	那个——因为某些原因，我想在地底开一间食堂，听说风穴这里有闲置的土地，不知道能不能获得使用的许可……
6	没问题啊！你随便用吧！
7	诶！？真的吗？
8	真的啊！不过，只有空地是不够的吧？我顺便帮你把店建起来好了！
9	顺、顺便！？
10	你的店是夜雀食堂吧？这个工程对我们来说已经轻车驾熟了。
11	这是什么意思……
12	啊！我想起来了！橙好像有说过，夜雀食堂的施工是委托土蜘蛛来完成的，难道……
13	没错。那个是八云集团的委托。
14	多亏了她们，我们才能接到这样的工作。
15	你们很擅长建筑吧？拥有一夜之间平地起高楼的技术，去哪儿都能接到工作啦。
16	你不了解地底的情况……慢慢你会明白，地底的住民都是些被厌恶的妖怪。
17	唔……
18	从前只靠我们自己的人脉，想要在地上找活很困难。要是一不小心被人类碰到，还有可能引起恐慌，给地底带来一系列麻烦。
19	八云不仅给土蜘蛛介绍工作，似乎也在私底下给予其他地底妖怪帮助。不过知道这些事的妖怪并不多。
20	我还以为她们只是放贷集团，没想到还做这种事呢。
21	放贷？据我所知，她们一直用自己的方法在暗地里刺激经济、保护弱势妖怪，以有利于幻想乡为第一原则在行动，才保持了地上与地下的相对和平。
22	以寸草不生的地底来说，能有如今的繁华和富饶，或许要感谢她们也说不定。
23	原来八云集团是这么了不起的存在呀。看着橙的样子，完全想象不出来……
24	总而言之，修建夜雀食堂对我们来说已经很熟练了，这件事就请交给我吧！
25	可是……我身上还背负着债务，一时间还拿不出能够付给你们的佣金……
26	没关系没关系！难得地上的妖怪来建设地底，我们出点力也是应该的！让我们一起把这里变得更热闹吧！
27	这个、等等……
28	怎么啦？这个提议不合你的心意吗？
29	当然不是！应该说——我这运气也太好了——
30	我该不会是在做梦吧……
31	哈哈。那你等着吧。店铺的事情交给我，明天就让你梦想成真~
32	呜哇——！那、那就拜托您了！真的太感谢了！！！
