ID	Content
0	第二阶段也顺利撑下来了！接下来就是最后的环节了！
1	每天都认真对待料理的我一定可以的！
2	哦呀哦呀——又有几个料理人被踢出赛场了啊——
3	虽然侥幸撑过了第一环节，但终究因为没有过硬的实力漏气了嘛。
4	但是——还能站在这里的，毫无疑问，是料理界真正的强者们——
5	没错！旧地狱就是——真材实料的人可以横行无阻的世界！请允许我向你们致以敬意！
6	观众::哈哈哈哈！——
7	观众::胜者为王！胜者为王！胜者为王！
8	那么让人最期待、最血脉贲张的最终环节也要来了——
9	接下来，我们的特别评委，传说中最怪诞的妖怪——古明地恋小姐，将亲自成为各位参赛者的客人！
10	下面由我来当你们的对手！
11	说到节日、庆典、就一定要提到那个——字谜！对吧！？
12	恋恋小姐会将她的喜好命题藏在使魔当中！用料理击破它们，就可以获得字谜的信息啦！
13	如果你通过已经获取的字谜确定了我需要的料理，就做出来给我吃吧！
14	只要提供正确的料理！就可以破除恋恋小姐构筑的屏障！
15	能不能把握好这个机会，就看各位的手速了！这个时候只要疯狂地给她塞料理得分就好啦！
16	可不要让我等太久哦！我的使魔会分别盯上一件你最重要的东西！
17	随着耐心的降低，它们会被藏起来哦……！
18	藏、藏起来……！？
19	但是满足我的话就会还给你的！放心啦！
20	不过如果真的感到大脑过载的话，别忘了是可以呼吸的！而且随时打开UI就可以时停！
21	去喝点饮料甚至泡个澡平静平静，回来再战也毫不影响进度啦！
22	这句话是在对谁说啊……让人一头雾水……
23	这就是怪诞妖怪的魅力！完全乱来的规则！让你受尽折磨，让观众热血沸腾！——
24	你们——准备好了吗——！？
25	观众::要来了要来了！恋恋小姐戏耍别人的戏码——
26	观众::怪诞料理赛，这才是最大的看点啊——！
27	我……我真的可以吗……
28	在怪诞和未知中寻找胜利的方法，这就是怪诞料理赛最终环节的挑战——！
29	那么！目标是打败怪诞偶像古明地恋！那么——开——始——！！
