ID	Content
0	那么，大家欣赏了众多料理人的手艺……
1	最后一位进入决赛的选手，也终于尘埃落定！
2	我为大家隆重介绍，最后一名进入决赛的选手是——
3	在兽道开着普通的烧烤店，却无所不用其极赚的盆满钵满的黑心妖怪老板娘——
4	米斯蒂娅·萝蕾拉小姐——————！
5	观众::哇——新面孔！黑心老板娘好耶！！
6	观众::明明是地上来的，却很有地狱风格的黑心店啊！
7	黑心……什么的……怎么能给客人留下这样的印象啊……
8	观众::看好你哦！用你的铁腕制霸旧地狱吧！
9	旧地狱的居民都很豪放呢……
10	没有错！越是狂野和血腥，征服和铁腕，才是这个旧地狱的主题！
11	——而她，就是为了制霸而生的女人！
12	统一了地上料理界的她，在这滚烫的熔岩之上、在以豪放、怪诞为名的土地上，能否延续她的不败记录吗！
13	有什么人可以给她鬼棒般的迎头痛击吗！
14	露出丝毫的软弱都会被吃干抹净的地狱！站在这里都是为了制霸而生的人，期待你们的好成绩！！
15	阿燐真是很习惯这种气氛，我内心的狂气开关也要转换一下！
16	快想起来吧，不是作为笑脸迎往的烧烤店老板娘的我——
17	而是作为夜幕的捕食妖怪，带来狂气和恐惧的我！
18	哦哦——气氛燃起来了燃起来了！
19	那么接下来！有请我们旧地狱最最最怪诞的妖怪评委——
20	古明地恋——小姐登场！
21	古、古明地……？
22	观众::等的就是你呀！无敌的怪诞妖怪登场啦！！！！！！
23	观众::恋恋小姐我喜欢你啊！！！
24	大家——好————呀！
25	我是无人不喜无人不爱的怪诞妖怪——恋恋！
26	今天是谁呢？志愿来地灵殿门口担当装饰的妖怪——
27	是你吗——？还是你呢？！或者说——是今天的参赛选手？
28	观众::我——！！选我——！！
29	观众::恋恋小姐！看我！
30	她、她是……之前以为确实看到的妖怪！
31	呼呼呼呼，大家的热情，我都感受到了！
32	没错！这就是我们旧地狱怪诞偶像——古明地恋小姐！
33	行为无法判断、情绪无法判断、表情无法判断、说的话也无法判断。
34	她的想法，更是无法判断！
35	在这随性随心到极致的妖怪面前，几位料理人究竟是谁能够从她的手上拿到优胜呢！
36	就由我来决定啦！
37	对吧？
38	她、她向我眨了眨眼……是什么意思吗……
39	今天，人家作为怪诞料理大赛的评委，同时也是参赛者哦！
40	但——不是什么样的弱鸡都能做菜给我吃哦。想站在我面前，跨个刀山火海什么的，你们做得到吧？
41	是的！只有通过重重考验才能对上我们的恋恋小姐！那么马上介绍规则！
42	决赛的方式是个人厨艺展示！每个决赛人员在自己的厨房中进行挑战！
43	共分为3个主题！完成上一个主题后马上进行下一个！料理铁人马拉松模式！
44	连区区铁人赛都坚持不下来的战五渣渣，就离我的评选台远一点啦！
45	观众::没错！没错！
46	观众::渣渣就给我马上退赛！我们要看恋恋小姐！
47	在场的每一位观众，都可以参加进来，为食物和服务进行评分！
48	最后得分最高的，就是本场的优胜者！
49	没有2、3名哦，胜者只有1名，一将功成那什么来着？嘿嘿——
50	哪怕1分之差，胜者就是胜者，其余的都是败犬——
51	败犬好棒——！装饰在家里一定很好看！不愧是狂野的旧地狱的怪诞料理赛！
52	观众::好耶——！我已经等不及了——！
53	观众::虽然之前的那个厨师看起来很强！但是黑心老板娘也很帅啊！
54	黑心老板娘的名号已经拿不掉了吗……
55	即将开始的第一场是，盲猜怪诞料理赛！
56	旧地狱街道和地灵殿的一般客都可以参加，但是呢——
57	我会做一点小手脚，让他们封闭想法~
58	所以~大家是看不到他们的订单的。问也问不出哦!
59	没错！客人什么都不说的情况下，能够让客人“满意”吗？能够拿到他们的分数吗？！
60	只有“满意”评价才能拿到分，“一般”评价只能证明你是个庸厨呀！
61	啊——这难度听起来好高呀……
62	而且自带小聪明的厨具我也做了小调整，在这场比赛中没用哦！
63	无视客人意愿的锅子什么的，明明不想吃却还是不自觉的点了单的锅子什么的……
64	统统！无效！禁止！不可以！
65	王牌被封印了啊！——
66	不过……我已经熟记了每一个客人的喜好……
67	只是回归了初心而已……嗯，没问题……我的话一定没问题！
68	目标是拿到20个满意！各位参赛者请各就各位——比赛现在开始！
69	好！打起精神、加油吧！
