ID	Content
0	好多人啊，是在谈公事吗？
1	……觉大人都忙成什么样子了，你居然在屋顶优哉游哉地赏樱！
2	难怪这阵子一直没看到你，原来你一直都在偷懒！
3	误会啦，是误会啦——
4	才不是误会！我都跟宠物们打听过了！你就是一直在东晃晃西晃晃。阎魔大人派你来联合办公，可不是让你来度假的！
5	真的误会了——我对于工作有自己的步调，不理解的人很容易误会我在偷懒，但其实——
6	是不是误会我很清楚。你心里想的我都听到了——
7	“难得不用送幽灵渡河，要好好享受时光才行啊——”
8	是这么想的吧？
9	哎呀哎呀——
10	真没见过你这样的死神！好好地工作啊！别老是偷懒！
11	遵命！我现在马上就去工作——
12	等等——
13	“总而言之先溜了再说——”
14	……
15	真是懒惰成性。要是放任你逃之夭夭，是对所有努力工作的宠物们的不公。
16	觉大人，这个家伙已经没救了。报告阎魔大人，让阎魔大人自己去收拾她吧！
17	别——别啊——
18	我的上司生气起来很麻烦的呐。我保证，我之后绝对会好好工作——
19	要知道，在觉大人的能力面前，你是骗不了觉大人的——觉大人，她是真的做出觉悟了吗？
20	我能看见她的内心……确实是在畏惧阎魔的威严。那句话大概夹杂了三分真心的程度。
21	才三分——
22	别这样步步紧逼啊！死神的工作也需要喘口气啦！
23	……怎么还怨上我们了？还什么都没做呢！
24	虽然不是很明白发生了什么，看样子一时半会也说不完，还是下次再来找觉小姐吧——
25	米斯蒂娅，请你过来一下。
26	抱歉……我打扰到你们了吗？
27	没有。你来得正好——
28	这是那个夜宵店的老板娘吧？你的店口碑很好啊，我一直想去尝尝。可惜我从来不熬夜。要是能在白天营业就好了——
29	还真是个会养生的死神啊。
30	那是。做我们这一行的，比谁都知道生命的可贵哦~
31	那你就别浪费生命，好好做些有意义的事啊！
32	我那叫享受生命——
33	够了。
34	唔……
35	其实，我们这边已经不需要你了。
36	我就说嘛。就算没有我，你们也一样可以完成工作啦~
37	怎么会有脸皮这么厚的家伙啊！
38	但也不能这样放你回去——阎魔把你派遣过来时，已经预料到这种情况。
39	“我的手下因为欲望不足，所以没有工作的干劲。希望通过这次联合办公的机会锤炼一下她。”
40	（总感觉和某个巫女有点相似……）
41	所以，如果你不能改变工作态度，我是不会让你回去的。
42	诶诶！要一直留在这里吗！？
43	我说真的。别看我这个样子，如果我不在我家阎魔身边，她的行动会很艰难的咧。
44	……这不是谎言，确实是在担心着自己的上司呢。既然这样，就更应该改变工作心态才是。
45	是啦是啦，我会好好工作的——不过你不是说不需要我了嘛？
46	的确，我这里已经没有能委任你的工作。所以，你今后就去夜雀食堂当帮工吧。在那么多客人面前，即便你想偷懒也不可能实现。
47	诶——要熬夜啊——
48	死神还怕什么熬夜啊！不干的话，就告诉阎魔大人——
49	行行行——我干就是了——
50	那个……
51	我知道你不愿意。不过……
52	这段时间，你在地灵殿开店，没少“揩”地灵殿的油吧？我可都看在眼里。
53	诶！？你是说……
54	如果想继续在这里开店，就收留这个家伙吧。要做的事情还有很多，我实在没有功夫去考虑安置她的问题了。
55	我明白了……我把她带走就是了……
56	别这么不情愿嘛！以后就请多多指教啦，小鸟老板~
57	请、请多多指教……
58	米斯蒂娅，请尽可能对她严厉些吧。
59	诶……我尽力吧……
