ID	NAME	Description1	Description2	Description3
2000	黑谷山女	在黑暗的风穴遇到的亲切的指路人。因为知道自己惹人讨厌所以几乎不会到村里去，明明那么可爱……真希望地上的大家也能认识她呢！	山女小姐原来是类似地底偶像一样的存在呢！不愧是她。不过，与她那可爱的性格相对的是，她的爱好似乎异于常人……	虽然一直被误会乃至成为“被厌恶者”，山女小姐也并不在意。我能感觉到，她确实深爱着这个地底世界。能有这样豁达的心境，真是了不起的境界啊。
2001	水桥帕露西	原本以为她是个亲切开朗的妖怪，结果一转身就看到她在背地里说我坏话……以嫉妒为食的妖怪，不煽动别人的嫉妒心就会活不下去吗？感觉很可怜呐。不过她似乎不这么觉得。性格也阴晴不定，真是难以理解。	桥姬既是桥的妖怪，也是桥的守护神。帕露西小姐其实在日复一日地守望着他人平安地从地上世界与地下世界往来……这么说来，她也是个很伟大的妖怪呢。	我发现，帕露西小姐熟知所有人的优点！虽然大家都说帕露西小姐很善妒，但她的内心深处其实很憧憬大家吧？能够更进一步了解她真是太好了！
2002	星熊勇仪	很久以前就离开了幻想乡、有着大姐头气魄的鬼，性格刚毅且干脆利落。如今在管理着旧地狱街道上的温泉。偶尔去泡一泡温泉吧！	原来勇仪小姐曾经是山中四天王之一。传闻说她有异常程度的怪力，腕力即便在鬼之中也几乎无可匹敌。没想到我也能结识到这么厉害的妖怪……果然还是有点紧张啊。	本来以为鬼已经对人类失去兴趣……但勇仪小姐其实在偷偷羡慕着在地上自由往来的同伴的身影。既然对地上感兴趣，那就去地上玩吧！鬼就该是这样嘛！
2003	古明地觉	传说中能够读心的觉妖怪，名字也是觉。大概是对自己的种族或能力很自豪吧？因为日以继夜都在工作，所以没什么搭话的机会……	觉小姐真是我见过最操劳的领主了。虽然有宠物们帮忙干杂活，但是行政方面的工作似乎只有她能做。为了工作似乎放弃了很多日常爱好，唯独不能放弃读心。累到虚脱可不好啊。	我明白为什么宠物们那么依恋觉小姐了。被繁重的工作埋没，心中还能一直牵挂着妹妹和宠物。在清冷的外表下的这份温柔，确实是会让人念念不忘呢。
2004	火焰猫燐	被称作火车的猫妖，是地灵殿之主的左右手。能够和尸体和怨灵对话似乎很方便！不过……说到火车就是偷尸体啊。就是因为这样所以被厌恶吧？唔唔，对别人的兴趣说三道四似乎不太好……	仔细想想，人类刚死掉的时候，应该会茫然吧？如果能在猝然长辞之际遇到开朗善谈的阿燐，或许能中和一些对死亡的恐惧。	活在偏见下的“凶兆的黑猫”，原来要经历那么艰辛的事。偏见真是不可取啊。幸好阿燐遇到了觉小姐。一个好的主人可以改变宠物的一生。希望阿燐今后可以一直过着无忧无虑地偷尸体的生活~。
2005	灵乌路空	看守灼热地狱遗址的地狱鸦，有着火焰般热烈爽快的性格。外表看起来和其他地狱鸦不太一样，唯独脑袋空空这一点让我感到很亲切。	阿空的外表之所以大放异彩，原来是因为她的体内寄宿了神灵八咫乌！自地狱的黑暗诞生而来的地狱鸦，与栖息于太阳的八咫乌，真是奇妙的组合啊！不过……让她拥有这么强大的力量真的没问题吗？	最近突然觉得，没有比阿空更适合拥有这种力量的人选了。拥有异常强大的力量，却没有使用这种力量的头脑，这就是一种幸运吧？脑袋空空的阿空很可爱哦！不过我也常被说脑袋空空呢~
2006	古明地恋	地灵殿之主的妹妹，封闭了第三只眼的觉！由于封闭了内心所以存在感也变得很低，神秘的身影让她在地底收获了许多追崇者。总是挂着灿烂的笑容，但谁也无法知道她真正的内心是怎么想的。就连她自己也不知道。	N/A	N/A
2007	琪斯美	走在夜路上的时候突然从正上方掉落，撞在头顶上的古典的妖怪。性格内向，非常喜欢狭窄的地方所以一直都在桶里，似乎是这样比较有安全感？虽然不善言辞，但确实在努力地修炼着呢。	N/A	N/A
2008	小野塚小町	担任三途之河的摆渡人一职的死神，似乎专门负责引渡幻想乡中人类的灵魂。因为工作态度总是不紧不慢的样子，被阎魔派来旧地狱历练，最后辗转来到了夜雀食堂。虽然懒惰成性，不过性格非常爽朗，也爱聊天，是个很好相处的伙伴。如果工作能再认真一点就好了。	N/A	N/A
2009	地底怨灵	（阿燐符卡召唤出的怨灵，属性以及外貌与阿燐一致，图鉴不可见）	N/A	N/A
