ID	Context
0	大家好呀~！欢迎来到灵庙的料理PK大舞台！
1	我是此次博丽大祭活动的主办方代表，同时也是本次擂台赛的主持人！
2	竟然是早苗小姐来主持……
3	嗯~因为这次灵庙人手不足，所以只好由作为大祭活动的主办方代表——我来补上啦！
4	而且由我来主持的话，也更能保持客观公正！
5	观众::没问题！！谁会拒绝现人神大人呢？！
6	观众::早苗小姐我可以！
7	原来如此，在客观公正方面，第三方来主持的确是很有说服力呢。
8	看来大家都认可了，那就让我来带领大家，享受一场视觉和味觉双重的、而且没有黑哨和作弊的——
9	料理PK盛宴吧！！
10	观众::哦哦哦哦哦哦！！！
11	观众::快点放我们进去吃东西！！！！
12	——但是！等等！我还没有宣布规则呢！这可是比赛，不是试吃大会哦——
13	这次的主题是PK！也就是厨房的战争——
14	对……最重要的是规则、规则……接下来的内容可要认真听。
15	在我之前生活的世界，有一种厨房PK比赛！
16	厨房将分成红蓝两方，PK的双方各自拥有同样的厨房、同样的厨具，制作指定的菜式！
17	但是客人和订单却是共享的！
18	所以，手脚更快的一方！料理水平更高的一方！客人满意度更高的一方——
19	会获得更多的订单，而订单结算的金额会变成积分，积分则决定双方的胜败！
20	也就是说，这是同时考验手艺和服务水平的PK啊！
21	这么久以来都是独自照顾客人，没有和人在同样的环境里真正的PK过……
22	究竟会怎么样……
23	比赛共分为上中下三场！每场比赛、每个代表队只能有一位料理人参赛！
24	只要取得三场比赛中两场的胜利，就可以获得冠军！
25	灵庙代表队作为擂主，出场次序是固定的，但兽道代表队可以自由决定出场的次序！
26	所以，如果想用田忌赛马的方式赢得比赛也没有问题哦。
27	那么大家听清楚规则了吗？
28	不、不明白啊……“田忌赛马”是什么啊？！
29	当当当！这个时候就要我登场了！
30	小铃！
31	这次需要三个人一起作战不是吗？我一直期待的军师剧情终于到来啦！
32	响子不在场的话，也就是说，我和阿吽会单独作为主厨参加比赛，是吗？
33	看情况是这样了……
34	嘿嘿，大显身手的时候到了。在厨房帮忙了那么久，我可是偷偷学了不少手艺哦！
35	阿吽也是！阿吽也会尽全力不让米斯蒂娅小姐失望的！
36	大家都好可靠啊！那么，那个“田忌赛马”到底是什么意思啊？
37	那是东方大国的一个古老的典故，简单来说，在知道对方出场顺序的前提下——
38	我们可以调整我们的出场顺序，用我们这边最弱的战力，来换掉对方最强的战力。
39	然后，再用我们最强和次强的战力，去赢下对方次强和最弱的战力。
40	就是这样的一个智慧。
41	——原来如此！连我也能马上了解的简单智慧呢！
42	阿吽也明白了！但是，要怎么区分我们和她们的战力呢？
43	我们当中，老板娘毫无疑问是最高的战力。
44	原来如此，那么小铃小姐应该作为次战力吧？阿吽必须要承认，做菜方面，阿吽没有足够信心……
45	那么老板娘作为最强战力，我是次强，阿吽则顶掉没有信心战胜的对手，就这样安排，可以吗？
46	好的！虽然阿吽的能力有限，但阿吽会努力完成好这个最重要的任务！
47	但是，小铃和老板娘两人就一定不能输了哦！
48	……就是这样，老板娘，没问题吧？
49	……我明白了，我会努力的！比赛就请交给我们，我们不会让阿吽的牺牲白费！
50	阿吽活得好好的呢——
51	那么大家准备好了吗？
52	准备好了
53	想再听一次规则
54	没问题了，就按照计划开始吧！
55	好的！无论面对谁，我都会全力以赴的！
56	阿吽也是！不管是安排阿吽换掉强敌，还是让阿吽全力以赴赢下比赛，阿吽都没问题哦！
57	我明白了，大家就一起携手努力吧！
58	看来双方都已经成竹在胸了！第一场比赛，灵庙方面参赛的选手是——
59	霍——青——娥小姐！
60	由我来负责打头阵呢……所谓下厨和炼丹也差不多吧？
61	无论美貌还是诱惑力都是超一流！声音和言语都带着恶魔一般的色彩！
62	不但会无视障碍物穿行，客人还会在她的花言巧语下不自觉地过度消费！
63	是个完全不遵守规矩的歪道邪仙哦！
64	阿呀呀~怎么能这么说一位淑女呢？
65	兽道代表队能够战胜这样的对手吗？！兽道代表队会拿出怎样的表现呢？
66	请兽道代表队决定你们的出场选手！
