ID	Context
0	虽然大家才刚刚燃起来，但是不得不说的是——
1	现在灵庙代表队已经连丢两分，在三场两胜的赛制下……
2	灵庙代表队已经失去资格！本场比赛的胜利者是——
3	兽道代表队！！！恭喜！！——
4	哎呀……真是赢得漂亮……
5	全败！实在是愧对太子大人……
6	那么，本场比赛就此——
7	喂！等一下！等一下！
8	吾正准备大显身手，为何突然宣布比赛结束？！
9	在三场两胜赛制下，灵庙代表队已经失去两分，即使第三位选手赢了，也是整体失败了呀。
10	这道理吾明白！但身为堂堂总管，岂有未展身手就溃败认输的道理？！
11	吾亦想为太子大人带回胜利的荣光！虽当下与胜利无缘，但至少不该难堪至此！
12	观众亦想看得更多，享受更多不是？
13	那么，你想怎么样？
14	吾向兽道的英雄们发出最后的挑战！无关胜负，此乃吾个人的坚持！
15	请让吾与之一战！
16	原来如此！舍弃胜负，仅仅是想再来一场比赛！即是争气，也是挽尊！
17	那么，兽道代表队如何呢？在胜负已经无关紧要的情况下——
18	是接下挑战再来一场，还是就此结束，直接捧回胜利的奖杯呢？
19	请告诉我你们的答案！——
20	好！那就接受挑战
21	不，还是算了
22	既然布都小姐有这么高的自尊心，我们也想获得完全的胜利……
23	这一场就不得不赢下来，对吗？
24	大将……
25	阿吽没有意见！米斯蒂娅小姐决定就好！
26	那好！我们就接受她的挑战！
27	真是太感谢了！不愧是堂堂正正的夜雀食堂大将！
28	既然双方都决定了，我们也可以继续大快朵颐，那就进入第三场比赛——！
29	虽然很想接受这个挑战，但是……
30	我们还有想要马上去支援的伙伴，她正在一个人孤军奋战……
31	我想赶快跑去她的身边为她加油，所以不能太长时间停留在这里！
32	没错！这是理智的选择！我们不会被一时意气左右哒！
33	我们还有更重要的事情！
34	抱歉！请容我拒绝！我们一分钟都不想耽误，要马上赶去同伴身边……
35	啊，兽道代表队直接地拒绝了，那么……
36	这样啊……阁下既然心意已决，吾也不便强人所难……
37	吾等会继续磨炼技艺，希望来年还有机会与各位再战！
