ID	Context
0	真是太精彩了！不愧是压轴的决战！无论是气氛还是食堂里的温度都飙到了最高！
1	在一阵紧张到不能呼吸的燥热比赛之后，我们最后一场的胜利者是——
2	兽——道——代表队！
3	赢了！！终于赢了！！！
4	毫无疑问！我们是冠军！冠军哦！！
5	阿吽太开心了！！能参加这次的比赛真是太好了！！
6	观众::兽道！兽道！兽道！兽道！
7	观众::老板娘！老板娘！老板娘！老板娘！
8	呼……吾已经全力以赴，虽饮恨失败，但无愧于心。
9	你尽力了。太子大人也会理解你的。
10	我们的对手真的是很强呢。就算是输也输得漂漂亮亮的啦~
11	在我们欢送冠军去领取属于她的胜利奖牌之前——这次守擂方的代表，有结束陈词要说哦！
12	观众::哦哦哦！！难道是——
13	观众::圣人要来了吗？！这次有机会可以一睹圣人的容貌了吗？！
14	啊哇哇哇哇，太子大人也来了吗？？？
15	现在有请灵庙的住持，家喻户晓的圣人——丰聪耳神子登场！！！
16	感谢各位来到灵庙的擂台会场——
17	两方选手都尽了全力。所有人都享受了比赛，这便是最令人欣慰的结果了。
18	堂堂灵庙被兽道的妖怪们击败，我并不感到奇怪。
19	据我所知的夜雀食堂队伍，是每天认真地重复着繁琐的日常，并在重复当中，让自己的技艺登峰造极的一群人。
20	虽未显破烂的衣裳、嶙峋的瘦骨，但她们也是苦修之人。
21	怠于修行、沉湎于过去胜利的灵庙众人，当然敌不过这些十年如一日打磨刀锋的对手。
22	请让我祝福这些努力修行之人，你们的胜利名至实归。
23	而灵庙也将重新开始修行！这次的比赛对于我们而言也是非常宝贵的一课！
24	观众::圣人说的好啊！不愧是圣人！！
25	被含蓄地责备了呢，嘻嘻。
26	明天开始，我们从零开始修行吧。
27	嗯！吾早有打算，来年定会洗雪失败，再次向夜雀食堂发起挑战！
28	好啦！接下来就是颁奖仪式啦！请你们派出一名代表移步到颁奖台那边吧！
29	大将！上吧！！
30	诶？由我去领奖吗？可是你们付出的努力也不比我少啊——
31	米斯蒂娅小姐！要是没有您的帮助，我们也不可能成长到今天这个地步，您是最能代表我们的人！
32	可是……
33	还想什么呢？别扭扭捏捏的啦！只是让你去跑个腿而已！荣誉当然是我们大家的！
34	那、那好吧！
35	让我们一起恭送冠军代表！去接受属于她的终极荣誉！
36	观众::冠军！冠军！冠军！冠军！
37	观众::冠军！冠军！冠军！冠军！
38	?????::这场比赛真是精彩绝伦。你的话，完全配得上这块奖牌的色彩。
39	?????::现在，我将以风神和山神的名义，将国宴之夜的冠军奖牌授予——
40	?????::米斯琪————————
41	米斯琪——！！！！！
42	我成功了！！我赢了！！！！
43	虽然我很害怕！一点信心也没有！！！
44	但是我赢了！！！！！！
45	米斯琪————！！！！！！
46	……响子？
47	响子！！？？？？
48	真的吗！？你果然做到了！！！
49	呜呜呜……这么说我们……我们……
50	我们都是冠军！！！
51	兽道！是本届博丽大祭唯一的冠军！
52	呜呜呜……眼泪不争气地流下来了……
53	让你受委屈了，独自一个人面对比赛……
54	我自己站上擂台的时候，其实心里也很害怕……
55	我、我也是！
56	但是在信心快要垮掉的时候，心里不断回想起你鼓励我的话语——
57	就这样每次、每次重新振作起来——
58	终于熬到了最终的胜利！
59	我要谢谢你！谢谢你一直以来让我作你的伙伴！！
60	……我也要谢谢你，一直以来都愿意作我的伙伴！
61	但是……真的可以吗？和寺里的伙伴决战，还赢了她们这件事……
62	真的不会影响到你在寺院里的处境吗？
63	啊……关于这件事，我一开始也有点担心……
64	然后呢？
65	就在我赢了之后，忐忑不安时……住持居然出现了……！！
66	诶！？她也来了吗？
67	我也很惊讶！当时……情况是这样……
68	分出胜负了！那么优胜者是————
