ID	Context
0	米斯琪……   
1	响子！准备好了吗？马上就要到比赛的环节了！
2	但是……接下来怎么办呢？
3	比赛的主舞台有两个，分别是命莲寺的摇滚乐擂台和神灵庙的仙界厨房……
4	可是，我们要怎样同时兼顾两场比赛呀……！
5	我们是两个人呀！
6	是这样没错……啊！你不会是想说……！？
7	对呀！我们各自带领队伍负责一场比赛，不就没问题了吗？
8	……怎么可能？！根本做不到呀！
9	如果米斯琪的话，应该没什么问题，但是我……
10	我不可能凭自己一个人赢得比赛的呀！
11	而且……我从来没有担当过这么重要的任务……
12	我……我……
13	响子！
14	呜呜……
15	先冷静下来！你一定没问题的！
16	要说为什么的话，你一直在我最近的地方，我很清楚你的实力呀！
17	无论是音乐方面，还是烹饪方面！我相信你可以独当一面！
18	但是，我根本不相信自己呀……
19	没关系！如果你不相信自己的话，就相信相信着你的我吧！
20	诶——
21	我们在一起的时间那么长，我能做到的你都能做。
22	你不仅为店里的事情忙碌，还要兼顾命莲寺的修行。每一件事，你都那么认真地对待……这些我全都知道！
23	那些枯燥又重要的日常积累，就是我们的能量！
24	不用担心，只要把我们平时的实力和情绪，像摇滚那样尽情的发挥出来就好了！
25	能不能赢没关系，像享受音乐一样享受现在就好啦！
26	…………
27	好吧……我就听你的试试看……
28	好好享受比赛吧！这可是你跟我说的哦！
