ID	Context
0	一年一度的博丽神社大祭，聚集了来自幻想乡各地的名人异士。
1	各位在这里集中展示自己的文化或者特长，碰撞出灿烂的火花。
2	堪称一年之内最大的文化盛典！
3	现在，正是这场盛典的最高潮！跟我一起HIGH到最高潮吧！
4	摇滚擂台！决赛！即将开始！
5	首先！是我们初次登台，就连斩两员大将，有如赵子龙般勇猛无敌的摇滚新秀——
6	米斯蒂娅·萝蕾拉小姐！
7	终于来到决赛了，我要平静下来，打好这最后一场比赛。
8	不过，赵子龙是谁啊？
9	好的好的~挑战者已经站上了擂台，那么我们有请最后的王者——
10	命莲寺中仅次于圣白莲的伟大的僧侣、位列七福神之一却有着一颗摇滚之魂——
11	万人敬仰、有如鬼神关云长一般的毗沙门天的化身——
12	寅丸——星小姐！！！
13	竟然是毗沙门天的化身？！
14	你好，米斯蒂娅小姐。
15	我记得……住持小姐是毗沙门天的信徒，而您是毗沙门天的化身……那住持小姐不就是在信仰自己的弟子吗？
16	虽然现在的关系比较复杂，但是追根溯源我也只是一只妖兽而已。不过现在已经没有多少人记得这件事了。
17	无论何种身份，在此时此刻，我只是一个热爱摇滚的音乐人！
18	不要在意别的，放轻松，用摇滚来战斗吧！
19	好、好的！无论是神还是妖怪，只要是音乐的事情，我都不会输的！
20	好的！双方已经对上眼了！剑拔弩张！一触即发！
21	最后一场！舞台、灯光准备！MUSIC进入！！
22	LEEEEEEEET'S ROOOOOOOOOOCK！！！！！
