ID	Context
0	哇——是莉格露！你也来摆摊吗？
1	喔，是你呀，今天不用开店吗？
2	我今天是参赛者哦！
3	我想起来了，是在高潮部分的比赛吧？要好好表现哦，过会儿我会去给你打气的。
4	嗯！莉格露也来参加我很意外。你今天摆的是什么摊位啊？
5	嗯……今天受大姐的委托，在这里布置了花与虫主题的展出。
6	大姐？那是谁？虫妖的后裔不是只剩下你了吗？从没听你说过呢。
7	哎……她不是虫子啦……
8	我不是经常往太阳花田那边跑嘛？那儿有一位管理着花田的大妖怪——
9	啊！……！！难、难道是那位…………花之暴君！！！！？
10	不是什么暴君啦……她是那片花田的女王，我经常得到她的关照……
11	为了答谢她的关照，这次帮她出摊啦。她虽然对祭典感兴趣，但不喜欢抛头露面。
12	诶——她居然会关照你这样的小妖怪吗？我曾经远远见过她一面，感觉浑身都散发着一种可怕的气压呢……
13	怎么说呢……虽然看起来是那个样子，但她其实和传闻完全不一样啦。还有——
14	我才不是什么小妖怪！我可是上古时期最强大的虫族末裔——
15	好啦好啦——那么这次莉格露展出的是？
16	这次是魔界的含羞草哦，在人类和妖怪世界都很稀有吧？大姐连这样的花都有办法培育。
17	……你看起来真的很尊敬她呀。
18	花与虫是互相依存的伙伴、又是彼此的敌人。
19	这次展出的就是这两者之间的联系与矛盾，据说不同的人会在其中看到不同的哲学意义。
20	不太明白呢……
21	大姐的想法我也没有完全理解，反正我只要按照她的想法摆出来招揽客人就好啦。
22	这种花的体型为什么会这么大？看着怪吓人的！
23	据说魔界的阳光很稀缺，植物为了能够充分吸收阳光进化出了巨大的体型。
24	这几株魔界含羞草是在地面上特别培育的，有充足的阳光，体积已经很迷你了。
25	真正生长在魔界的原株，可是要大几十倍那么多呢！
26	而且据说一口就能吃掉十只妖怪……
27	吓——！！
28	魔、魔界我一辈子都不会想去的……！！！
