ID	Context
0	人类小孩::人偶好可爱——！
1	人类小孩::我也好想有个这样的人偶！
2	人类男性::哇啊啊——！！！这里有一只大龟！你看到了吗！？
3	天狗::这么盛大的祭典，博丽的巫女居然没有在场。究竟是去做什么了……
4	老翁::……这里原本是不是有个石狮子来着？
5	老媪::我刚刚竟然看到石狮子在逛摊位……和老伴说他还不相信……
6	森之妖精::这些花长得比魔法森林里的还奇怪！
7	蟒蛇妖::今晚会有料理赛，我已经报名试吃！真是一刻都不想等了——
8	妖怪猫::其实我对音乐没什么兴趣……不过橙说，如果我能来给兽道的演出加油的话，她就给我小鱼干。
9	天狗::我知道这个要石只是赝品，真正的要石已经被插进神社的地下深处了……这种事如果报导出来会很麻烦吧？
10	妖怪狸::好累好累——我得歇歇了——
11	妖精女仆::红魔馆的摊位有咲夜小姐和小恶魔就够够的啦——我要尽情地玩耍！
12	妖精女仆::湖那边在超——盛——大——捉迷藏！好多妖精女仆都不愿意过来。
13	妖怪猫::眼睛不够用了……
14	妖怪猫::什么时候才开始啊……肚子饿扁了……
15	左卫门::参赛的几位仙人据说是古代豪族，对料理一定有凡人无法触及的领悟。
16	地精::我也想去给红魔馆的摊位帮忙，可我只要站在那里，就没有人愿意靠近我们的摊位。
17	妖怪兔::公主大人说要举办这个展，可几乎所有准备工作都是铃仙在做。她已经累得连耳朵都没力气了。
18	妖怪兔::那些年糕我也有帮忙捣哦！ 
19	妖精女仆::我没有偷懒哦！咲夜小姐说，我们只要不添乱就是在帮忙了~
20	僧人::那个黑色的液体似乎很适合苦修，圣大人说不定会很喜欢。
21	人类小孩::这个——超级好吃——！！！我已经吃了三份，一下子就把妈妈给的零花钱用完了。
22	河童::好想把那个月面探测仪拆解了看看……
23	河童::月人的科技真是非同一般！我现在涌出了非常多的创作思路，
24	魔法使::呜哇！竟然这么多人！我想回去了……
25	人类小孩::快点快点——！人偶剧马上就要开始了！！！
26	人类小孩::你等等我嘛——！
27	道士::神道教和道教有许多相似之处，来体验一下神社的文化或许会对修行有更深入的理解。
28	仙人::好久没有来地上了……虽然有些不习惯，但偶尔与民同乐也不是坏事。
29	妖怪鼠::逛摊的时候最容易丢三落四。这么一会儿，我已经捡了满满当当的宝物了！
