ID	Context
0	鵺小姐，您之前不是说，您原本并不认识住持小姐吗？
1	那您为什么会和村纱小姐她们一起被封印在地底呢？
2	那只是巧合。虽然我们同时被封印在地底，但那完全是两回事。
3	她们呐，是因为给白莲出头所以被一锅端了。我被人类封印在地底，完全是我自己的事。
4	也对……毕竟您是让天皇都惴惴不安的妖怪。如果人类有什么妖怪通缉名单的话，您大概会是头名呢。
5	可说到底，我也没做什么伤害人类的事啊。
6	就这样被关在地底——既黑暗又狭窄的地底——整整一千年呢——
7	别、别难过了——您看、您现在不是已经重见天日了嘛！
8	没错。我再也不想回到那个深不见底的地底洞窟了。
9	不会回去的！您现在已经有命莲寺了呀！
10	所以我很珍惜命莲寺这个安身之所。哪怕不合群……哪怕没有朋友……
11	但这里确确实实是我的家。
12	即便是一千年前，也从没有这样的地方，无论什么时候都愿意为我敞开……
13	您很想融入命莲寺的大家吧？
14	……其实也无所谓。你以为我一千年是怎么过来的？我早就已经习惯独来独往了。
15	是吗？可是您做的点心不是这样说的哦。
16	别闹了——点心怎么会说话？
17	当然会啊。无论是“云山棉花糖”还是“圣白莲子糕”，又或者是“幻想星莲船”，都无一不在展露着您想要靠近大家的心情哦。
18	我哪有——
19	您就是不太坦诚……但没关系。因为您所做的事，比您说的话更能表现您的态度哦。
20	我所做的事……不全都是祸事吗？
21	当然不是！
22	虽然一开始因为误会妨碍了住持小姐复活，但您后来不是和大家一起收集飞仓吗？这就已经将功补过了。
23	可那时候，我为了让人们不靠近圣辇船而使用能力，反而导致圣辇船卷入新闻，又一次妨碍了飞仓的收集……
24	但您是为了守护圣辇船才这样做的吧？从外界找来外援也是为了守护命莲寺——
25	所以——你说的桩桩件件，从结果来看不全都搞砸了吗？
26	搞砸了——？
27	住持小姐现在不是活得好好的吗？命莲寺和神灵庙也只不过是争夺信仰而已。就算没有您插手也是一样的结果。宗教家不都是这样嘛？
28	……
29	事情并没有真的“搞砸了”。您想要帮助命莲寺的心情，我相信也一定顺利地传达给大家了！
30	……
31	您怎么就想不明白呢？既然让您跟在身边修行，就已经是接纳您啦！
32	……
33	真的……真的可以这样想吗……
34	当然。村纱小姐她们根本就只会横冲直撞，哪有记旧仇的功夫。真正无法释怀的一直都只有您自己。您总觉得自己和她们之间有隔阂，可她们大概早就连“隔阂”本身都不记得了。
35	要真是这样，我岂不是一直在自寻苦恼……
36	谁说不是呢——您试试走出第一步，主动去找她们玩吧。我觉得您和村纱小姐应该会相当投契。
37	那下次法会，我去找她们一起参加……？
38	听起来是个好主意！
39	……谢谢你。
40	咦？谢我做什么？
41	因为你……事到如今，就算再有好事者来挑衅我是没朋友的家伙，我也不会生气了。
42	我就是您的朋友啊~
43	唔……嗯……
44	好开心！这还是您第一次承认我是朋友呢！
45	猯藏说……交朋友需要一些仪式感。这是之前河童对我的能力感兴趣而制造的试验品……
46	我也不懂这是什么东西，好像叫什么“老虎机”之类的，说是可以带来好运。在我一个人闲着的时候，它陪我度过了不少时间。就把它送给你吧！
47	好、好正式的感觉！弄得我都有点紧张了……可是我身上没有什么……
48	啊——！如果您不介意的话，这张承载着我梦想的演唱会门票，希望您可以收下！
49	嗯！那我们就交换礼物吧！所谓仪式感，大概就是这样吧……
50	好高兴——也就是说，我抢在村纱小姐她们面前，成为您在幻想乡的第一个朋友了？
51	这也算是值得开心的事情吗？
52	当然！因为——您一定会交到很多很多朋友的！村纱小姐她们要是听说您的烦恼，一定会哈哈大笑——
53	你、你别告诉她们啊——！！！
