ID	Context
0	为什么灵庙附近栽了那么多栗树呢？
1	小麻雀还真是和道教有缘呐。又被你问到点子上了呢。
2	咦？板栗和道教有什么渊源吗？
3	怎么说呢……你知道道教的创始人是谁吗？
4	是“老子”？
5	哇哦——小麻雀竟然还知道“老子”呢——
6	嘿嘿。开店的时候偶尔会听到道士们提起。
7	不过很遗憾，回答错误哟。
8	……
9	老子是道家学说的创始人，但不是道教的创始人。道教创始人是被称为“天师”的张道陵。
10	哦……
11	相传天师在龙虎山炼丹时，因为不爱荤腥，所以栽了许多栗树，以栗代饭——
12	天师的偏食问题也很严重呢。
13	呵呵。后来，仰慕他的道士群起仿之，也在庙殿周围栽树，一棵是栗树，另一棵也是栗树。就成了一个风俗。
14	原来是这样……
15	我还知道一个关于栗子的故事，你想听吗？
16	想听想听——！
17	战国时期有个非常喜欢猕猴的老人，由于他养了许多猴子，所以他被称为“狙公”。
18	狙公？
19	古书里，“狙”就是“猕猴”的意思。由于狙公养的猴子太多，消耗了很多财物，到最后猴子几乎把家产都吃尽了——
20	您说的是猴子吗？我怎么……隐约感觉心里投映出了一个人的影子……
21	是猴子哦。于是狙公打算缩减猴子们的吃食。可猴子和别的家畜不同，它们像一群顽皮的孩子，想让它们安分守己地接受非常困难。
22	那怎么办啊？
23	狙公家的附近有一棵高大的栗树，猴子们平常很爱摘树上的板栗吃。在口粮不足的情况下，用板栗给猴子们解馋充饥未必不是个好办法。
24	没错！板栗很顶饱呢！
25	于是狙公对猴子们说，以后每天早上给它们吃三颗栗子，晚上再给四颗。可猴子们闹着说不够——
26	狙公便改口说，早上给它们四颗栗子，晚上再给三颗。猴子们只注意到四比三多，就觉得自己的口粮增加了，最后高兴地接受了。
27	可要是每只猴子都多给一颗栗子，这样成本不是增加了吗？
28	……
29	不要被表面现象所迷惑，要善于透过现象看清本质。“朝三暮四”和“朝四暮三”的结果是一样的哟。
30	三……四……三加四和四加三……对诶！真的是一样的！
31	呵呵。凭你也能把生意做得风生水起，幻想乡还真是民风朴实呢。
32	嘿嘿——大家确实很照顾我——
33	讲了这么多板栗的故事，有点嘴馋了呢~
34	我也是！上次您教给我的蜜饯栗子还剩了一些，我拿点过来和您一起分享吧！
35	那我就不客气了哟~
36	蜜饯栗子虽然香甜可口，但要是吃太多，一会儿就会吃不下饭呢。
37	栗子除了含脂肪、蛋白质外，还含有大量的淀粉，本来就可以代替粮食哟。“山家蒸栗暖”，说的就是古代用栗子当饭吃的习俗。
38	直接当饭吃还是有点……
39	栗子也可以作为许多家常菜的副食材呢。
40	副食材吗？……栗子的口感很特别，佐以肉类或者其他口味比较重的食材，能很好地中和口感，同时让这道料理层次更加丰富。确实是很好的辅助食材呢……
41	不愧是小麻雀。连“朝三暮四”和“朝四暮三”都分不清楚的家伙，说起料理却头头是道呢~
42	唔……不过，栗子这么好的东西，总作为配料不是很遗憾吗？我想让更多人了解栗子……
43	呵呵。你来做一道栗子唱主角的家常菜不就好了~
44	咦——？我来做——对诶！我来做就好了！
45	能突出栗子的口感，且不会喧宾夺主的配菜……蔬菜？唔……感觉不太搭……蘑菇？似乎能做出层层叠叠的口感……
46	看来难不倒你呢。那我就期待你的新菜肴啦——
