ID	Context
0	布都小姐，真难得见到您在看报纸呢~
1	我发现天狗的报纸里记录了许多幻想乡的事迹，读之感到受益匪浅。便搜罗了许多以供学习之用。
2	唔……天狗的报纸么……
3	要了解幻想乡发生的事情，与其读天狗的报纸……读历史书可能更合适吧？
4	可历史书太无聊了。与之相比，天狗的报纸要有趣得多。
5	只怕您看多了报纸，会对幻想乡的常识产生误会……
6	为何？最近太子大人夸我有长进了呢。
7	是吗？唔……对话好像是顺畅了一些……
8	我于幻想乡复活也有一段时间，最近也开始有些领悟了。
9	在幻想乡里，无论是相见恨晚还是言不投机，若不知该如何开场，先打一架总是没错的。一切尽在不言中！
10	咦？
11	有何不妥？
12	好像也没什么不对……
13	我已经领略到幻想乡的魅力。只可惜最近忙于为博丽大祭做准备，实在是分身乏术，无法进一步去感受了。
14	博丽大祭么……
15	我记得你也报名了后夜祭的对抗赛吧？
16	是的。
17	那你应该知道，我们和妖怪寺院是去年的双冠军。所以今年的后夜祭，我们两方都会布下主题擂台。
18	我知道。寺院的擂台主题是摇滚乐，道场是厨艺比拼……
19	其实我一直很好奇，为什么道场会布置这样的主题擂台？仙人和道士们……看起来也不怎么擅长做饭的样子……
20	你对道教真乃一无所知……但凡出席过一次道家宴席，你就明白了。
21	道家宴席？
22	道家宴席菜式丰富且高雅别致，主要有“三清托荤宴”、“太极宴”、“三五宴”、“四四宴”等。讲究程度是那种妖怪寺院远不能及的。
23	什么三三四四的……道家的宴席真奇怪……托荤宴又是什么？
24	道教的饮食文化是以求长生、养生为目的，虽然有食素与食荤两派，不过在节日大典、例祭、道事活动时均用蔬食菜馔，所以——
25	我知道了！托荤菜就是类似素鸡一类的！？
26	没错！不愧是老板娘！
27	嘿嘿。我最初在兽道经营小摊车，只是为了转变大家看到红灯笼店就一定是烤鸟肉店这种想法。
28	但后来生意越来越大，为了顾及所有客人且不改变自己的原则，我也有在学习怎么用别的食材来代替鸟肉的味道。
29	托荤菜也是一样的逻辑，即以素托荤。比如“阴阳鱼”、“乾坤蛋”、“四方肉”、“太虚丸子”、“黄芪竹荪”、“陈皮鸡”、“胭脂肉”等，这些造型古典且蕴含寓意的名菜，都是宴席上常见的托荤菜。
30	长见识了……那太极宴又是什么？
31	你经常能在道场见到一些象征道教文化的图腾，你认为最有代表性的图腾是哪个？
32	白鹿贞松
33	道教虽然追求长生，但道教文化博大精深，纵古至今，并非仅仅寿命就能概括的。
34	阴阳鱼
35	八卦
36	八卦是道教非常重要的概念，但两仪生四象，四象生八卦。从这个层面来说，应该有比它更原始、更具有代表性的图腾……
37	圣人肖像图
38	太子大人确实是相当伟大的圣人，但还不至于被诩为道教代表……
39	你果然注意到了。因其形状如阴阳两鱼互相纠缠在一起，故而被习称为“阴阳鱼太极图”。
40	太极？
41	太极是混沌之始。由太极生两仪，继而两仪生四象，四象生八卦。此乃阐明宇宙从无极而太极，以至万物化生的过程。
42	啥？是说你们道教认为，宇宙一切都是那两条鱼生的？
43	阴阳鱼只是一个象征，并不是真的指代鱼……
44	白鱼意为阳，黑鱼意为阴。白鱼之中一黑眼睛，黑鱼之中一白眼睛，表示阳中有阴，阴中有阳之理，象征太极为天地未开、混沌未分阴阳之前的状态。
45	好复杂啊……
46	你刚刚报的菜名好像也提到了阴阳鱼来着？这么复杂的鱼，究竟要怎么才能料理出来呀……
47	如何？该知难而退了吧。
48	我、我是不会退缩的！就算你们厉害，可我也不是吃素的！
49	好志气！那你就做一道拿手好菜，让我见识一下你有没有资格成为我们的对手吧！
50	……不要。我们已经通过报名了。不管您承不承认，我都有资格去攻擂啦。
51	怎么这样！？这时候不应该要热血起来吗？
52	咦——好落伍的套路——
53	咳咳——！其实……我最近在辟谷，已经很久没吃东西，讲了半天美食已经饥肠辘辘……
54	……
55	如果你能给我做点具有幻想乡特色的美味料理，我就教给你一道具有道教特色的经典美食，如何？
56	……成交！
57	这便是幻想乡风格么……倒也别有趣味……
58	吃完了就该您来教我了！
59	好！既然汝如此善学。道家饮食究竟是如何极尽讲究的，就让汝见识一下吧！
60	麻、麻烦你了——！
