ID	Context
0	村纱小姐，您在烤什么啊？好香呀——
1	这可是我的秘制食谱哦！我给它起名叫“海盗熏肉”。
2	海盗熏肉！？难、难道是用海盗的肉……
3	你想哪去了！——佛门清净地，说话注意点，别把参拜客给吓走了。
4	抱歉……那什么是海盗熏肉呀？
5	据说“海盗”这个词的来源就是在明火上烹制的熏肉。加勒比本地人用这种做法来处理肉类，然后卖给海盗。所以我把它称作“海盗熏肉”。
6	听起来就像米饭盖浇米饭一样奇怪……
7	啊哈哈哈哈！米饭盖浇米饭这个名字也很有趣！
8	为什么海盗要买熏肉呢？
9	对于海盗来说，熏肉和咸肉是很重要的食物。肉类保质期并不长，所以他们通常会进行熏制。
10	原来如此。这样就算长时间航行也可以吃到肉类了……
11	说起吃肉……
12	怎么了？
13	您好歹挂着佛门弟子的名头，总是这样吃肉喝酒捣乱……
14	也不只是您，自从来这边开店，命莲寺的僧人都没少在我的店里吃肉。这样没问题吗？
15	为什么会有问题？
16	佛门弟子不是不可以吃肉吗？
17	在佛世时，僧人就是些乞食者。人们供养什么，他们就接受什么，所以佛陀并没有禁止僧人食肉哟。圣大人也没有禁止我们吃肉。只要是三净肉就可以了。
18	什么是三净肉？
19	就是不见杀、不闻杀、不为我杀。
20	什、什么意思嘛……
21	就是没有看见宰杀的场面，没有听到宰杀时的声音，不是特意为了招待自己而宰杀的肉，都是可以吃的。
22	……这听起来就像是给吃肉找借口一样。
23	曾经有个外道修行者指责一位尊者吃肉。他说，吃肉绝对比吃素腥臭。你猜尊者怎么回答？
24	唔……因为这位尊者很擅长去除腥味？
25	什么跟什么啊……尊者说真正的腥臭是那些恶毒的人所作的恶业，并不是吃肉才带来腥臭。
26	说得真好！没想到您虽然总是胡闹，对这种佛偈还挺了解的。
27	因为很刺激啊——
28	圣大人经常开妖怪法会——啊，就是为了宣传佛教举办的学习会。包括我在内，有很多弟子积极地参加呢。
29	刺激吗？听着就很无聊。
30	那是你知道得太少了。所谓佛道，是指到达开悟的境界的修行过程。这跟从人类心中赶走魔物有很大关联，但我们寺庙的法会的对象都是妖怪……
31	那又怎样？
32	如果说人类心中潜伏的魔物是妖怪的一侧面的话，那妖怪参加法会这件事，不就等于是在否定自身的存在吗？
33	原来如此！那确实很恐怖……
34	是吧？对很多妖怪来说，法会就和怪谈大会差不多。甚至有不少新入门的弟子，都是为了追求这种刺激才对佛教感兴趣呢。
35	命莲寺弘扬佛法的方法还真是另类……
36	哈哈哈。下次举办怪谈……举办法会的时候你也来听听吧~
37	比起怪谈大会，我还是对您做的海盗熏肉更感兴趣。
38	想尝尝吗？
39	可以吗！？
40	不可以哦。
41	……
42	天下没有免费的午餐。我去你店里吃饭都要给钱，凭什么我得请你吃肉？
43	那……我用一些高级料理和您交换熏肉，可以吗？
44	行呐。那就来交换吧——
45	来得还挺快的嘛。那我就遵守承诺，特别让你尝尝船长大人做的熏肉吧！
46	非常感谢！那我就不客气了——
47	哇——味道好浓郁啊——
48	嘿嘿。这可是我的独门秘法哦！
49	我、我也可以试试做吗？
50	啥？你才吃了一口就能做出来吗！？
51	嗯！我大概能尝出用了什么原料……
52	……
53	要是做得出来的话就试试吧……
