ID	Context
0	屠自古小姐，我又来玩啦~
1	欢迎欢迎~
2	您之前教给我的料理很受欢迎哦！真是非常感谢！
3	你给我做的那几道蘑菇料理也很有意思呐！怎么样？今天要继续吗？
4	好呀好呀——说起来还真有趣。这里明明是仙界，竟然成了怨灵和妖怪交朋友的地方……
5	太子大人说，既然如今的时代和我们过去大相径庭，道场也不能固步自封，无论什么种族都来者不拒。
6	那真是太好了！今天您打算做什么呀？
7	今天来做天妇罗吧！这种天气最适合一边吃炸物一边喝酒了！
8	好！无论什么东西，只要裹上面粉放下油锅一炸，出锅都是香味四溢、酥脆爽口呢！
9	没错！天妇罗可谓是主妇最爱的料理。不过要我说，最适合做炸物的还得是鸟肉——
10	什、什、什么——！？
11	不是吗？从古至今，炸物基本都以鸟类为主，尤其是炸鸡——
12	不行！我不允许！！
13	你怎么了？有什么问题吗？
14	您、您怎么能当着一个鸟类妖怪面前说这种话！？您简直比布都小姐还要没常识！
15	原来是在意这个啊。我还以为妖怪应该比人类更不受拘束一些……
16	就算是妖怪也不会同类相食啦！
17	要说同类相食的话……实际上大家不都是这样做了吗？
18	诶！？您在说什么啊……
19	之前不是说过嘛，我在来到幻想乡之前，一直在大祀庙门口守护了上千年。
20	在这漫长的时光里，我见证了外面世界的变迁，见识上也增长了许多。
21	您的见识都长到胃里去了！
22	哎呀，你先别着急嘛——
23	在海洋里，大鱼吃小鱼也不会有谁觉得残忍，不是吗？
24	可、可我又不是鱼！
25	你知道吗？在外面世界，已经流传着包括人类在内的所有生物都是海洋生物的后代这种说法。
26	……什么？
27	海洋是地球上最早出现生命的地方，所以不止是动物，所有陆地上的生物根本上说都是由海洋生物进化而来的。
28	简直难以置信……我才不信呢！有什么证据吗？
29	证据就是，在陆生生物的体液仍保留与海水相似的成分，甚至动物进入淡水后，体液仍保留与海水相似的成分。
30	听不懂听不懂——总之不可以吃鸟肉！
31	真是胡搅蛮缠！那我们就各做各的吧！
32	我好像已经听到哔哩哔哩的声音了……说、说话归说话，您别降雷啊……
33	哼！
34	……我、我一定会证明给您看的！炸物不是只有烤鸟类，任何东西裹上面粉放到油锅炸一炸，都能把隔壁家的小孩馋哭了！
35	是吗？那你就让我哭一个试试吧。
36	试试就试试！您等着——！
37	这就是你说的能把隔壁小孩馋哭的炸物？
38	怎、怎么样……
39	很普通嘛。
40	呜咕——
41	再、再给我一次机会——
42	你还真是死心眼啊……
43	我最初开店的目的，就是想要改变大家炸物一定是鸟类的印象！怎么可以在这里就放弃呢！
44	……
45	真是服了你。既然你说任何东西裹上面粉都可以做得美味，那你就索性做个“什锦天妇罗”给我看看吧！
46	“什锦天妇罗”？
47	把地上跑的、土里长的、水里游的……总之除了天上飞的，都裹上面粉放进油锅里炸一炸，看是不是真的像你说的那样吧！
48	我、我会证明给您看的！
49	好呀。如果你真的能做出来，我一定会到你的店里光顾！
50	一言为定！
