ID	Context
0	小伞——我来找你——
1	哇哦——！|好危险！你手上怎么会拿着避邪剑……还有封魔针！？
2	这都是我打造的哦！还有这些铃铛和镜子——
3	只要我认真起来，可以锻造出品质非常高的物品，比人类锻造房的要高出几个等级呢。
4	你居然还有这本事……
5	小瞧我了吧？我可是多才多艺的付丧神哦！
6	你还做些什么呀？
7	除了铁匠以外，还有给人类小孩当保姆，之类的。
8	诶？当保姆……你没问题吗？
9	听说在外面的世界，保姆是用伞在天上飞的。这不是和我很相称吗？
10	共同点只有都拿着伞吧？
11	话说回来……铁匠也好保姆也好，为什么要给自己找那么多工作啊？
12	唔……我是这样想的……
13	如果没人拿我当伞用的话，我就自己主动当对人有益的道具。虽然我只会吓人……
14	但我认为预测人类需要什么，我们道具再主动去配合人类，这才是新的付丧神的姿态！
15	哇哦——你的想法好了不起啊——
16	嘿嘿。没什么啦——
17	没想到你这么成熟。委托你的人类一定很多吧！
18	……
19	怎、怎么了？
20	委托我的人……一个也没有……
21	诶……
22	呜呜呜……为什么……
23	怎么突然哭起来了！？
24	难道我真的一无是处吗……
25	怎、怎么会呢！？你这不是很能干吗？
26	没有人需要我的帮忙……谁也不会来委托我……
27	呜呜呜哇——
28	哇——你居然是这种性格吗——
29	我的存在到底有什么意义——
30	要、要不我来委托你……可以吗？
31	可以呀！你要委托我什么！？
32	振作得好快！
33	你尽管委托！虽然我不是什么事都能做到，但不管你委托什么，我都会努力去学的！
34	你到底是悲观还是积极啊……
35	我想想……
36	说起来，我记得命莲寺每年都会在寺里举行涅槃会。涅槃会的摊子上，经常能见到一种长长的团子……
37	你是说瘦马团子吧？
38	瘦马团子？
39	之前巫女们跑到命莲寺卖的就是瘦马团子哦！好像是还原了外面世界的做法，生意很火爆呢——
40	为什么巫女会到寺院来卖团子……先不说这个！外面世界的团子……你能回忆出那种团子的具体模样吗！？
41	唔……大概就是把各种颜色的团子……唔唔……
42	想不起来吗？
43	不！我一定可以想起来的！对了——
44	只要让我尝尝各种各样的团子，我大概就能想起来了！
45	这简单。你等着，我去给你端些团子来！
46	没错没错……我有点印象了……
47	那种团子就像是把这些团子拉长……对了！切面上还有有图案来着！
48	切面上有图案的长团子……
49	我明白了！谢谢你给我提供了这么好的点子！
50	哇——真的吗？我派上用场了！？
51	你可是大功臣哦！等我做出来了，请你务必来品尝呢！
52	好耶——！我一定会来的！
