ID	Context
0	灵梦小姐，听说今年的博丽大祭，博丽神社会和守矢神社联合主持？
1	差不多吧。
2	……灵梦小姐看起来没什么干劲的样子？明明是难得的博丽大祭……
3	虽然是难得的博丽大祭……但实在分身乏术也没办法了。
4	听说您这回连摊位都没有准备？
5	也不是完全没有准备……
6	我就说，灵梦小姐怎么可能放弃这么难得的机会嘛！
7	这次能让我准备的时间确实不多，所以我拿出了必杀技——
8	必杀技！？究、究竟是——！？
9	我只告诉你哦。千万别说出去——
10	我拿了全身积蓄，定制了一个全身涂满金漆的赛钱箱！
11	……
12	大祭那天熙来攘往，趁此机会把一个焕然一新的赛钱箱放在人群最中间，谁都没法注意不到吧？
13	毕竟很碍事……
14	你不懂，我的赛钱箱一定会成为大祭的明星！
15	……
16	噗——哈哈哈！！！算了！这样也好——
17	是吧？百忙之中还能想到这种锦囊妙计，我都有点佩服我自己。
18	本来是担心您的状态才过来看看……看到您即使很忙，也还是精神抖擞的样子，我就放心了！
19	我、我有什么好担心的……
20	刚刚说的千万别泄露出去！要是因为你泄密导致大家对金·赛钱箱的新鲜值降低——
21	我、我一定不会说出去的！
22	对了——
23	我刚刚在回来的路上，看到兽道有群狸猫鬼鬼祟祟地集合在一起，我去驱散她们的时候，好像听她们提到了你……
24	诶！？我——？为什么？
25	具体我也没有听清，总之你最近小心点狸猫吧。
26	好的……
