ID	Context
0	猯藏小姐，您怎么会在这里？
1	老朽正在收集将会在博丽大祭代表命莲寺和神灵庙参赛的主力成员的情报——
2	……
3	有何不妥？
4	我有点不明白，您为什么要千方百计地让兽道取得胜利？
5	老朽以为自己已经说得很清楚了。如今妖兽势弱，所以——
6	就算妖兽势弱，处境会受影响的也只是我们这种弱小的妖怪。像您这种活了上千年的大妖怪，根本不需要担心这个问题吧？
7	呵呵。老朽有点小瞧你了……
8	我不想再莫名其妙地卷入什么事件。告诉我真正的原因吧！
9	事情并没有你想的那么复杂……好吧！既然是老朽先拜托你们的，也该拿出些诚意。老朽想让兽道夺冠，有三个原因——
10	幻想乡本土宗教是神道教，在人类与妖怪心中都有着无可取代的地位。可如今外来宗教的势头越发壮大，再这样下去，幻想乡的平衡恐怕难以维护。这对所有的妖怪来说，都不是一件好事。
11	尤其是，如果让其他势力得到了足以左右人类的庞大信仰力……
12	不、不能让任何一个势力处于幻想乡的主宰地位！
13	没错。掌握村子就是掌握了幻想乡，这可以说是所有妖怪都心照不宣的事。
14	居、居然是这么严肃的事情……
15	第二个原因，是老朽的狸猫手下一直生活在兽道，与兽道渊源颇深。若是能趁此机会为它们谋得一些活跃的机会，日后妖力也会上涨，这对我们狸猫一族大有裨益。
16	刚刚还说不能让一方势力壮大，结果却偷偷盘算着增强自己的势力……
17	老朽不过是想为小的们争取一些机会。多数妖兽不过是乌合之众，这点你应该也很清楚吧？
18	唔……
19	至于第三个原因，就只是老朽的私心了……
20	你或许不知道，老朽并非幻想乡本土妖怪，是受好友的邀请从外界跋山涉水而来。而老朽的好友，不巧正是这命莲寺的弟子。
21	命莲寺的！？
22	她本性率直，却有些心术不正。不择手段倒也无妨，只是她总不得其法，焦头烂额也还是离自己追逐的对象越来越远。老朽实在看不下去，若是能借此机会敲打一下她，让她涨涨教训也不错呐~
23	……
24	有您这样的朋友到底是该庆幸还是该哭啊……
25	哈哈哈。老朽已经把所思所想全盘托出，你如今可比老朽肚子里的蛔虫都还要了解老朽呐。
26	我是鸟诶！才不要做蛔虫。
27	这下你该安心了吧？接下来要好好和两边的弟子打好关系。记得——
28	知鸡知皮嘛。
29	是知己知彼。
30	……知道啦！
