ID	Context
0	麻雀老板娘——这边这边——
1	您是……我记得响子跟我说过……
2	咦？响子跟你提起过我吗？
3	嗯嗯！命莲寺有个入道使，好像是负责后厨的……
4	……
5	……
6	诶？没了吗？
7	就、就是这样……
8	呜呜……
9	怎、怎么啦？
10	我明明在圣大人身边呆了一千多年，也算是命莲寺的大弟子了，可是外面却对我知之甚少。
11	水蜜是放荡不羁的船长，鵺是真相不明的传说，星是毗沙门天的代言人，娜兹玲也是毗沙门天的弟子，就连新入门的响子，现在也有着夜雀食堂二当家的名头——
12	只有我——只有我还毫无存在感——
13	怎、怎么会呢……
14	那你说说，我给你留下了什么特别的印象？
15	您可是能够使役入道的人啊！那位……云山先生？有着这么威武的老爹跟在您的身边，您的回头率都要比别人高出不少呢！
16	那是云山的存在感强，不是我！
17	我也想有一些自己的特性！作为后厨，我最近也很努力地练习厨艺了……
18	这样不是挺好的嘛。
19	可是，我努力地钻研了这么长时间，却没有一个人品尝出我的努力！这是不是说明，我一点进步也没有？
20	唔……这样确实会很受打击……
21	是吧是吧？我就知道你一定会理解的。同为厨娘，你当然不会见死不救吧？
22	诶？有、有什么我可以帮得上忙的吗？
23	让我到你的店里去修炼吧！
24	来我的店里！？那寺院这边怎么办？
25	自从你在这边开了食堂，大家也不怎么吃寺院里的饭菜了……
26	我已经跟圣大人报备过，圣大人没有异议。如果我能在远近驰名的夜雀食堂学到两手，也算是改善命莲寺伙食了~
27	我也很想帮助您……但是我的店里已经雇佣了不少人……
28	我只要最低工资就可以了。而且你雇佣我的话，云山也会来帮忙！
29	用最低的成本获得两个帮工，这对你来说也是一件非常利好的事情吧？
30	唔……
31	成交——！那以后就多多指教啦！
32	好耶！多多指教——！
