ID	Context
0	您就是……影狼小姐说的人鱼小姐吗？
1	您、您好，我是若鹭姬——
2	若鹭姬小姐您好！
3	我很喜欢唱歌……听说了您的事，就拜托影狼约您相见……
4	难道说，您是我的歌迷吗？嘿嘿，我还是第一次和歌迷见面，这种情况是要准备签名板吗——
5	抱歉……我不太能欣赏那种太吵闹的音乐……
6	诶！？原来不是我的歌迷吗？那您找我是——
7	我、我想像您一样，能够肆意在大家面前唱歌……
8	那就唱嘛。人鱼的歌声据说很美妙呢，我也想听听！
9	唔、可是我……我在大家面前就唱不出来……
10	这样啊……那我有什么可以帮到您的吗？
11	我想知道，您是怎么做到克服羞耻心在大家面前放声歌唱？
12	羞耻心？怎么会有这种东西啊——
13	……
14	满脑子只剩下唱歌的欲望时，就自然而然唱出来了。
15	这是说，我的欲望还不够强烈吗……
16	没错没错。您首先要进行摒除杂念的修行，让自己的脑子里只剩下唱歌这一个念头。
17	摒除杂念的修行……您说得对，我最大的问题或许就是想得太多了……
18	我明白了！非常感谢您的指教！
19	不客气！您打算怎么做？
20	我打算去报名一些极限运动。将自己置身于无法思考的极限环境下，强迫自己摒除杂念！
21	咦？这个步子是不是有点跨远了……
22	我能跨出这一步，都是多亏了您。听影狼说你喜欢钓鱼，我就给你准备了这根鱼竿，希望能帮上你的忙！
23	可是……
24	您不喜欢吗？
25	不是这样的，只是……您不也是鱼吗？为我提供这种捕获同类的道具是不是太勉强了……
26	鱼类的价值观和地上生物的价值不一样，大鱼吃小鱼是很普通的情况。
27	甚至从本源来说，地上所有生命都来自海洋。所以在鱼类眼里，所有生物都可以说是同类。也就没有地上生物的这种讲究了。
28	原来如此。那我就不客气了！这根鱼竿……样子看起来很特别呢。
29	这两根鱼竿的体验是完全不同的。这根普通鱼竿是我和影狼一起做的，能够让您更轻易地钓到鱼。
30	这根高级鱼竿是我偶然在海底捡到的，据说有机会钓到各种鱼以外的东西……
31	不会是水底宝藏什么的吧~
32	我也很好奇你会钓上来什么。
33	如果您钓到什么有趣的东西，不如把它们收纳起来，说不定会很有意思哦。
34	好呀！我家里的地下室还有很多位置，到时候我再弄个陈列柜吧！
35	不过，高级鱼竿的使用难度会更高。还是等您习惯了钓鱼以后再使用比较好~
36	谢谢！我一定会常加练习，争取早日驾驭这根鱼竿！
37	面对任何挑战都丝毫不露怯，您真了不起。真希望我也能早日克服胆小的毛病。
38	我觉得您一点也不胆小哦。我也希望能早日听到您的歌！ 
39	是！我会努力的——
