ID	Context
0	幽香小姐，那个……
1	……
2	莉、莉格露她……是我的老朋友……
3	那个……她性格直爽，有时候说话比较直，但心地很善良……
4	你想说什么？
5	莉格露似乎经常打扰您……如果她有什么地方冒犯到您了，那一定不是她的本意……
6	她非常、非常仰慕您……所以才……
7	……
8	你为朋友担心的心情我可以理解。但这是无用之功——我不会随便对朋友出手。
9	朋友？……您能这样说，我就放心了！
10	……
11	那，如果我对她出手的话，你打算如何阻止我呢？
12	我、我……
13	我拼尽全部力量，也要带她一起逃跑……就、就算跑不掉变成花肥也……
14	虽然有勇无谋，但也算是有一颗侠肝义胆……你们很像呢。
15	嘿嘿。所以我们才会是好朋友嘛——诶？这么一说——
16	您和莉格露是怎么成为朋友的呢？您和她完全没有相似相通的地方诶……
17	呵呵，有的哦——
18	身为花之领主的我，与身为虫之末裔的她，都有着一颗惜花之心。
19	唔，花与虫……还有虫与鸟……
20	怎么了？
21	没什么，就是觉得……这个世间的羁绊真有趣！
22	……
23	啊……原来您也会这样笑呢……
24	……
25	我有点明白，为什么莉格露总往花田跑了。我也……我也想更了解您！
26	你们这些年轻的妖怪有时候还真是……坦率得让人难以招架。
27	怎么会呢~幽香小姐，这片花田一直都是您自己在打理吗？感觉会很辛苦的样子。
28	这片花田其实不太需要额外的打理。我之所以给花儿浇水施肥，只是因为我喜欢做这些事而已。
29	啊！就像我喜欢做料理一样！大家虽然总说我很辛苦，但其实我乐在其中！
30	料理吗……我最近偶然得知了一道还算有趣的新食谱，如果你那么喜欢“做料理相关的事”，要试试看这个吗？
31	咦？幽香小姐的食谱……？！请、请指教！
32	呵呵。也不是什么了不起的食谱。我将这道菜名为“绿野仙菇”，本质上只是野菜拌蘑菇罢了。
33	野菜拌蘑菇啊……
34	虽然听起来简单。但越是普通的工艺，越是考验料理人的水平。
35	说的也是！这可是厨师的初心呐——
36	难得幽香小姐教了我新食谱，我会用心去做的！
