ID	Context
0	你看起来很开心的样子。发生什么有趣的事了吗？
1	哈哈！刚刚有人类以为我只是个人偶，竟敢伸手来碰我。我一下子就让他的手烂掉了~
2	……
3	不好笑吗？
4	唔……之前就想问了，你为什么这么讨厌人类呀？是因为……曾经被人类抛弃的过去吗？
5	哼。人类总是这样，高兴的时候恨不得把一颗心都捧给你，厌烦后就马上弃之如履。
6	他们的爱就和他们的寿命一样短暂。完全不值得信任。
7	或许，正因为他们的寿命短暂，所以爱恨才来去如风？
8	这根本不是理由。宠物的寿命更短暂，却能一辈子忠于主人。
9	大概也不是所有人类都喜新厌旧吧……
10	你为什么总向着人类说话？你和人类关系很好吗？
11	还可以吧？毕竟人类也是我的客人。
12	……
13	哼。和卑劣的人类狼狈为奸的家伙，不是我的朋友！
14	欸！？
15	比起我，你一定更喜欢人类吧？你也是个讨厌鬼！
16	……
17	别生气啦。我不向着人类说话了。
18	不相信！
19	我没想到人类对你造成的伤害竟然这么深……
20	仔细想想，你还只是个新生妖怪，那些痛苦的过去一定还历历在目。我确实不应该在你面前袒护人类……
21	……
22	你知道吗，这片铃兰山丘其实是有名字的。它的名字就叫“无名”。这里被称为“无名之丘”。
23	明明有名字，却又被称为“无名”，你知道为什么吗？
24	……为什么？
25	因为这里曾经是遗弃之地。
26	遗弃之地……好像在哪里听过这个称呼……
27	没有名字的婴儿被丢弃在有毒的铃兰丛中，沉睡着死去。尸体会被妖怪吃掉，消灭得一干二净。
28	怎、怎么会这样——
29	这是很久以前的事了。因为有着这么黑暗的过去，现在几乎没有人类接近这地方。
30	后来，就连妖怪也不来了。于是这里成了被幻想乡遗忘之地，是为“无名”。
31	……你才妖怪化没几年，怎么会知道这些事？
32	是铃铃告诉我的。就算人类和妖怪都遗忘了，这些过去也会永远刻在这片土地上，成为滋养这片铃兰田野的土壤。
33	……
34	不对，不应该是这样的。
35	什么？
36	我想起来了。过去确实有个关于“遗忘之地”的传言，那里的婴儿会被喜欢恶作剧的妖怪带走养大——
37	……哈？
38	你刚成为妖怪不久，所以你不太了解——
39	以前，幻想乡还没有被结界包围的时候，无论人类和妖怪的处境都不算太好。
40	身为父母不想见到自己的孩子死掉的情景，大概是想着若丢在这里，说不定能变成妖怪而活下去……
41	……
42	这几百年里，幻想乡因为被结界保护起来，人类和妖怪都过着相对舒心的生活，已经很少有人回想起过去的事了……
43	要不是认识了一个天天把过去的苦难放在嘴上念叨的家伙，或许我也想不起来。
44	我们都很幸运能够活在如今的幻想乡里。梅蒂欣，一直背负着沉重的过去，会变得难以前进。试着朝前看吧？
45	……怎么样才算朝前看呢？
46	比如寻找一个自己愿意为之努力的梦想？我就是因为有着开演唱会的梦想，每天就算再苦再累也非常开心哦！
47	所有的汗水，都在告诉我离自己的梦想越来越近了。等我把演唱会举办起来，也欢迎你来玩哦！我会给你准备最好的听众席位！
48	唔。这么说的话，我也是有梦想的。
49	真的？是什么呀？
50	那就是，从人类的手中解放人偶！
51	是呢！你有着这样的梦想呢！
52	不过现在还没有人偶愿意追随我……
53	毕竟像你这样能够自主行动的人偶太罕见了。
54	但无论如何，我是不会放弃的！为此，我要走出无名之丘，去更多的地方，寻找更多可能！
55	说得真好！加油！我永远支持你！
56	谢谢！铃铃说，你经常四处采集食材，我在寻找伙伴的过程中，也可以帮你采集食材哦！
57	哇——那就太感谢你了！
58	嘿嘿。梦想确实可以带来无限的力量。我们一起努力吧！
59	好！一起努力！那对于人类——
60	还是讨厌！不过……以后下的毒会减少一些就是了。
61	也算是个进步吧……
