ID	Context
0	老板娘，怎么一直看着手发呆呐？
1	啊，文文小姐……唔……不知道什么时候，手好像被刀割了一下。
2	是不是做菜的时候没注意割到了？
3	不可能啦！唯独这个我是相当自信的哦！
4	那是在别的地方被割到了？
5	唔……
6	偶尔不是会有这种情况吗——
7	手腕或者脚踝上突然出现像被刀割过的伤口，但既没有流血也没有疼痛感。据说是什么妖怪干的来着？
8	啊。你是说镰鼬呐——
9	文文小姐知道呀？
10	当然。这是很古典的妖怪了。传说镰鼬以旋风的姿态出现，用镰刀一样的利爪袭击行人。
11	诶诶！？可是，为什么我没有被攻击的感觉？
12	传说镰鼬是三兄弟一起行动，第一只将人绊倒，第二只将人割伤，第三只涂抹伤药。
13	被袭击的人还在恍惚间，他们就已经完成了一系列动作了，所以一般人根本察觉不到他们的存在。
14	那他们的动作得有多快呀……
15	还行吧。和我比起来只能算是勉强合格的程度。
16	诶诶！？只是勉强合格吗？
17	呵呵。我们天狗可是操纵风的一族。风就是我们的象征，速度是我们最大的武器。
18	也因为天狗拥有无法比拟的速度，所以人类才会把那些他们无法理解的山里的奇特自然现象，都认为是天狗干的。
19	这个我也听说过！比如“天狗风”、“天狗倒吊”之类的？
20	没错~而我的速度就算是在天狗当中，也属佼佼者哦~
21	那、那得有多快啊……
22	那就特别给你展示一下吧——
23	来眨一下眼睛——
24	眨眼睛？好、好的……
25	那我要睁开了哦。
26	文文小姐？
27	怎么样？
28	……这不是什么都没有发生吗？
29	你看看这是什么——
30	什么？……这、这不是我早上拿出来解冻的肉吗！？
31	呵呵。小麻雀家里藏了不少好东西呀~
32	就这么一眨眼功夫，您就从我的家里走了个来回吗？
33	不相信的话，可以再试一次哦~
34	不、不用了……
35	看到这些肉我也有点馋了，把它们烤了吧？
36	这些肉是为晚上开店准备的啦。
37	还真是一板一眼啊。那就这样好了——
38	你给我弄点好吃的，我教你一道新料理如何？
39	唔……
40	放心，吃不了你多少肉啦。
41	好吧！那您等我一会！
42	还说吃不了多少肉……
43	老板娘，这么小气可是做不了大生意的哦~
44	……到底是什么新料理呀？
45	呵呵，这可是我独创的料理，一般人我真不告诉她~
46	到底是……
47	好记性不如烂笔头，我已经把步骤和材料都写在了这张纸上了~
48	我看看——
49	唔嗯……居然把烤肉摆成风的形状……
50	唔……烤到三成熟吗？嗯……我大概知道该怎么做了！真是简单易懂的笔记！
51	毕竟我是专业的新闻记者呐。
52	等我做出来以后，欢迎您到店里品尝哦！
53	呵呵。那就期待老板娘的味道了~
