ID	Context
0	每次来到这里都觉得很惊讶。说起来，为什么这座城是颠倒的呢？
1	这都是因为……我手中的小槌的力量。
2	这就是正邪小姐一直想要的槌子吗？
3	没错，这是一寸法师治退了鬼以后得到的鬼的秘宝——能够实现一切愿望的万宝槌。
4	哇！真的什么愿望都可以实现吗？
5	当然。不过，毕竟是鬼的法宝，在实现愿望的同时，必须付出同等的代价。
6	法师很清楚这一点，所以他除了许愿获得长大的身体外，没有再使用过万宝槌。
7	只是这种程度的愿望，应该不至于让小人族陷入现在这种如同诅咒般的困境吧？
8	时移势易，辉针城之所以会是现在这样，是因为……继承了万宝槌的其中一位先人打破了祖先的禁忌，使用万宝槌穷奢极欲。
9	然后，许下了最后一个愿望——
10	“我要建起一座豪华的城来统治人民。”
11	难道说——这座城就是——
12	没错。就是这座辉针城。
13	万宝槌的魔力终于耗尽。然后，悲剧就这样发生了。
14	辉针城整个逆转，城池连同小人族一起被幽闭在这个无人踏足的世界。
15	原来是这样……
16	过于巨大的愿望，其代价可能会在愿望本身实现之前就显现。
17	小人族终于明白了这个道理，所以再次封印了万宝槌。
18	既然被封印了，为什么会在您手上？
19	那是因为……这些关于万宝槌的历史，实在是过去太久了。
20	小人族也没有任何人提起过去的事，我什么都不知道……直到正邪找到了我。
21	她对我说了许多关于小人族所受的屈辱、万宝槌强大的力量、以及让小人族蒙受耻辱的幻想乡的妖怪们。
22	我信以为真，发誓要和她一起报仇……于是动用了小锤的力量。
23	正邪小姐确实很擅长花言巧语，不然也不会召集这么多不良妖怪……
24	说起正邪小姐，其实我一直不明白，您为什么这么纵容正邪小姐在您的城里胡作非为呢？
25	在你看来，我这是在纵容正邪吗？
26	您应该很清楚才对。这座城与其说是小人族的城池，不如说是不良的根据地。
27	就算是这样……
28	我们小人一族因为身体特征力量总是很弱小，也没有什么能当同伴的人，待狡兔死即走狗烹。
29	能有异族的同伴，是件非常难得、非常高兴的事……
30	……
31	在大家心中，或许正邪只是个擅长花言巧语的、自私自利的天邪鬼。
32	就算她曾经骗了我，但她描述的一个个弱者反对霸凌、让被欺压的阶层翻身成为自己的主人的故事……确实打动了我。
33	而且她还是……世上最了解我的人。是我的……第一个朋友……
34	让我多少有些……恻隐……
35	虽然……我不会讲动人的故事……
36	但是，我可以为你做出富含故事性的料理！我、我也……
37	我也是您的同伴！
38	米斯蒂娅……
39	我是说真的！您等一会，我马上就为您准备！
40	……
41	笨蛋，我也没有说不是啊……
42	怎么样，这些都是富含文化底蕴的料理，您觉得有趣吗？
43	很有趣哦！谢谢你为我做的这些！
44	嘿嘿，能让您打起精神就好！
45	谢谢你，我也想回馈你什么……对了，我正好知道一个料理故事。你想听吗？
46	想——我非常想！
47	这道料理叫做“汉宫藏娇”。用豆腐的洁白来形容貂婵的纯洁，以泥鳅的钻营来影射董卓的奸滑。
48	在热汤中挣扎得无处藏身的泥鳅，就是入冷豆腐中，还是逃脱不了被烹煮的命运。
49	这就是暗喻貂蝉使美人计离间董卓和吕布，最后借吕布之手除掉恶贼董卓的故事。
50	真是一道有趣又及时的料理！
51	及时？
52	最近八目鳗泛滥，我正愁不知道该怎么处理呢！
53	为什么是八目鳗？不是泥鳅吗？
54	八目鳗和泥鳅都差不多啦，钻到豆腐里更是谁都看不见了~
55	你有时候也挺像一只泥鳅的呢……
