ID	Context
0	这、这里就是破坏神的房间——
1	????::……
2	????::咲夜？
3	妹妹大人，这位就是——
4	????::啊——！！来了吗？！！
5	你就是、就是姐姐她们的新朋友吗！？
6	你也来和芙兰做朋友了吗？芙兰太高兴啦！！！
7	哎哎？？
8	难道……这位就是……
9	容我正式介绍。这位就是我们家的妹妹大人，芙兰朵露·斯卡雷特。
10	你就是夜雀食堂的老板娘，对吗？确实是应了芙兰的邀请、从很远的地方来到这里和芙兰一起玩的朋友，对吗？
11	没错……就是这样。
12	耶————————！芙兰太开心了！那么我们就立刻开始吧！
13	你是最最最最重要的朋友！芙兰不会让重要的朋友受伤的！就放心地和芙兰玩吧！！
14	咲夜小姐！芙兰小姐看起来并不是没有分寸的人呀？！明明是那么的热情、活泼，也有着相当程度的理性……
15	是呀，你越了解她，就会越喜爱她，放心去玩吧。
16	突然觉得心里的阴霾都散尽了！
17	好久没有好好地玩过了，我也开始有点兴奋，翅膀尖都感觉热起来啦！
18	那是妖怪的本能吧。刻在本能里、对胜负追求和对赢的渴望。
19	好！芙兰也不会输哦！接下来要向你介绍芙兰的朋友们，也是这次比赛芙兰的战友们！
20	没问题！
21	呀呀呀呀呀——！芙兰朵露登场！有本小姐在场，是不会输的！！
22	哼，就凭你真的能和我一较高下吗？
23	这么多年了……我第一次和别人玩对战游戏……这次之后还要等多少年呢？……
24	哈哈哈哈！那些都不重要！大家一起享受现在吧！当下才最重要不是吗？！
25	诶诶诶诶？！？！——
26	芙兰小姐？！有四个？！
27	是哒！有四个人哦！吓到你了吧？！嘻嘻嘻嘻嘻！
28	连这件事都不知道就敢说要和我做朋友吗？绝不会认同你的！
29	在长达百年的生活中，我自己与自己对话……自己与自己玩耍……自己扮演很多角色……
30	结果一回过神，就有了这么多的芙兰和芙兰一起玩哦！芙兰一点都不寂寞啦！
31	如妹妹大人所说……这是她在长久独处的生活中，自然而然形成的能力。
32	将各种情绪具现化，变成不同人格的自己，让每个情绪各自宣泄、挥发……
33	最后维持稳定的自己。
34	……
35	要维持这些错乱的情绪异常辛苦，但是妹妹大人她……坚持下来了。
36	这也是我的请求，请拿出你最好的状态，和妹妹大人来一场旗鼓相当的游戏对决——
37	让她痛痛快快地比一场吧！
38	我知道了！我会全力以赴！一起好好享受这场游戏的！
