ID	Context
0	哦！老板娘——来得正好——
1	听说你在那个颠倒之城也开了分店？
2	是啊……
3	怎么这么想不开？那个地方就算开发观光，也基本不会有什么人去。
4	为什么这么说？
5	区区一个天邪鬼，先是哄骗了小人族的公主，又召集了一群乌合之众。整日没件正事，把整座城弄得乌烟瘴气。
6	就算有按耐不住好奇的家伙不辞辛苦地飞上去，遇到的也尽是些拦路打劫的小混混。
7	城池也因为年久失修而荒芜不已，总也不会有人再去第二回了。
8	……
9	怎么了？
10	您不是在报纸上说，那座城是千载难逢的观光胜地吗！？我就是看了那个才去的！
11	哎呀呀。在报纸上刊登广告这种事，应该已经见怪不怪了吧？
12	……算了。那座城虽然算不上什么观光胜地，但其实也没有您说的那么差。
13	哦？
14	小人族虽然不太擅长照顾自己，但是他们都很友善守礼，听她们讲故事还挺有趣的。
15	少彦名神的后裔是这个样子，也难怪会被一群乌合之众欺负了。
16	不良妖怪不是乌合之众，他们其实都是很质朴的人！不仅没有欺负小人族居民，还经常接济他们……
17	那么拦路抢劫呢？
18	那是因为正邪小姐对他们说，起义需要经费……不过他们也只是虚张声势的程度，并没有真的伤害过别人！
19	起义？
20	对……正邪说她要带领弱小的一方颠覆幻想乡，所以她们自称是起义军。
21	竟然妄想颠覆幻想乡……这真是……
22	太棒了——！
23	诶？
24	这可是非常棒的新闻素材哦。多谢你的情报，之后我也去那儿看看吧~
25	……您放弃报道幽香小姐了吗？
26	当然不是！只是多做两手准备而已——
27	那些上了年纪的老妖怪都不爱动弹呐。那位花田暴君一天到晚不是在赏花就是在种植，新闻取材几乎没有进展。
28	真是的。就不能做点更符合自己称号的事情吗？
29	……幽香小姐的称号好像是四季的鲜花之主吧？
30	总之！我是不会因为一点挫折就放弃新闻的。不屈不挠是记者的必备品质哟~
31	好——趁着这股劲，继续取材去吧——
32	……那祝您好运吧…………
