ID	Context
0	你还有什么不明白的吗？
1	那么，我要去哪里找这些游戏伙伴呢？
2	关于这方面，我刚刚已经拟定了几个人选。
3	这个组合的话，不至于完全压制妹妹大人，也不至于一下子就被妹妹大人灭掉——
4	还真是滴水不漏呐。
5	呵。我家的这个素来有完美潇洒之名哦~
6	当然，是否能够邀请她们参与，就要看你和她们的亲密程度了。
7	如果亲密度不足……
8	要抵挡妹妹大人的进攻，最低限度要有三个伙伴。在此基础上，伙伴越多，在游戏中的优势也会越大。
9	我、我明白了……
10	确实已经都清楚了吗？需要再说明一次吗？
11	我明白了……如果是这种游戏风格的食堂比赛，那我觉得可以……
12	是吗？既然本人也没问题了，咲夜就开始准备吧。
13	是。接下来我就按照计划对妹妹大人的房间进行布置和准备。
14	那么你也清楚自己要做什么了吧？
15	是……去寻找伙伴，对吗？
16	呵。你的鸟脑袋也不完全装不住东西嘛。
17	那么你就好好地邀请可靠的人吧。如果你准备好了，就去找帕琪，她会为你引路。
18	能够参与的人越多，她就会越开心，要记住这一点。
19	……我、我会尽力的……
20	那么就这样。绝对不能搞砸了——
21	是、是！！
22	那么，我也得回去好好准备版面——
23	这次的头名一定是我呐！
24	……
25	……
26	咲夜小姐，您有什么想说的吗？
27	……
28	即使是红魔馆中，和妹妹大人友好的妖怪也不多，看起来就像被孤立了一样……也很少和大小姐在一起。
29	大小姐她也……总之，多谢你愿意陪妹妹大人玩。
30	咲夜小姐……
31	您放心！既然我答应了，我一定会全力以赴，让芙兰小姐玩得开心的！
32	一直以来，妹妹大人都是帕秋莉小姐在看护。请记住，等你准备好了，就去找帕秋莉小姐。
33	好的！我也会尽快邀请到……诶！？您刚刚给我的名单去哪里了！？
34	没记错的话，你刚刚把它夹在了你的笔记本里。
35	啊、好的……
36	……
37	如果你还有更重要的事，等你忙完手头上的事情再来陪妹妹玩也可以。
38	我明白了。
39	毕竟妹妹大人她……已经很习惯等待了。
40	……
41	我会尽快完成任务的！
