ID	Context
0	这个游戏的规则是将食堂分为三个区域。
1	首先是右边的进攻区。
2	然后是左边的防卫区。
3	以及上方的战术区。
4	我、我明白了……
5	进攻区在游戏开始后，妹妹小姐将扮演“鬼”，从右边出现，逐渐向左边靠近。
6	她会一路破坏障碍、也就是客人的桌子，任意一个分身抵达最左边的终点的话，你就输了。
7	当然，不用担心，被破坏的桌子我们家的门番会负责修的。
8	在防御区域，你可以召唤你的伙伴来阻挡“鬼”的前进。
9	走近你想要放置伙伴桌子。
10	与之交互就会看到可以放置的伙伴的列表。
11	选择一个对象，就可以让她在这里防守了。
12	放置伙伴需要一定的消费，用你的剩余P点来交换。
13	每个伙伴的消费不同，要合理安排。
14	伙伴被放置在桌子上后，就会自动使用她的特色技巧来阻挡“鬼”的进攻。
15	你呢，则利用厨房，来给大家制作她们喜欢的食物。
16	哦！这个……我没问题！
17	第一次提供满意的食物，她们的普攻水平就会上升；第二次提供满意的食物，她们就会释放符卡。
18	但是伙伴释放符卡后，就会回到普通状态，需要给她们好吃的来重新升级。
19	合理的利用符卡来解决危险的局面，是胜利的关键哦。
20	总之就是一直给她们喜欢的好吃的就没问题了对吧……
21	不错不错。虽然你的脑袋简单，但总能抓住最关键的问题呀。
22	但是，如果伙伴被“鬼”碰触到了，就视为被“鬼”抓住，必须立刻下场，等待一段惩罚时间后才能再次被召唤。明白吗？
23	……原来如此，确实有鬼捉人游戏的感觉了。
31	当然，如果你有战略需要，也可以像营业时驱赶客人那样主动请离伙伴。伙伴离场后可重新布置位置，这种情况是没有惩罚时间的。
24	最后是战术区域，这是你的主场，在这里制作菜品，取酒水给伙伴们。
25	红魔馆的魔女届时会出现在这里，每隔一段时间，她会随机给三张额外符卡注入好魔力。
26	只要支付一定的P点，就可以发动影响整个战场的超威力效果哦！
27	总共有金木水火土日月七种，效果丰富，这可是对你的大福利呢。
28	这个机制是帕琪强烈要求的。她觉得自己不介入的话，会很不放心。|当然，她不希望你知道此事，你就假装不知道吧。
29	原来是师父吗？她对我真好！！呜呜……
30	游戏的规则大概就是这些了，更多的内容，我会在游戏正式开始时补充给你。
