ID	NAME	Description
4000	小人族	传说中是少彦名神的后裔一族，身长只有一寸左右。因为一直在城里没有出去过，所以普遍缺乏常识，但拥有很强的求知心，对外界十分向往。
4001	不良少年	正邪从幻想乡四处蛊惑来的各种族男性，几乎都是对未来感到迷茫的年轻人，对于正邪提出的“宏图伟业”感到热血沸腾而追随于她。但似乎现在更加迷茫了……
4002	不良少女	正邪从幻想乡四处蛊惑来的各种族女性，几乎都是对未来感到迷茫的年轻人，对于正邪提出的“宏图伟业”感到热血沸腾而追随于她。但似乎现在更加迷茫了……
4003	玩具兵	因为万宝槌的力量而活过来的道具。似乎受哪位高人指点，将体内本该被回收的小槌魔力转化成了自己的魔力，从此得到了真正的生命。
4004	铃兰花精	寄宿在铃兰花中的妖精。每天都在致力于解开“梅蒂欣小姐说的铃铃究竟是谁”之谜，目前的悬赏已经高达九十九颗“史上最圆的石头”，依然没有人能解开谜题。
4005	太阳花精	寄宿在向日葵中的妖精。据说向日葵之所以一直向着太阳，就是因为她们偷偷躲在背后给花转向。这一招把不少人类都骗倒了，是她们引以为傲的绝技。
4006	玫瑰花精	寄宿在玫瑰花中的妖精。不知道她们从哪里听说，玫瑰是某颗星球上独一份的、最娇贵的花，于是掀起了要集体搬家的热潮。不过还没有妖精成功。
4007	影女	性质上介于幽灵和怨灵之间的灵。似乎因为离世的时候怀有怨恨，所以喜欢对人类恶作剧。夜晚在屋中看到一个人的影子来回走却找不到人，就是影女捣的鬼。模样看起来有些阴沉，其实都是装出来的。
4100	红色妖精	被红魔馆的主人拉来和芙兰朵露玩游戏的红色妖精。
4101	黄色妖精	被红魔馆的主人拉来和芙兰朵露玩游戏的黄色妖精。
4102	蓝色妖精	被红魔馆的主人拉来和芙兰朵露玩游戏的蓝色妖精。
