ID	Context
0	那边好热闹呀——
1	这是在干什么？妖精的圆桌会议吗？
2	是你啊——
3	咱正在讨论一会儿玩什么游戏咧！
4	这么热的天气，玩打水仗之类的怎么样？
5	这个昨天已经玩过了。
6	森之妖精::要不要去森林玩？我过来的时候看到妖精们好像在抓独角仙呢。
7	抓虫子有什么意思……
8	嘿嘿——抓虫子我也很擅长哦！
9	因为是麻雀嘛——
10	哈？咱才是最强的！不就是抓虫子嘛，看咱抓个最大的回来！
46	太阳花精::那就来比比谁抓的虫子最大吧！
47	铃兰花精::好呀！我的毒可以轻松放倒虫子，绝对不会输给森林那边的妖精哦。
48	森之妖精::这话我可不能当没听到。
49	玫瑰花精::就像魔法森林和太阳花田的比赛一样呢。
50	诶诶！别忘了湖那边的妖精！那可是咱的地盘呢！
51	太阳花精::那索性把山那边的妖精也叫上吧！
52	不就是抓个虫子吗？几乎发动全幻想乡的妖精了……
53	有什么不好的！就这样决定了——
11	会议结束——出发抓虫子咯——
12	……
13	还真是有精力啊……
14	你不去吗？
54	毕竟我是凤蝶妖精嘛。
55	那又怎样？
56	既然是抓昆虫游戏，我就在这里等着谁来抓我就好了～
57	……
58	哎呀——还是这种悠闲的游戏好呀。昨天玩什么打水仗，把我弄得够狼狈的。
59	悠闲？……你不喜欢打水仗吗？
15	唔，我不太擅长应付水呢。
16	为什么？
17	这个嘛……大概是因为蝴蝶的呼吸器官在腹部，要是腹部的通气孔被水堵塞就不能呼吸，会被淹死哦。
18	/
19	居然是这样——
20	不过我是妖精，所以还是不会被淹死啦。
21	讨厌，你故意逗我呢~
22	嘿嘿。算是小小的报仇吧。
23	诶？……我对你做过什么吗？
24	就是因为你跑到花田开店，所以这边才越来越热闹了啊。
25	那不是很好吗？
26	哎。花田里的妖精数量太多了，本来就有种人口密集的感觉，现在连游客也多起来了，真是没法住了啊……
27	你和其他妖精很不一样呢。
28	说不定我根本就不是妖精哦——
29	啊！？
30	逗你玩啦~
31	讨厌啦——
32	你还真好玩。在你的店里工作应该会很有趣吧？
33	很有趣哦！每天都快乐得热火朝天呢！
34	看起来很忙呢……要不要我去帮忙？
35	咦？
36	反正闲着也是闲着嘛~
37	不是我自夸……客人很多哦？不喜欢热闹的你没关系吗？
38	我没有不喜欢热闹，我只是讨厌睡觉的时候被吵醒而已。所以我最近计划在搬家……但还是会回来这边玩啦。因为这边热闹嘛~
39	有点搞不懂你呢……
40	要的就是这种感觉哦——那就这样说定了咯~
41	诶？等等——
42	放心啦。不会让你失望的。
43	……真是奇怪的家伙。
44	既然你这么有信心，那我就试用一下你吧！
45	嘿嘿。晚上有地方玩了——
