ID	NAME	DECRIPTION
5000	创造与无限的证明	获得神绮的造物者之盒后的奖励
5001	捕获反狱王的证明·简单	在剧情中捕获反狱王宫出口瑞灵后获得
5002	捕获反狱王的证明·普通	通过月都终端模拟，在至少激活了一个恶咒的情况下捕获反狱王宫出口瑞灵后获得
5003	捕获反狱王的证明·困难	通过月都终端模拟，在至少激活了两个恶咒的情况下捕获反狱王宫出口瑞灵后获得
5004	捕获反狱王的证明·疯狂	通过月都终端模拟，在激活三个恶咒的情况下捕获反狱王宫出口瑞灵后获得
5005	万物皆可肉鸽？	通过月都终端模拟，进入生存模式
5006	肉鸽的灵魂在于选择	生存模式中，首次激活三花的营业卡牌
5007	你所不知道的卡牌黑市	生存模式中，在一场夜间营业里累计激活18次三花的营业卡牌
5008	强欲之夜雀	生存模式中，累计抽取100张三花的营业卡牌
5009	鱼肉菜蛋，营养管饱	生存模式中，在一场夜间营业里激活了「万物丰穰」、「三头犬捕兽夹」、「三途川牛鬼鱼市」、「秘宝探测器」四种类型的卡牌
5010	完美的黄金回旋！	生存模式中，使用卡牌「怒押必中」以最高条件获得以下之一的酒水返还：晓/十四夜/火鼠裘
5011	大吉猫咪的聚宝功	生存模式中，首次激活三花的全局卡牌
5012	Buff栏要塞不下了！	生存模式中，累计收集9种不同的全局卡牌
5013	宝货盈门，金卡满堂	生存模式中，累计收集24种不同的全局卡牌
5014	鸟脑袋的地狱试炼官	生存模式中，使用卡牌「鬼渡试炼」并成功完成一次试炼
5015	一个筋斗，这头到那头	生存模式中，移动力达到5
5016	一元购	生存模式中，香霖堂折扣率达到90%
5017	粮粮粮粮粮草征收人	生存模式中，香霖堂出售材料数不少于300%的情况下买空香霖堂的食材页面
5018	风风火火闯九州	生存模式中，妖怪兽道、人间之里、博丽神社、红魔馆、迷途竹林的雀食堂等级都达到3级且至少开过一次店
5019	轮回·终末	生存模式中，五种"危险卡牌"都抽取过至少一次
5020	擦弹与决死	生存模式中，任意一次营业在不超过营业额的110%的情况下极限过关
5021	记忆开始收束？	生存模式中，获得80种菜谱
5022	千金散尽还复来	生存模式中，最高收入达到10000
5023	富可敌魔理沙	生存模式中，最高收入达到30000
5024	能收购八云钱庄程度的资产	生存模式中，最高收入达到60000
5025	香霖堂至尊VIP客户	生存模式中，累计在香霖堂消费20000
5026	收集狂	生存模式中，收集率达到100%
5027	胜利的法则已然确定	生存模式中，完成20波次通关要求
5028	生存模式制霸的证明	完成全部的生存模式成就
5029	代理巫女	生存模式中，解决1次“异变乱流”
5030	恶属性效果绝佳	生存模式中，不通过喂饱幽幽子幻象的方式解决“异变乱流「墨染之樱」”
5031	结束了…再一次…	生存模式中，喂饱幽幽子幻象解决“异变乱流「墨染之樱」”
5032	实石求石	生存模式中，卡牌「汉诺塔垒石」数量达到9
