EnumId	Name	Description
Ellen_LoveCandy	甜蜜茶会	糖果茶会时间！所有的客人都会在完成订单后掉落一颗蓬松松糖果。剩余$a秒
Ellen_BlackCat	抛下狠话	伙伴受到了苏格拉底的威吓，移动速度下降$b%，工作速度下降$c%！剩余$a秒
Mima_GreatMagic	幽玄大魔法	魅魔的「幽玄封魔阵」开启中……\n当前能量$a点
Mima_Paranoia	恶灵缠怨	受到魅魔的魔法影响，无法获得夜雀之歌效果，且使用特殊厨具时无法激活效果，剩余$a秒
Mima_GreatMagicPlus	时空一粟	制作料理瞬间完成；\n制作料理不消耗食材；\n全场顾客至少给出$b评价；\n剩余$a秒
Luize_GulliverTravelBook	幻想游记	露易兹的魔法相机会记录离场的稀客，当前剩余$a次
Luize_GulliverTravelBook_2	旅者博客记录：$a	旅行日志:\n姓名：$a\n续单上限:$b\n预算:$c\n当日结束时解放并投影
Luize_CinderellaBook	午夜时分	倒计时结束后，强制驱逐店内客人并关店。当前倒计时：$a秒
Luize_CinderellaBook_2	灰姑娘之笼	在当日结束时开始午夜时分的$a秒倒计时
Reisen_RabbitFeast	Rabbit House	当场上出现兔子时，随机获得1个食材或酒水，剩余$a秒
Reisen_CrazyBullet	酒醉迷乱	全场顾客对不含有“$a”标签的酒水评价等级只会为$b，剩余$c秒
Yukari_BuffFrozen	永恒结界	冻结所有的Buff时间，持续至当日结束
Doremy_Dream1	迷梦能量·浅眠	每个迷梦能量减少$a%哆来咪制作料理所需的时间，当前减少$b%
Doremy_Dream2	幻梦能量·深眠	每个幻梦能量增加$a%哆来咪制作料理不消耗食材的概率，当前概率为$b%
Sara_MakaiSalmon	时盛运旺	每隔一段时间从整个幻想乡随机邀请稀有客人前来，且普通客人不会来店，持续至热火朝天结束
Yorihime_KamiOracle	神耀桂冠	当稀有客人产生低于$c的评价时，消耗一层引发神迹，将评价提升至$c。当前剩余$a层
Yorihime_KamiPunishment	神灵圣裁	带有“$b”标签的料理或使用带有“$b”标签的食材制作的料理无法被制作，剩余$a秒
Toyohime_Positive	山海千重	链接了地点:$a
Toyohime_Negative	天地未形	放逐了稀客:$a，使她们在今晚不再出现
RogueLike_Buff_MoreMoney	生意兴隆！	收入提高$b%，剩余$a秒
RogueLike_Buff_FreeBev	量子酒水	返还酒水，剩余$a秒
RogueLike_Buff_InstantHit	怒押必中！	下$a次米斯蒂娅本人完成订单获得评价时，返还食材与酒水
RogueLike_Buff_DriveGuestFree	黑道新星	允许无代价驱逐客人，剩余$a次
RogueLike_Buff_Sagume	因果箴言	全场顾客对含有$a的料理评价等级至少为$b，剩余$c秒
RogueLike_DangerousBuff_Nurgle	诅咒之血火	客人续单率下降$a%
RogueLike_DangerousBuff_Slaanesh	黄泉之狭间	不消耗食材，但是只能制作菜单上的料理
RogueLike_DangerousBuff_Tzeentch	灵魂之呓语	提高$a%客人刷新速度，且稀有客人忘记点单内容，但是期间耐心不减失效且衰减速率提高至$b%
RogueLike_DangerousBuff_Khorne	噬龙之蛊虫	收入提高$b%
RogueLike_DangerousBuff_Khorne_DeBuff	蛊毒反噬	收入降低$b%
DLC5_BOSSBattle_Tan	反狱恶咒·贪	料理开始制作后，其使用的食材在$a秒内被封印，包含被封印食材的料理无法制作（不包括噗噗呦果）
DLC5_BOSSBattle_Chen	反狱恶咒·嗔	耐心不减失效且衰减速率提高至$a%
DLC5_BOSSBattle_Chi	反狱恶咒·痴	每隔一段时间，瑞灵将会尝试入侵灵魂，若未能躲避则受到灵魂冲击：失去热火朝天效果，移动反向，微动之眼充能速率降低
DLC5_BOSSBattle_Chi_2	灵魂枯竭	移动反向，微动之眼充能速率降低，剩余$a秒
DLC5_BOSSBattle_Tan_2	贪婪偏执	包含$a食材的料理在$b秒内无法被制作
DECORATION_FORBID_NORMAL	门无杂宾	当晚不会生成普通客人
DECORATION_FORBID_SPECIAL	杜门谢客	当晚不会生成稀有客人
DLC5_DEVILSRECITATION	魔神复诵	魔人经板记录-\n料理：$a\n评价：$b\n给任何客人该厨具制作的同样料理也必然得到该评价
RogueLike_2_AddOrderRate	刚欲·贪婪戕伐	客人续单率提高$a%
RogueLike_2_AddWorkSpeed	劲牙·骤足暴走	伙伴移动速度和工作速度提高$a%
RogueLike_2_AddTipRate	鬼杰·邪念加身	小费率提高$a%
RogueLike_2_ExtraGenerateFund	泡沫的女王	客人携带的预算提高$a%
RogueLike_2_AddGuestSpawnSpeed	生意兴隆！	客流量提高$a%
RogueLike_2_ExtraCookSpeed	山姥秘传	料理时间减少$a%
RogueLike_2_Stone	河畔垒石	营业结束时转化为$a金钱
RogueLike_2_Buff_ComboProtect	风险计算	发生导致Combo中断的失误时，Combo不会中断，剩余$a次
RogueLike_2_Buff_Chicken	鬼渡试炼	在营业结束前获得$a个Combo即可完成试炼获得奖励
RogueLike_2_Buff_Byakuren	超人庇佑	客人食用带有“$c”标签酒水时，返还酒水预算并将$a及以上的评价提升至$b
RogueLike_2_Buff_Miko	圣人庇佑	客人食用带有“$c”标签料理时，返还料理预算并将$a及以上的评价提升至$b
RogueLike_2_Critical	星辰降落之歌	结算订单时$a%的几率使收入提高$b%
RogueLike_2_ChineseCritical	中华料理特卖！	带有“$a”标签的料理结算的收入提高$b%
RogueLike_2_JapaneseCritical	和风料理特卖！	带有“$a”标签的料理结算的收入提高$b%
RogueLike_2_WesternCritical	西式料理特卖！	带有“$a”标签的料理结算的收入提高$b%
RogueLike_2_PopularCritical	流行料理特卖！	带有“$a”标签的料理结算的收入提高$b%
RogueLike_2_Shou	完全净化	结算时每个Combo被转化为$a金钱
RogueLike_Echo	山谷回声	提供酒水且至少获得$c评价时，获得$b份与提供酒水同等级的酒水，剩余$a秒
RogueLike_Prismriver	棱镜协奏曲	客人给出至少获得$c评价时，额外获得$bCombo，剩余$a秒
RogueLike_EmptyCard	集市关闭	跳过营业卡牌抽取，剩余$a次
RogueLike_Elite_Youmu	异变·幽冥试炼	完成指定试炼！\n禁用$a食材
RogueLike_Elite_Yuyuko	异变·墨染之樱	喂饱亡灵幻象！\n幽幽子幻象将在当日结束时离开，若进度未满则清空营业额
RogueLike_Elite_Yuuma	异变·血煞灾星	满足指定标签！\n料理需包含「$a」标签，否则客人只会给出$b评价
RogueLike_Elite_Koishi	异变·怪诞狂想	猜出稀客所想！\n稀有客人的点单要求将被隐藏（不影响最终评分）
RogueLike_Elite_Mamizou	异变·魔音奏鸣	跟随热火节拍！\n每$a秒额外进行一次夜雀之歌，若失败则失去全部Combo并清除热火朝天状态，若成功则热火朝天状态延长$b秒
RogueLike_Elite_Flandre	异变·无人生还	无尽客流来袭！\n稀有客人不会生成，普通客人预算+$a%，刷新率+$b%
RogueLike_Elite_Mizuchi	异变·反狱修罗	抵御恶念侵扰！\n制作料理使用的食材在$a秒内无法再次被玩家或伙伴使用
